Name	Pool
Tô Đát Kỷ	1
Vũ Tắc Thiên	1
Tây Thi	1
Ngu Cơ	1
Nguyệt Mi Nhi	1
Dương Anh	1
Thanh Hiểu Sư Thái	1
Hoàng Mộ Vân	1
Duẫn Hàm Yên	1
Tần Lương Ngọc	1
Cuồng Tông Ngao Hoàng	1
Kim Sí Bằng Hoàng	1
Ngân Giác Tê Hoàng	1
Thu Y Thủy	1
Yến Nhược Tuyết	1
Hoàng Chân Y	1
Nạp Lan Chân	1
Lý Điềm Nhi	1
Hoàn Nhan Tương	1
Duẫn Tiểu Vũ	1
Cổ Yên Nhiên	1
Bôn Diễm Báo Vương	1
Cửu Vĩ Hồ Vương	1
Tử Hiên	1
Sắc Vi	1
Nguyệt Minh Dao	1
Nam Cung Thải Hồng	1
Trương Lâm Tâm	1
Khúc Hà	1
Hà Mộ Tuyết	1
Tô Mặc Vân	1
Hàn Ngọc Lộc Vương	1
Tần Mộc Bạch	1
Oanh Nhi	1
Hắc Dực Liệp Ưng	1
Hồng Y Nữ Đồng	1
Hồng Anh Thị	1
Hỏa Hồ	1
Cửu U Đệ Tử	1
Vô Ưu Giáo Đệ Tử	1
Mạt Thiên Nhiên	1
Đường Quyên Quyên	1
Hoàng Ngọc Anh	1
Băng Nghi	1
Tuyệt Thế Ngu Cơ	1
Hà Liên Phiêu	1
Cự Ngao Phong Hậu	1
Kinh Tuyết	1
Lạc Thần	1
Vương Chính Quân	2
Tôn Truyện Phương	2
Tiêu Thái Hậu	2
Xuyên Đảo Phương Tử	2
Từ An Thái Hậu	2
Tinh Vệ	2
Thường Nga	2
Dao Cơ	2
Diêm Thủy Nữ Thần	2
Hà Tiên Cô	2
Chúc Anh Thai	2
Từ Tuệ	2
Vũ Huệ Phi	2
Vi Hậu	2
Lý Rừng Hà	2
Lý Thương Ẩn	2
Phiền Lê Hoa	2
An Nhạc Công Chủ	2
Thượng Quan Yến	2
Quắc Quốc Phu Nhân	2
Nữ Ngả	2
Muội Hỉ	2
Thanh Hà Công Chủ	2
Trương Diệu Linh	2
Chung Vô Diễm	2
Phùng Huyên	2
Triệu Uy Hậu	2
Mị Xu	2
Tần Tuyên Thái Hậu	2
Sở Uy Hậu	2
Triệu Cơ	2
Mạnh Mẫu	2
Tô Tiểu Tiểu	2
Trường Tôn Hoàng Hậu	2
Phòng Lăng Công Chủ	2
Hoán Hoa Phu Nhân	2
Thượng Quan Uyển Nhi	2
Thái Bình Công Chủ	2
Túc Quốc Công Chủ	2
Tiêu Quốc Công Chủ	2
Hòa Chính Công Chủ	2
Đàm Quốc Công Chủ	2
Kỷ Quốc Công Chủ	2
Vĩnh Hòa Công Chủ	2
Cáo Quốc Công Chủ	2
Văn Thành Công Chủ	2
Mai Phi	2
Chân Phi	2
Lữ Trĩ	2
Triệu Phi Yến	2
Vương Chiêu Quân	2
Trác Văn Quân	2
Trần A Kiều	2
Mạnh Khương Nữ	2
Thượng Quan Hoàng Hậu	2
Bình Dương Công Chủ	2
Hứa Hoàng Hậu	2
Câu Dặc Phu Nhân	2
Thích Phu Nhân	2
Giải Ưu Công Chủ	2
Điêu Thiền	2
Thái Văn Cơ	2
Đại Kiều	2
Trọng Dương Công Chủ	2
Hoàng Nguyệt Anh	2
Tiểu Kiều	2
Tôn Thượng Hương	2
Lâm Hải Công Chủ	2
Bao Tự	2
Hạ Cơ	2
Vệ Tử Phu	2
Lý Phu Nhân	2
Triệu Hợp Đức	2
Âm Lệ Hoa	2
Ban Chiêu	2
Dương Ngọc Hoàn	2
Đỗ Thu Nương	2
Lưu Nga	2
Mục Quế Anh	2
Trần Viên Viên	2
Lý Hương Quân	2
Đổng Tiểu Uyển	2
Hoa Mộc Lan	2
Nga Hoàng Nữ Anh	2
Phan Kim Liên	2
Lý Sư Sư	2
Cố Đại Tẩu	2
Hỗ Tam Nương	2
Tôn Nhị Nương	2
Hư Vinh Tâm	3
Sơn Cùng Thủy Tẫn Canh Từ Cùng	3
Đạm Nhiên Khí Chất Bỉ Thiên Cao	3
Quang Âm Phụ Dung Nhan	3
Tử Sắc Minh Tín Phiến	3
Nhất Cố Khuynh Nhân Thành	3
Mâu Liễm	3
Diêu Duệ Hồng Trần Trung	3
Lộc Khốn Sâm Lâm	3
Cúc Hoa Xán Lạn	3
Hải Phong	3
Sơ Tuyết	3
Mộng Tưởng Thiên Không Phân Ngoại Lam	3
Nịnh Mông	3
Bạc Hà Đường Chủ Vi Lương	3
Chanh Thất	3
Thủy Thanh Mộng Lam	3
Lục Trúc Y Y	3
Mộc Tình	3
Sâm Hệ Nữ Hài	3
Mi Phúc Sương	3
Xướng Xuất Kỷ Cú	3
Ngu Vọng Thủ Ký	3
Uổng Cửu	3
Nhĩ Hồi Lai Vi Ngã Nhi Lai	3
Hóa Thành Nhất Bả Hỏa	3
Cố Tác Đại Phương	3
