Name	Pool
Xi Vưu	1
Hậu Nghệ	1
Quỷ Cốc Tử	1
Hạng Vũ	1
Tần Thủy Hoàng	1
Hoàn Nhan Hồng Liệt	1
Lữ Động Tân	1
Trương Tam Phong	1
Độc Cô Kiếm	1
Nam Cung Phi Vân	1
Dương Ảnh Phong	1
Đường Giản	1
Huyền Thiên Đạo Nhân	1
Lý Nguyên Phách	1
Triệu Vân	1
Lý Nghiễm	1
Kinh Kha	1
Nhạc Phi	1
Chúc Tử Hư	1
Đạo Nhất Chân Nhân	1
Đoan Mộc Duệ	1
Huyền Nhân	1
Hắc Diện Lang Quân	1
Tuyền Ki Tử	1
Hà Nhân Ngã	1
Đường Cừu	1
Mạnh Tri Thu	1
Cao Trường Cung	1
Triết Biệt	1
Viên Thừa Chí	1
Ngao Bái	1
Hàn Thế Trung	1
Băng Lân Tích Hoàng	1
Ngân Câu Hiết Hoàng	1
Xích Tình Hổ Hoàng	1
Hám Thiên Hùng Hoàng	1
Tử Bối Ngạc Hoàng	1
Định Hải Kim Cương	1
Trương Phong	1
Nam Cung Diệt	1
Phương Miễn	1
Đường Ảnh	1
Thiên Tinh Đạo Trường	1
Dương Hi Liệt	1
Thượng Quan Phi Long	1
Nạp Lan Tiềm Lẫm	1
Thiểu Niên Dương Ảnh Phong	1
Dương Thiết Tâm	1
Liễu Tiêu Đình	1
Vô Tưởng	1
Lý Thiên Mục	1
Huyền Từ	1
Tống Thu Thạch	1
Thạch Hiên Viên	1
Đường Hiểu	1
Song Thủ Dị Thú	1
Đường Tiêu	1
Trác Phi Phàm	1
Trương Như Mộng	1
Phong Ngọc Thư	1
Da Luật Ích Ly	1
Lâm Hải	1
Lục Văn Long	1
Triệu Vô Song	1
Vô Tương	1
Triệu Tiết	1
Thiệu Kỵ Phong	1
Triệu Thăng Quyền	1
Sài Tung	1
Tiểu Ân Phương	1
Tiêu Động Trần	1
Bạch Mi Hầu Vương	1
Đại Địa Lang Vương	1
Hồ Thần Y	1
Trương Trọng Thiên	1
Lộ Đạt	1
Lý Tam	1
Lô Thanh	1
Cố Vũ	1
Kim Tiễn Báo	1
Vũ Lâm Ác Đồ	1
Mãnh Hổ	1
Phong Lâm Vệ	1
Viên Hầu	1
Thiết Diện Bộ Đầu	1
Chú Kiếm Sư	1
Liệp Nhân	1
Cường Đạo	1
Dược Vương Cốc Đệ Tử	1
Hôi Lang	1
Đông Doanh Nhẫn Giả	1
Sinh Sử	1
Tử Thị	1
Hắc Hùng	1
Thiên Công Tượng Giả	1
Khôi Lỗi Sĩ Binh	1
Ky Quan Nhân	1
Ân Phương	1
Long Ngạo Thiên	1
Thiệu Hoành Uyên	1
Bạch Ngạn Kính	1
Da Luật Sở Tài	1
Lôi Phong	1
Lôi Đồng	1
Lôi Chấn Thiên	1
Đoạt Bảo Tặc	1
Lý Hiển Trung	1
Đồ Đan Khắc Trữ	1
Huyền Thiên Vũ Ky	1
Bạch Khởi	1
Lý Tư	1
Lôi	1
Diệp Thanh Dương	1
Dương Tái Hưng	1
Hoàn Nhan Lâu Thất	1
Tiêu Ngọc Trúc	1
Kim Ngột Thuật	1
Địch Nhân Kiệt	1
Nguyên Phương	1
Hàn Mông	1
Ngu Duẫn Văn	1
Long Văn Sư Vương	1
Vương Đằng	1
Vương Vân Tiêu	1
Không Tương	1
Lâm Thanh Vũ	1
Mạnh Thương Lam	1
Dương Sư Hậu	2
Lý Tồn Úc	2
Mật Khang Công	2
Tề Ý Công	2
Liêm Pha	2
Doanh Tứ	2
Luy Tổ	2
Trình Dục	2
Trương Hợp	2
Lưu Đào	2
Lưu Hoa Thanh	2
Ban Cố	2
Cao Vĩ	2
Dục Quyền	2
Thiểu Hạo	2
Tử Cống	2
Hoàng Đế	2
Tôn Đại Hổ	2
Ngụy Đức Mại	2
Thương Hiệt	2
Thần Nông	2
Hoàn Nhan Tuần	2
Đổng Vĩnh	2
Hình Thiên	2
Nguyên Thủy Thiên Tôn	2
Lẫm Quân	2
Táo Thần	2
Thông Thiên Giáo Chủ	2
Bàn Cổ	2
Cao Đào	2
Vương Hi Chi	2
Si Giám	2
Ti Mã Duệ	2
Đào Uyên Minh	2
Ngụy Nguyên Phu	2
Tất Trác	2
Lương Sơn Bá	2
Phù Kiên	2
Tổ Địch	2
Tạ An	2
Mộ Dung Tuấn	2
Vương Đôn	2
Vương Hiến Chi	2
Dữu Lượng	2
Hứa Tuân	2
Tấn Ai Đế	2
Mộ Dung Hội	2
Vương Đạo	2
Ti Mã Diệu	2
Ti Mã Dục	2
Ôn Kiệu	2
Ti Mã Đức Văn	2
Tiêu Cương	2
Đạt Ma	2
Lương Nguyên Đế	2
Lương Vũ Đế	2
Trương Sung	2
Trần Khánh Chi	2
Tiêu Phương Trí	2
Bộ Phi Yên	2
Tôn Tư Mạc	2
Tôn Phục Già	2
Trần Thạc Chân	2
Trương Lượng	2
Lý Tích	2
Tần Quỳnh	2
Lý Nhật Tri	2
Sài Thiệu	2
La Thành	2
Lý Hiền	2
Hoàng Sào	2
Trương Cửu Linh	2
An Lộc Sơn	2
Lý Uyên	2
Cao Tiên Chi	2
Lý Thuần	2
Lý Phụ Quốc	2
Nhan Chân Khanh	2
Đường Tăng	2
Tiễn Lưu	2
Hàn Dũ	2
Vương Xương Linh	2
Mạnh Hạo Nhiên	2
Trương Quả Lão	2
Lai Tuấn Thần	2
Vương Chi Hoán	2
Pháp Hải	2
Lạc Tân Vương	2
Trương Tuần	2
Đỗ Mục	2
Lam Ngọc	2
Lý Đạo Tông	2
Nguyên Chẩn	2
Sầm Tham	2
Tây Bỉ Nhân	2
Vi Ứng Vật	2
Lưu Khắc Minh	2
Thôi Hạo	2
Vi Trang	2
Hoàng Hiết	2
Cổ Nam Phong	2
Dận Giáp	2
Khổng Giáp	2
Hạ Kiệt	2
Đại Vũ	2
Trụ Vương	2
Lục Áp	2
Chu Công	2
Thương Thái Tông	2
Thái Đinh	2
Sùng Hầu Hổ	2
Bàn Canh	2
Y Duẫn	2
Vũ Ất	2
Thương Thang	2
Vân Trung Tử	2
Ân Hồng	2
Bỉ Kiền	2
Na Trá	2
Bá Ấp Khảo	2
Chu Lệ Vương	2
Chu Văn Vương	2
Khương Tử Nha	2
Ấp Khương	2
Lôi Chấn Tử	2
Vương Mãnh	2
Thạch Giám	2
Mộ Dung Thiệu	2
Trương Tộ	2
Mộ Dung Hi	2
Thạch Hổ	2
Lưu Uyên	2
Hầu Tử Quang	2
Lý Kỳ	2
Thạch Hoằng	2
Phù Sinh	2
Tôn Khiêm	2
Lưu Tử Nghiệp	2
Hàn Phi Tử	2
Tín Lăng Quân	2
Triệu Quát	2
Khuất Nguyên	2
Mạnh Thường Quân	2
Triệu Vũ Linh Vương	2
Nhạc Nghị	2
Tô Tần	2
Điền Đan	2
Ngô Khởi	2
Lữ Bất Vi	2
Lận Tương Như	2
Triệu Xa	2
Lý Băng	2
Tôn Tẫn	2
Trương Nghi	2
Cơ Đan	2
Cao Tiệm Ly	2
Cao Lực Sĩ	2
Dương Quốc Trung	2
Lý Thuần Phong	2
Đỗ Phủ	2
Trình Giảo Kim	2
Tiết Nhân Quý	2
Lý Trì	2
Phù Tô	2
Chương Hàm	2
Lữ Bố	2
Trương Tú	2
Mã Viên	2
Tôn Kiên	2
Mã Đằng	2
Điền Phong	2
Bàng Thống	2
Tuân Du	2
Từ Thứ	2
Điển Vi	2
Hứa Trử	2
Hạ Hầu Đôn	2
Hạ Hầu Uyên	2
Thái Sử Từ	2
Hoàng Cái	2
Viên Thiệu	2
Trần Trọng	2
Hoàng Trung	2
Pháp Chính	2
Chư Cát Lượng	2
Quan Vũ	2
Tôn Quyền	2
Lưu Bị	2
Mã Siêu	2
Chu Du	2
Lỗ Túc	2
Phan An	2
