szKind	nCount	nPoint	szAward		nKinMsg	nWorldMsg	szName	szDesc
SignIn_1	1	3	Gold|500				Hiệp Khách Hành 1	Tích lũy điểm danh 1 ngày
SignIn_1	2	3	Gold|1000;item|9608|1				Hiệp Khách Hành 2	Tích lũy điểm danh 2 ngày
SignIn_1	3	3	Gold|1000				Hiệp Khách Hành 3	Tích lũy điểm danh 3 ngày
SignIn_1	4	3	Gold|1000				Hiệp Khách Hành 4	Tích lũy điểm danh 4 ngày
SignIn_1	5	3	Gold|1000				Hiệp Khách Hành 5	Tích lũy điểm danh 5 ngày
SignIn_1	7	3	Gold|1000				Hiệp Khách Hành 6	Tích lũy điểm danh 7 ngày
SignIn_1	10	3	Gold|2000				Hiệp Khách Hành 7	Tích lũy điểm danh 10 ngày
SignIn_1	30	50	Gold|3000				Kiếm Tâm Bất Lão 1	Tích lũy điểm danh 30 ngày
SignIn_1	100	100	Gold|5000;item|9599|1		1		Kiếm Tâm Bất Lão 2	Tích lũy điểm danh 100 ngày
SignIn_1	200	150	Gold|5000;item|9579|1;item|9600|1		1		Kiếm Tâm Bất Lão 3	Tích lũy điểm danh 200 ngày
SignIn_1	500	200	Gold|5000;item|9601|1		1	1	Kiếm Tâm Bất Lão 4	Tích lũy điểm danh 500 ngày
SignIn_1	1000	300	Gold|5000;item|9602|1		1	1	Kiếm Tâm Bất Lão 5	Tích lũy điểm danh 1000 ngày
PerfectDay_1	100	5	Gold|1000				Ngày Hoàn Mỹ 1	Năng động đạt 100
PerfectDay_3	1	10	Gold|2000				Ngày Hoàn Mỹ 2	Liên tục 3 ngày đạt 100 điểm năng động
PerfectDay_2	1	20	Gold|3000				Ngày Hoàn Mỹ 3	Liên tục 7 ngày đạt 100 điểm năng động
PerfectDay_4	1	40	Gold|3000				Ngày Hoàn Mỹ 4	Liên tục 15 ngày đạt 100 điểm năng động
PerfectDay_5	1	70	Gold|5000;item|9603|1				Ngày Hoàn Mỹ 5	Liên tục 30 ngày đạt 100 điểm năng động
PerfectMonth	1	60	Gold|2000				Tháng Hoàn Mỹ 1	Trong 1 tháng nhận tất cả thưởng điểm danh
PerfectMonth	2	80	Gold|3000				Tháng Hoàn Mỹ 2	Tích lũy 2 lần trong 1 tháng nhận tất cả thưởng điểm danh
PerfectMonth	5	100	Gold|10000;item|9604|1		1		Tháng Hoàn Mỹ 3	Tích lũy 5 lần trong 1 tháng nhận tất cả thưởng điểm danh
AchievementPoint	1000	20	Gold|10000;item|9604|1				Công Thành Danh Toại 1	Điểm thành tựu đột phá 1000
AchievementPoint	3000	50	Gold|20000				Công Thành Danh Toại 2	Điểm thành tựu đột phá 3000
AchievementPoint	5000	80	Gold|30000;item|9573|1;item|9605|1		1		Công Thành Danh Toại 3	Điểm thành tựu đột phá 5000
AchievementPoint	7500	100	Gold|50000;item|7507|1;item|9606|1;item|7508|1		1		Công Thành Danh Toại 4	Điểm thành tựu đột phá 7500
AchievementPoint	10000	150	Gold|80000;item|9607|1		1	1	Công Thành Danh Toại 5	Điểm thành tựu đột phá 10000
