Kind	KeyID	Hide	SubTitle	BigTitle	NotVersion_hk	NotVersion_xm	NotVersion_en	NotVersion_kor	NotVersion_th	NotVersion_vn
SignIn_1	1		Con Đường Hiệp Khách	Tổng hợp						
PerfectDay_1	2		Chăm Chỉ Chuyên Cần	Tổng hợp						
PerfectDay_3	3		Chăm Chỉ Chuyên Cần	Tổng hợp						
PerfectDay_2	4		Chăm Chỉ Chuyên Cần	Tổng hợp						
PerfectDay_4	5		Chăm Chỉ Chuyên Cần	Tổng hợp						
PerfectDay_5	6		Chăm Chỉ Chuyên Cần	Tổng hợp						
PerfectMonth	7		Chăm Chỉ Chuyên Cần	Tổng hợp						
AchievementPoint	8		Công Thành Danh Toại	Tổng hợp						
PlayerLevel	9		Cấp	Trưởng thành						
HonorLevel_1	10		Quân Hàm	Trưởng thành						
Label	11		Quân Hàm	Trưởng thành						
Title_Normal	12		Danh hiệu	Trưởng thành						
Title_Purple	13		Danh hiệu	Trưởng thành						
Title_Pink	14		Danh hiệu	Trưởng thành						
Title_Orange	15		Danh hiệu	Trưởng thành						
Title_Gold	16		Danh hiệu	Trưởng thành						
Title_Collector	17		Danh hiệu	Trưởng thành						
Task_1	18		Từng trải	Trưởng thành						
Task_2	19		Từng trải	Trưởng thành						
Task_3	20		Từng trải	Trưởng thành						
Task_4	21		Từng trải	Trưởng thành						
Task_5	22		Từng trải	Trưởng thành						
Task_6	23		Từng trải	Trưởng thành						
Task_7	24		Từng trải	Trưởng thành						
Task_8	25		Từng trải	Trưởng thành						
Task_9	26		Từng trải	Trưởng thành						
Task_10	27		Từng trải	Trưởng thành						
Task_11	28		Từng trải	Trưởng thành						
Task_12	29		Từng trải	Trưởng thành						
Task_13	30		Từng trải	Trưởng thành						
Equip_1	31		Trang Bị	Sức mạnh						
Equip_2	32		Trang Bị	Sức mạnh						
Equip_3	33		Trang Bị	Sức mạnh						
InsetOnce_1	34		Trang Bị	Sức mạnh						
InsetMaster_1	35		Trang Bị	Sức mạnh						
InsetMaster_2	36		Trang Bị	Sức mạnh						
InsetMaster_3	37		Trang Bị	Sức mạnh						
InsetMaster_4	38		Trang Bị	Sức mạnh						
InsetMaster_5	39		Trang Bị	Sức mạnh						
InsetMaster_6	40		Trang Bị	Sức mạnh						
EquipRefinement_1	41		Trang Bị	Sức mạnh						
EquipRefinement_2	42		Trang Bị	Sức mạnh						
EquipRefinement_3	43		Trang Bị	Sức mạnh						
EquipRefinement_4	44		Trang Bị	Sức mạnh						
EquipRefinement_5	45		Trang Bị	Sức mạnh						
EnhanceOnce_1	46		Trang Bị	Sức mạnh						
EnhanceMaster_1	47		Trang Bị	Sức mạnh						
EnhanceMaster_2	48		Trang Bị	Sức mạnh						
EnhanceMaster_3	49		Trang Bị	Sức mạnh						
EnhanceMaster_4	50		Trang Bị	Sức mạnh						
EnhanceMaster_5	51		Trang Bị	Sức mạnh						
EnhanceMaster_6	52		Trang Bị	Sức mạnh						
EnhanceFailure_1	53		Trang Bị	Sức mạnh						
EnhanceFailure_2	54		Trang Bị	Sức mạnh						
EnhanceFailure_3	55		Trang Bị	Sức mạnh						
EnhanceFailure_4	56		Trang Bị	Sức mạnh						
EnhanceFailure_5	57		Trang Bị	Sức mạnh						
EnhanceFailure_6	58		Trang Bị	Sức mạnh						
Partner_1	59		Đồng Hành	Sức mạnh						
Partner_4	60		Đồng Hành	Sức mạnh						
Partner_6	61		Đồng Hành	Sức mạnh						
Partner_8	62		Đồng Hành	Sức mạnh						
Partner_3	63		Đồng Hành	Sức mạnh						
Partner_5	64		Đồng Hành	Sức mạnh						
Partner_7	65		Đồng Hành	Sức mạnh						
Partner_Skill1	66		Đồng Hành	Sức mạnh						
Partner_Skill2	67		Đồng Hành	Sức mạnh						
Partner_Skill3	68		Đồng Hành	Sức mạnh						
Partner_Skill4	69		Đồng Hành	Sức mạnh						
Partner_Equip	70		Đồng Hành	Sức mạnh						
Partner_Awaken	71		Đồng Hành	Sức mạnh						
Partner_CE	72		Đồng Hành	Sức mạnh						
Guest_Amount	73		Môn Khách	Sức mạnh						
Guest_Property	74		Môn Khách	Sức mạnh						
Guest_Combination	75		Môn Khách	Sức mạnh						
Guest_Defend	76		Môn Khách	Sức mạnh						
Guest_Fealty	77		Môn Khách	Sức mạnh						
Guest_Task1	78		Môn Khách	Sức mạnh						
Guest_Task2	79		Môn Khách	Sức mạnh						
Guest_Task3	80		Môn Khách	Sức mạnh						
Guest_Task4	81		Môn Khách	Sức mạnh						
Meridian	82		Kinh Mạch	Sức mạnh						
Meridian_Qugu1	83		Kinh Mạch	Sức mạnh						
Meridian_Changqiang1	84		Kinh Mạch	Sức mạnh						
Meridian_Youmen1	85		Kinh Mạch	Sức mạnh						
Meridian_Jingming1	86		Kinh Mạch	Sức mạnh						
Meridian_Failure_1	87		Kinh Mạch	Sức mạnh						
Meridian_Failure	88		Kinh Mạch	Sức mạnh						
Knack_1	89		Trận Pháp	Sức mạnh						
Knack_2	90		Trận Pháp	Sức mạnh						
Knack_3	91		Trận Pháp	Sức mạnh						
Knack_4	92		Trận Pháp	Sức mạnh						
ZhenYuan_1	93		Chân Nguyên	Sức mạnh						
ZhenYuan_Rare	94		Chân Nguyên	Sức mạnh						
ZhenYuan_Skill	95		Chân Nguyên	Sức mạnh						
ZhenYuanRefinement_1	96		Chân Nguyên	Sức mạnh						
ZhenYuanRefinement_2	97		Chân Nguyên	Sức mạnh						
ZhenYuanRefinement_Skill	98		Chân Nguyên	Sức mạnh						
HuaShan_1	99		Hoa Sơn Luận Kiếm	Thi đấu						
HuaShan_Alone	100		Hoa Sơn Luận Kiếm	Thi đấu						
HuaShanLunJian_16	101		Hoa Sơn Luận Kiếm	Thi đấu						
HuaShanLunJian_8	102		Hoa Sơn Luận Kiếm	Thi đấu						
HuaShanLunJian_4	103		Hoa Sơn Luận Kiếm	Thi đấu						
HuaShanLunJian_1	104		Hoa Sơn Luận Kiếm	Thi đấu						
FactionBattle_1	105		Thi Đấu Môn Phái	Thi đấu						
FactionBattle_2	106		Thi Đấu Môn Phái	Thi đấu						
FactionBattle_3	107		Thi Đấu Môn Phái	Thi đấu						
FactionBattle_4	108		Thi Đấu Môn Phái	Thi đấu						
FactionBattle_5	109		Thi Đấu Môn Phái	Thi đấu						
FactionBattleNew_1	110		Thi Đấu Môn Phái	Thi đấu						
FactionBattleBrother_1	111		Thi Đấu Môn Phái	Thi đấu						
FactionBattleBrother_2	112		Thi Đấu Môn Phái	Thi đấu						
QunYingHui_1	113		Quần Anh Hội	Thi đấu						
QunYingHui_5	114		Quần Anh Hội	Thi đấu						
QunYingHui_12	115		Quần Anh Hội	Thi đấu						
QunYingHui_12P	116		Quần Anh Hội	Thi đấu						
QunYingHui_16	117		Quần Anh Hội	Thi đấu						
Battle_1	118		Chiến Trường Tống Kim	Thi đấu						
Battle_3	119		Chiến Trường Tống Kim	Thi đấu						
Battle_Combo1	120		Chiến Trường Tống Kim	Thi đấu						
Battle_Combo2	121		Chiến Trường Tống Kim	Thi đấu						
Battle_Combo3	122		Chiến Trường Tống Kim	Thi đấu						
Battle_Combo4	123		Chiến Trường Tống Kim	Thi đấu						
Rank_1	124		Chiến Trường Tống Kim	Thi đấu						
Rank_2	125		Chiến Trường Tống Kim	Thi đấu						
Rank_3	126		Chiến Trường Tống Kim	Thi đấu						
Battle_SoldierKiller	127		Chiến Trường Tống Kim	Thi đấu						
TeamBattle_1	128		Thông Thiên Tháp	Thi đấu						
TeamBattle_2	129		Thông Thiên Tháp	Thi đấu						
TeamBattle_3	130		Thông Thiên Tháp	Thi đấu						
TeamBattleFurniture_1	131		Thông Thiên Tháp	Thi đấu						
TeamBattle_LuckyDog	132		Thông Thiên Tháp	Thi đấu						
WLDH	133		Đại Hội Võ Lâm	Thi đấu						
WLDH_16	134		Đại Hội Võ Lâm	Thi đấu						
WLDH_8	135		Đại Hội Võ Lâm	Thi đấu						
WLDH_4	136		Đại Hội Võ Lâm	Thi đấu						
WLDH_2	137		Đại Hội Võ Lâm	Thi đấu						
WLDH_1	138		Đại Hội Võ Lâm	Thi đấu						
WLDH_Alone	139		Đại Hội Võ Lâm	Thi đấu						
RankBattle_1	140		Võ Thần Điện	Thi đấu						
RankBattle_2	141		Võ Thần Điện	Thi đấu						
RankBattle_3	142		Võ Thần Điện	Thi đấu						
RankBattle_4	143		Võ Thần Điện	Thi đấu						
RankBattle_5	144		Võ Thần Điện	Thi đấu						
InDifferBattle_1	145		Tâm Ma Ảo Cảnh	Thi đấu						
InDifferBattle_2	146		Tâm Ma Ảo Cảnh	Thi đấu						
InDifferBattle_3	147		Tâm Ma Ảo Cảnh	Thi đấu						
InDifferBattle_4	148		Tâm Ma Ảo Cảnh	Thi đấu						
InDifferBattle_4p	149		Tâm Ma Ảo Cảnh	Thi đấu						
InDifferBattle_Tank	150		Tâm Ma Ảo Cảnh	Thi đấu						
InDifferBattle_Boxes	151		Tâm Ma Ảo Cảnh	Thi đấu						
InDifferBattle_BearKiller	152		Tâm Ma Ảo Cảnh	Thi đấu						
InDifferBattle_Wusheng	153		Tâm Ma Ảo Cảnh	Thi đấu						
Challenge_1	154		Tỉ Võ Trường	Thi đấu						
Challenge_Win	155		Tỉ Võ Trường	Thi đấu						
KeyQuest_1	156		Di Tích Tầm Bảo	Thi đấu						
KeyQuest_KeyRobber	157		Di Tích Tầm Bảo	Thi đấu						
KeyQuest_Floor3	158		Di Tích Tầm Bảo	Thi đấu						
KeyQuest_Unfortunate	159		Di Tích Tầm Bảo	Thi đấu						
KeyQuest_BigBox	160		Di Tích Tầm Bảo	Thi đấu						
KeyQuest_SwordRobber	161		Di Tích Tầm Bảo	Thi đấu						
HeroChallenge_1	162		Khiêu Chiến Anh Hùng	Thi đấu						
HeroChallenge_2	163		Khiêu Chiến Anh Hùng	Thi đấu						
HeroChallenge_3	164		Khiêu Chiến Anh Hùng	Thi đấu						
Cangbaotu_1	165		Tàng Bảo Đồ	Thám hiểm						
Cangbaotu_2	166		Tàng Bảo Đồ	Thám hiểm						
Cangbaotu_3	167		Tàng Bảo Đồ	Thám hiểm						
Dungeon_1	168		Tàng Bảo Đồ	Thám hiểm						
Dungeon_2	169		Tàng Bảo Đồ	Thám hiểm						
Dungeon_3	170		Tàng Bảo Đồ	Thám hiểm						
Dungeon_4	171		Tàng Bảo Đồ	Thám hiểm						
HighCangbaotu_1	172		Tàng Bảo Đồ	Thám hiểm						
HighCangbaotu_2	173		Tàng Bảo Đồ	Thám hiểm						
HighCangbaotu_3thieves	174		Tàng Bảo Đồ	Thám hiểm						
HighCangbaotu_5thieves	175		Tàng Bảo Đồ	Thám hiểm						
HighCangbaotu_3	176		Tàng Bảo Đồ	Thám hiểm						
HighCangbaotu_4	177		Tàng Bảo Đồ	Thám hiểm						
HighCangbaotu_5	178		Tàng Bảo Đồ	Thám hiểm						
PunishTask_1	179		Nhiệm Vụ Trừng Ác	Thám hiểm						
PunishTask_Orange	180		Nhiệm Vụ Trừng Ác	Thám hiểm						
KinSecret_Win1	181		Bí Cảnh Bang Hội	Thám hiểm						
KinSecret_Win2	182		Bí Cảnh Bang Hội	Thám hiểm						
KinSecret_Win3	183		Bí Cảnh Bang Hội	Thám hiểm						
KinSecret_BigBox	184		Bí Cảnh Bang Hội	Thám hiểm						
KinSecret_Order	185		Bí Cảnh Bang Hội	Thám hiểm						
KinSecret_Bad	186		Bí Cảnh Bang Hội	Thám hiểm						
KinFuben_1	187		Thí Luyện Bang Hội	Thám hiểm						
RandomFuben_1	188		Lăng Tuyệt Phong	Thám hiểm						
RandomFuben_2	189		Lăng Tuyệt Phong	Thám hiểm						
RandomFuben_3	190		Lăng Tuyệt Phong	Thám hiểm						
RandomFuben_4	191		Lăng Tuyệt Phong	Thám hiểm						
RandomFuben_5	192		Lăng Tuyệt Phong	Thám hiểm						
RandomFuben_NoDeath	193		Lăng Tuyệt Phong	Thám hiểm						
RandomFuben_Fast	194		Lăng Tuyệt Phong	Thám hiểm						
RandomFubenCard_1	195		Lăng Tuyệt Phong	Thám hiểm						
RandomFubenCard_2	196		Lăng Tuyệt Phong	Thám hiểm						
RandomFubenCard_3	197		Lăng Tuyệt Phong	Thám hiểm						
RandomFubenCard_4	198		Lăng Tuyệt Phong	Thám hiểm						
RandomFubenCard_5	199		Lăng Tuyệt Phong	Thám hiểm						
AdventureFuben_Anger1	200		Sơn Tặc Mật Quật	Thám hiểm						
AdventureFuben_Anger0	201		Sơn Tặc Mật Quật	Thám hiểm						
XiuLian_1	202		Luyện Công Ngoài Thành	Thám hiểm						
XiuLian_2	203		Luyện Công Ngoài Thành	Thám hiểm						
TeamFuben_1	204		Bí Cảnh Tổ Đội	Thám hiểm						
TeamFuben_2	205		Bí Cảnh Tổ Đội	Thám hiểm						
TeamFuben_3	206		Bí Cảnh Tổ Đội	Thám hiểm						
TeamFuben_4	207		Bí Cảnh Tổ Đội	Thám hiểm						
TeamFuben_5	208		Bí Cảnh Tổ Đội	Thám hiểm						
TeamFuben_6	209		Bí Cảnh Tổ Đội	Thám hiểm						
TeamFuben_7	210		Bí Cảnh Tổ Đội	Thám hiểm						
ImperialTomb_Heshibi	211		Tần Lăng	Thám hiểm						
ImperialTomb_Hole_1	212		Tần Lăng	Thám hiểm						
ImperialTomb_Hole_2	213		Tần Lăng	Thám hiểm						
ImperialTomb_Hole_3	214		Tần Lăng	Thám hiểm						
ImperialTomb_Hole_4	215		Tần Lăng	Thám hiểm						
ImperialTomb_Hole_5	216		Tần Lăng	Thám hiểm						
Chat_Private	217		Giao tiếp	Cộng Đồng						
Chat_Emotion	218		Giao tiếp	Cộng Đồng						
Chat_Voice	219		Giao tiếp	Cộng Đồng						
