FactionID	Sex	Shape	Name
1	1	M2	Nam Cường Tráng
1	2	F1	Nữ Loli
2	2	F2	Nữ Tiêu Chuẩn
3	2	F1	Nữ Loli
4	1	M1	Nam Tiêu Chuẩn
4	2	F2	Nữ Tiêu Chuẩn
5	1	M1	Nam Tiêu Chuẩn
5	2	F2	Nữ Tiêu Chuẩn
6	2	F2	Nữ Tiêu Chuẩn
7	1	M2	Nam Cường Tráng
8	2	F2	Nữ Tiêu Chuẩn
9	1	M1	Nam Tiêu Chuẩn
10	1	M2	Nam Cường Tráng
10	2	F2	Nữ Tiêu Chuẩn
11	1	M2	Nam Cường Tráng
11	2	F1	Nữ Loli
12	2	F1	Nữ Loli
13	1	M1	Nam Tiêu Chuẩn
14	2	F2	Nữ Tiêu Chuẩn
15	1	M1	Nam Tiêu Chuẩn
15	2	F2	Nữ Tiêu Chuẩn
16	1	M2	Nam Cường Tráng
16	2	F1	Nữ Loli
17	1	M1	Nam Tiêu Chuẩn
17	2	F2	Nữ Tiêu Chuẩn
18	1	M1	Nam Tiêu Chuẩn
18	2	F2	Nữ Tiêu Chuẩn
19	1	M1	Nam Tiêu Chuẩn
19	2	F1	Nữ Loli
20	1	M1	Nam Tiêu Chuẩn
20	2	F2	Nữ Loli
