InteractID	Type	MainShape	MainParam	PassivityShape	PassivityParam	Desc	Name	Icon	IconAtlas	SendChat	RefuseChat	AcceptChat	MsgBoxConent
1	ActRunSt	M1	St|21;Run|22;Speed|15;X|-18;Y|15;X1|-29;Y1|-25;HidePart|5	M1	St|23;Run|24;Speed|20;X|18;Y|-15;X1|29;Y1|25;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」đấm thẳng vào ngực đối phương, tỏ ý từ chối	「$M」và「$P」mỉm cười khoác vai nhau cùng sánh bước.	「$M」lén lút ra dấu gọi ngươi, hình như có điều gì muốn nói....
1	ActRunSt	M1	St|41;Run|42;Speed|15;X|23;X1|25;Y|15;Y1|0	M2	St|23;Run|24;Speed|20;X|-23;X1|-25	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」đấm thẳng vào ngực đối phương, tỏ ý từ chối	「$M」và「$P」mỉm cười khoác vai nhau cùng sánh bước.	「$M」lén lút ra dấu gọi ngươi, hình như có điều gì muốn nói....
1	ActRunSt	M1	St|61;Run|62;Speed|15;Y|-7;Y1|1;Height|30	F1	St|23;Run|24;Speed|20;Y|10;Height|30;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		Có lẽ do ngươi diễn hơi lố,「$P」lắc đầu tỏ vẻ không đồng ý	A!「$P」bối rối trước sự thả thính của「$M」, nhưng vẫn nghiêng đầu dựa vào bờ vai ấy	「$M」cúi người đưa tay ra mời, mỉm cười thách thức, chấp nhận lời mời này chứ?
1	ActRunSt	M1	St|81;Run|82;Speed|15;Y|-10;Y1|1	F2	St|23;Run|24;Speed|20;Y|10;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		Có lẽ do ngươi diễn hơi lố,「$P」lắc đầu tỏ vẻ không đồng ý	A!「$P」bối rối trước sự thả thính của「$M」, nhưng vẫn nghiêng đầu dựa vào bờ vai ấy	「$M」cúi người đưa tay ra mời, mỉm cười thách thức, chấp nhận lời mời này chứ?
1	ActRunSt	M2	St|21;Run|22;Speed|15;X|20;Y|0;X1|15;Y1|32	M1	St|43;Run|44;Speed|20;X|-20;Y|30;X1|0;Y1|30;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」đấm thẳng vào ngực đối phương, tỏ ý từ chối	「$M」và「$P」mỉm cười khoác vai nhau cùng sánh bước.	「$M」lén lút ra dấu gọi ngươi, hình như có điều gì muốn nói....
1	ActRunSt	M2	St|41;Run|42;Speed|15;X|-35;Y|0;X1|-5;Y1|0	M2	St|43;Run|44;Speed|20;X|35;Y|0	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」đấm thẳng vào ngực đối phương, tỏ ý từ chối	「$M」và「$P」mỉm cười khoác vai nhau cùng sánh bước.	「$M」lén lút ra dấu gọi ngươi, hình như có điều gì muốn nói....
1	ActRunSt	M2	St|61;Run|62;Speed|15;Y|-12;Height|30	F1	St|43;Run|44;Speed|20;Y|10;Height|30;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		Có lẽ do ngươi diễn hơi lố,「$P」lắc đầu tỏ vẻ không đồng ý	A!「$P」bối rối trước sự thả thính của「$M」, nhưng vẫn nghiêng đầu dựa vào bờ vai ấy	「$M」cúi người đưa tay ra mời, mỉm cười thách thức, chấp nhận lời mời này chứ?
1	ActRunSt	M2	St|81;Run|82;Speed|15;X|-6;Y|-2;X1|0;Y1|-8	F2	St|43;Run|44;Speed|20;Y|10;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		Có lẽ do ngươi diễn hơi lố,「$P」lắc đầu tỏ vẻ không đồng ý	A!「$P」bối rối trước sự thả thính của「$M」, nhưng vẫn nghiêng đầu dựa vào bờ vai ấy	「$M」cúi người đưa tay ra mời, mỉm cười thách thức, chấp nhận lời mời này chứ?
1	ActRunSt	F1	St|21;Run|22;Speed|15;Y|-25;RunEvent|10014	M1	St|63;Run|64;Speed|20;Y|25	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」cúi đầu nhìn ngươi, nhẹ nhàng đưa một ngón tay ra, lắc nhẹ từ chối	「$M」dốc sức đẩy「$P」được một đoạn, đột nhiên nói: Giữa mi và heo ai nặng hơn?	「$M」khoát tay và nhìn thách thức, như thể nói rằng không sao đâu, qua đây nào!
1	ActRunSt	F1	St|41;Run|42;Speed|15;Y|-27;RunEvent|10014	M2	St|63;Run|64;Speed|20;Y|27;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」cúi đầu nhìn ngươi, nhẹ nhàng đưa một ngón tay ra, lắc nhẹ từ chối	「$M」dốc sức đẩy「$P」được một đoạn, đột nhiên nói: Giữa mi và heo ai nặng hơn?	「$M」khoát tay và nhìn thách thức, như thể nói rằng không sao đâu, qua đây nào!
1	ActRunSt	F1	St|61;Run|62;Speed|15;Y|-23;RunEvent|10014	F1	St|63;Run|64;Speed|20;X|0;Y|30;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」cúi đầu nhìn ngươi, nhẹ nhàng đưa một ngón tay ra, lắc nhẹ từ chối	「$M」dốc sức đẩy「$P」được một đoạn, đột nhiên nói: Giữa mi và heo ai nặng hơn?	「$M」khoát tay và nhìn thách thức, như thể nói rằng không sao đâu, qua đây nào!
1	ActRunSt	F1	St|81;Run|82;Speed|15;Y|-24;RunEvent|10014	F2	St|63;Run|64;Speed|20;Y|30	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」cúi đầu nhìn ngươi, nhẹ nhàng đưa một ngón tay ra, lắc nhẹ từ chối	「$M」dốc sức đẩy「$P」được một đoạn, đột nhiên nói: Giữa mi và heo ai nặng hơn?	「$M」khoát tay và nhìn thách thức, như thể nói rằng không sao đâu, qua đây nào!
1	ActRunSt	F2	St|21;Run|22;Speed|15;Y|-38;RunEvent|10014	M1	St|83;Run|84;Speed|20;Y|38;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」cúi đầu nhìn ngươi, nhẹ nhàng đưa một ngón tay ra, lắc nhẹ từ chối	「$M」dốc sức đẩy「$P」được một đoạn, đột nhiên nói: Giữa mi và heo ai nặng hơn?	「$M」khoát tay và nhìn thách thức, như thể nói rằng không sao đâu, qua đây nào!
1	ActRunSt	F2	St|41;Run|42;Speed|15;Y|-38;RunEvent|10014	M2	St|83;Run|84;Speed|20;Y|38;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」cúi đầu nhìn ngươi, nhẹ nhàng đưa một ngón tay ra, lắc nhẹ từ chối	「$M」dốc sức đẩy「$P」được một đoạn, đột nhiên nói: Giữa mi và heo ai nặng hơn?	「$M」khoát tay và nhìn thách thức, như thể nói rằng không sao đâu, qua đây nào!
1	ActRunSt	F2	St|61;Run|62;Speed|15;Y|-3;Height|30	F1	St|83;Run|84;Speed|20;Y|10;Height|30;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		Có lẽ do ngươi diễn hơi lố,「$P」lắc đầu tỏ vẻ không đồng ý	A!「$P」bối rối trước sự thả thính của「$M」, nhưng vẫn nghiêng đầu dựa vào bờ vai ấy	「$M」cúi người đưa tay ra mời, mỉm cười thách thức, chấp nhận lời mời này chứ?
1	ActRunSt	F2	St|81;Run|82;Speed|15;X|-1;Y|-10	F2	St|83;Run|84;Speed|20;Y|10;HidePart|5	Thân mật	Thân mật	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		Có lẽ do ngươi diễn hơi lố,「$P」lắc đầu tỏ vẻ không đồng ý	A!「$P」bối rối trước sự thả thính của「$M」, nhưng vẫn nghiêng đầu dựa vào bờ vai ấy	「$M」cúi người đưa tay ra mời, mỉm cười thách thức, chấp nhận lời mời này chứ?
2	ActRunSt	M1	St|25;Run|26;Speed|15;X|-30;Y|20;X1|-30;Y1|35	M1	St|27;Run|28;Speed|20;X|30;Y|-20;X1|30;Y1|-35	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	M1	St|45;Run|46;Speed|15;X|-30;Y|50;X1|-33;Y1|55	M2	St|27;Run|28;Speed|20;X|30;X1|33	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	M1	St|65;Run|66;Speed|15;X|-26;Y|52;X1|-27;Y1|25	F1	St|27;Run|28;Speed|20;X|25	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	M1	St|85;Run|86;Speed|15;X|-21;Y|35;X1|-39;Y1|40	F2	St|27;Run|28;Speed|20;X|25	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	M2	St|25;Run|26;Speed|15;X|-29;Y|29;X1|-28;Y1|37	M1	St|47;Run|48;Speed|20;X|33	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	M2	St|45;Run|46;Speed|15;X|-37;Y|22;X1|-33;Y1|60	M2	St|47;Run|48;Speed|20;X|31	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	M2	St|65;Run|66;Speed|15;X|-29;Y|12;X1|-31;Y1|40	F1	St|47;Run|48;Speed|20;X|29	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	M2	St|85;Run|86;Speed|15;X|-19;Y|45;X1|-33;Y1|35	F2	St|47;Run|48;Speed|20;X|33	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	F1	St|25;Run|26;Speed|15;X|-23;Y|47;X1|-33;Y1|47	M1	St|67;Run|68;Speed|20;X|27	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	F1	St|45;Run|46;Speed|15;X|-22;Y|40;X1|-46;Y1|40	M2	St|67;Run|68;Speed|20;X|22	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
2	ActRunSt	F1	St|65;Run|66;Speed|15;X|-17;Y|32;X1|-17;Y1|20	F1	St|67;Run|68;Speed|20;X|22	Nắm tay	Nắm tay	Action4	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」nhìn「$M」, ánh mắt long lanh, tỏ vẻ chờ xem「$M」diễn tiếp.	「$M」và「$P」nắm tay nhau cùng đi dạo, thật khiến nhiều người ngưỡng mộ#12	「$M」xòe bàn tay và thấp thỏm nhìn ngươi, mong muốn ngươi đặt tay lên đó.
