bMoney	szTitle	szA1	szA2	szA3	szA4	szA5	szA6	szA7	szA8
	%s thích nhất nhân vật nào dưới đây?	Độc Cô Kiếm	Dương Ảnh Phong	Nam Cung Phi	Trương Như Mộng	Tử Hiên	Nạp Lan Chân	Nguyệt My Nhi	Tường Vi
	%s thích nhất môn phái nào dưới đây?	Côn Lôn	Tiêu Dao	Đào Hoa	Ngũ Độc	Tàng Kiếm	Võ Đang	Thiên Vương	Thúy Yên
	%s thích nhất đồng hành nào dưới đây?	Hoàn Nhan Hồng Liệt	Võ Tắc Thiên	Hạng Vũ	Tần Thủy Hoàng	Kinh Kha	Triệu Vân	Đường Giản	Độc Cô Kiếm
	%s thích nhất danh tướng nào?	Lý Quảng	Nhạc Phi	Kinh Kha	Lý Nguyên Bá	Ngao Bái	Triết Biệt	Hàn Thế Trung	Triệu Vân
	%s sẽ chọn Thủ Lĩnh Dã Ngoại nào dưới đây làm thú cưỡi?	Hàn Ngọc Lộc Vương	Đại Địa Lang Vương	Bạch Mi Hầu Vương	Song Thủ Dị Thú	Cửu Vĩ Hồ Vương	Bôn Diệm Báo Vương	Kim Sí Bằng Hoàng	Định Hải Kim Cang
	%s thích nhất hoạt động ngày nào dưới đây?	Khiêu Chiến Anh Hùng	Nhiệm Vụ Trừng Ác	Bang Hội Truyền Công	Luyện Công Ngoài Thành	Trận Pháp Thí Luyện	Võ Thần Điện	Nhiệm Vụ Thương Hội	Ngồi Thiền Tịnh Tâm
	%s thích nhất hoạt động hạn giờ nào dưới đây?	Thi Đấu Môn Phái	Thông Thiên Tháp	Chiến Trường Tống Kim	Bạch Hổ Đường	Vận Tiêu Bang Hội	Lửa Trại Bang Hội	Minh Chủ Võ Lâm	Tâm Ma Ảo Cảnh
	%s thích nhất Ngoại Trang nào dưới đây?	Hệ thống Phù Quang	Ti Lộ Lưu Sa	Anh Lạc Trường Không	Mặc Chỉ U Lan	Thanh Trúc Mịch Ảnh	Quân Tử Như Phong	Bạch Ngọc Lang Hoàn	Thiên Diệp Sâm La
	%s thích nhất hoạt động ngày lễ nào trong trò chơi?	Năm mới	Song đán	Giỗ Tổ Hùng Vương	Lễ Mừng	Lễ Tình Nhân	Tiết Thanh Minh	Lễ Sư Đồ	Sự kiện Tháng 11
	%s thích nhất cảnh sắc của bản đồ nào dưới đây?	Lâm An Thành	Tương Dương	Vong Ưu Đảo	Tỏa Vân Uyên	Côn Hư Mạch Tàng	Kiếm Môn Quan	Kỳ Liên Sơn	Trường Bạch Sơn
