name1	name2	name3	name4	name5	name6	name7	name8	name9	name10
Phượng Hoàng Vu Phi	Tư Tự Vạn Thiên	Lý Trực Khí Tráng	Noãn Y Bão Thực	Lan Chất Huệ Tâm	Hỉ Tiếu Nhan Khai	Công Bất Khả Một	Cây Xanh Lá Tốt	Ái Như Kỷ Xuất	Đại Hỉ Quá Vọng
Phi Hồng Đạp Tuyết	Thiên Ngôn Vạn Ngữ	Tráng Chí Lăng Vân	Thực Vi Dân Thiên	Tâm Hoa Nộ Phóng	Khai Hoa Kết Quả	Một Xỉ Bất Vong	Mậu Lâm Tu Trúc	Xuất Nhân Ý Biểu	Vọng Xuyên Thu Thủy
Tuyết Nguyệt Phong Hoa	Ngữ Diệu Thiên Hạ	Vân Thư Hà Quyển	Thiên Trường Địa Cửu	Phóng Ngôn Cao Luận	Quả Vu Tự Tín	Vong Hồ Sở Dĩ	Trúc Mã Chi Hữu	Biểu Lý Như Nhất	Thủy Sắc Sơn Quang
Hoa Dung Nguyệt Mạo	Hạ Bút Như Thần	Quyển Thổ Trùng Lai	Cửu Biệt Trùng Phùng	Luận Nghị Phong Sinh	Tín Dĩ Vi Chân	Dĩ Lễ Tương Đãi	Hữu Phong Tử Vũ	Nhất Thị Đồng Nhân	Quang Minh Chính Đại
Mạo Mỹ Như Tiên	Thần Thái Phi Dương	Lai Nhật Phương Trường	Phùng Sơn Khai Lộ	Sinh Khí Bồng Bột	Chân Tình Thực Cảm	Đãi Tự Khuê Trung	Vũ Quá Thiên Tinh	Nhân Nghĩa Đạo Đức	Đại Trí Nhược Ngu
Tiên Tư Ngọc Sắc	Dương Dương Tự Đắc	Trường Trị Cửu An	Lộ Kiến Bất Bình	Bột Nhiên Đại Nộ	Cảm Kích Bất Tận	Trung Dung Chi Đạo	Tinh Không Vạn Lý	Đức Cao Vọng Trọng	Ngu Muội Vô Tri
Sắc Sắc Câu Toàn	Đắc Tâm Ứng Thủ	An Cư Lạc Nghiệp	Bình Dị Cận Nhân	Nộ Phát Xung Quán	Tận Thiện Tận Mỹ	Đạo Thính Đồ Thuyết	Lý Ứng Ngoại Hợp	Trọng Chấn Kỳ Cổ	Tri Quá Tất Cải
Toàn Tâm Toàn Ý	Thủ Túc Chi Tình	Nghiệp Tinh Vu Cần	Nhân Sơn Nhân Hải	Quán Tuyệt Nhất Thì	Mỹ Nhân Như Ngọc	Thuyết Cổ Đạo Kim	Hợp Gia Đại Cát	Cổ Vũ Hoan Hân	Cải Tà Quy Chính
Ý Khí Phong Phát	Tình Đầu Ý Hợp	Cần Học Hảo Vấn	Hải Khoát Thiên Không	Thì Lai Vận Chuyển	Ngọc Đường Kim Mã	Kim Phi Tích Tỷ	Cát Nhân Thiên Tương	Hân Hỉ Nhược Cuồng	Chính Kinh Bát Bách
Phát Nhân Thâm Tư	Hợp Tình Hợp Lý	Vấn Hàn Vấn Noãn	Không Cốc U Lan	Chuyển Bi Vi Hỉ	Mã Đáo Thành Công	Tỷ Dực Liên Chi	Tương Thân Tương Ái	Cuồng Vọng Tự Đại	Bách Điểu Triều Phượng
