szAward	nCostGold	nResId	szContent	Npc
item|786|5;item|10256|1;Contrib|500	188	125	Ân Phương chúc người ngày lễ vui vẻ! Đây là phần quà dành cho đại hiệp!	Ân Phương
Gold|100;item|1927|100;Coin|5000	188	192	Hi hi! Chân Nhi tỉ tỉ làm bánh ngon quá, đây là phần quà Ân Đồng dành tặng cho đại hiệp, mong là người sẽ thích.	Tiểu Ân Đồng
item|224|1;item|10256|1;item|1235|10	188	177	Dương Anh chúc đại hiệp gặp nhiều may mắn và thành công trong sự nghiệp, ta có phần quà dành cho người.	Dương Anh
item|788|1;item|1927|100;item|787|10	188	577	Năm mới sắp đến, thay mặt các loài thú rừng chim muông chúc đại hiệp vui vẻ!	Kim Sí Bằng Hoàng
Contrib|3000;item|222|5;item|1234|10	188	32	Mai là đêm giao thừa, Chân Nhi chúc đại hiệp mua may bán đắt, vui vẻ hạnh phúc. Đây là quà năm mới ta và cha chuẩn bị, hãy nhận đi!	Nạp Lan Chân
item|2569|1;item|10256|1;item|785|5	188	1102	Ta chúc đại hiệp vạn sự như ý, đây có chút quà mọn, xin hãy nhận lấy.	Công Tôn Tích Hoa
item|788|1;item|222|5;item|1235|10	188	5027	Chúc đại hiệp sự nghiệp thành tựu, gia đình hạnh phúc! Đây là quà võ lâm chuẩn bị, mong hãy nhận cho.	Độc Cô Kiếm
item|224|1;item|1927|100;item|787|10	188	1129	My Nhi chúc đại hiệp và người yêu luôn yêu thương nhau, mỗi ngày đều vui vẻ. Đây là quà Phi Long Bảo dành tặng, hãy kiểm tra.	Nguyệt My Nhi
Energy|5000;item|10256|1;item|1234|10	188	103	Nam Cung Phi xin chúc các bằng hữu mọi việc thuận lợi! Ta có phần quà xin tặng đại hiệp.	Nam Cung Phi
item|788|1;item|1927|100;item|786|5	188	158	Nhược Tuyết xin chúc đại hiệp có dịp Lễ vui vẻ bên gia đình, đây có phần quà xin người nhận lấy.	Yên Nhược Tuyết
SilverBoard|200;item|10256|1;item|1235|10	188	193	Chúc đại hiệp năm mới thành công, may mắn, cường hóa không thất bại, chế tạo được vật phẩm hiếm! Xin nhận quà này!	Tường Vi
item|1930|2;item|1927|100;Coin|10000	188	126	Mong đại hiệp sẽ được bên cạnh người mình yêu đến răng long đầu bạc, đây có phần quà ta và Đường Ảnh ca tặng người, xin hãy nhận lấy	Thu Y Thủy
item|2759|2;item|222|5;item|1234|10	188	1101	Như Mộng xin chúc đại hiệp sớm ngày hoàn thành tâm nguyện, đây là phần quà ta và Thái Hồng chuẩn bị cho người	Trương Như Mộng
Energy|15000;item|1927|100;Contrib|1000	188	141	Thái Hồng chúc đại hiệp sớm ngày vang danh giang hồ, hôm qua phu quân ta đã chuẩn bị phần quà, đây là lễ vật của ta và Phi Nhi.	Nam Cung Thái Hồng
item|224|6;item|222|5;Contrib|500	188	1103	Dương Ảnh Phong chúc đại hiệp sớm ngày lập nên đại nghiệp hùng bá võ lâm, nhân dịp này xin tặng đại hiệp một phần quà.	Dương Ảnh Phong
