bMoney	szTitle	szA1	szA2	szA3	szA4	szA5	szA6	szA7	szA8
	%s thích nhất nhân vật nào dưới đây?	Độc Cô Kiếm	Dương Ảnh Phong	Nam Cung Phi	Trương Như Mộng	Tử Hiên	Nạp Lan Chân	Nguyệt My Nhi	Tường Vi
	%s thích nhất môn phái nào dưới đây?	Côn Lôn	Tiêu Dao	Đào Hoa	Ngũ Độc	Tàng Kiếm	Võ Đang	Thiên Vương	Thúy Yên
	%s thích nhất đồng hành nào dưới đây?	Dương Ảnh Phong	Võ Tắc Thiên	Hạng Vũ	Tần Thủy Hoàng	Kinh Kha	Triệu Vân	Đường Giản	Độc Cô Kiếm
	%s thích nhất danh tướng nào?	Lý Quảng	Nhạc Phi	Kinh Kha	Lý Nguyên Bá	Ngao Bái	Triết Biệt	Hàn Thế Trung	Triệu Vân
	%s sẽ chọn Thủ Lĩnh Dã Ngoại nào dưới đây làm thú cưỡi?	Hàn Ngọc Lộc Vương	Đại Địa Lang Vương	Bạch Mi Hầu Vương	Song Thủ Dị Thú	Cửu Vĩ Hồ Vương	Bôn Diệm Báo Vương	Kim Sí Bằng Hoàng	Định Hải Kim Cang
	%s thích nhất hoạt động ngày nào dưới đây?	Khiêu Chiến Anh Hùng	Nhiệm Vụ Trừng Ác	Bang Hội Truyền Công	Luyện Công Ngoài Thành	Trận Pháp Thí Luyện	Võ Thần Điện	Nhiệm Vụ Thương Hội	Ngồi Thiền Tịnh Tâm
	%s thích nhất hoạt động hạn giờ nào dưới đây?	Thi Đấu Môn Phái	Thông Thiên Tháp	Chiến Trường Tống Kim	Bạch Hổ Đường	Vận Tiêu Bang Hội	Lửa Trại Bang Hội	Minh Chủ Võ Lâm	Tâm Ma Ảo Cảnh
	%s thích nhất Ngoại Trang nào dưới đây?	Hệ thống Phù Quang	Ti Lộ Lưu Sa	Anh Lạc Trường Không	Mặc Chỉ U Lan	Thanh Trúc Mịch Ảnh	Quân Tử Như Phong	Bạch Ngọc Lang Hoàn	Thiên Diệp Sâm La
	%s thích nhất hoạt động ngày lễ nào trong trò chơi?	Năm mới	Giáng sinh	Quốc tế Phụ Nữ	Sinh nhật	Mừng phiên bản	Lễ tình nhân	Lễ Sư Đồ	Đoan Ngọ
	%s thích nhất cảnh sắc của bản đồ nào dưới đây?	Lâm An	Tương Dương	Vong Ưu Đảo	Tỏa Vân Uyên	Điểm Thương Sơn	Kiếm Môn Quan	Kỳ Liên Sơn	Bờ Hồ Động Đình
	%s chuộng dòng thuộc tính nào dưới đây?	Thể chất	Sức mạnh	Nhanh nhẹn	Linh hoạt	Chính xác	Né tránh	Bạo Kích	Hút sinh lực
	%s thích nhất quả nào dưới đây?	Chuối	Táo	Nho	Thanh Long	Dứa	Dây Tây	Lê	Vải
	%s khi nhàn rỗi làm gì để tiêu khiển?	Treo máy	Ngắm cảnh	Trò chuyện	Ngồi im	Rời mạng	Giúp người	Gây hấn	Đi dạo
	%s thích nhất hoạt động phúc lợi nào?	Quà Nguyên Bảo	Quà Mỗi Ngày	Đầu Tư	Điểm Danh	Rung Cây Tiền	Ủy Thác	Nhận Lại 	Đều thích
	%s thích BXH nào dưới đây hơn?	Bang Hội	Lực Chiến	Cấp	Trang Bị	Đồng Hành	Kinh mạch	Gia Viên	Hấp dẫn
	%s thích nhất thành tựu ở phương diện nào?	Bôn Ba Giang Hồ	Tình Nghĩa Giang Hồ	Thần Binh Bảo Giáp	Phúc Lợi Giang Hồ	Trải Nghiệm Giang Hồ	Tỉ Võ	Công Thành Đoạt Bảo	Đều thích
	%s thích nhất hiệu quả bất lợi nào dưới đây?	Bị Thương	Choáng	Làm Chậm	Tàn Phế	Tê liệt	Bạo Kích	Đều thích	Giảm kháng
	%s thích nhất nhân vật nào dưới đây?	Nam Cung Diệt	Tử Hiên	Nạp Lan Chân	Nguyệt My Nhi	Tường Vi	Phương Miễn	Dương Ảnh Phong	Độc Cô Kiếm
	%s thích nhất môn phái nào dưới đây?	Côn Lôn	Cái Bang	Thiên Sơn	Nga Mi	Trường Ca	Đường Môn	Thiếu Lâm	Thiên Nhẫn
	%s thích nhất hoạt động ngày nào dưới đây?	Lăng Tuyệt Phong	Tàng Bảo Đồ	Truyền Công	Luyện Công Ngoài Thành	Sơn Tặc Mật Quật	Võ Thần Điện	Nhiệm Vụ Thương Hội	Ngồi Thiền Tịnh Tâm
	%s thích nhất hoạt động hạn giờ nào dưới đây?	Quần Anh Hội	Thông Thiên Tháp	Danh Tướng	Tần Lăng	Chiến trường	Công Thành Chiến	Thí Luyện Bang Hội	Tâm Ma Ảo Cảnh
	%s tiêu hao Nguyên Bảo vào phương diện nào nhiều nhất?	Cường hóa	Khảm	Trang bị cơ bản	Gia Viên	Chân Nguyên	Đồng Hành	Kinh mạch	Quân Hàm
	%s tiêu hao Nguyên Bảo cách nào nhiều nhất?	Đấu Giá	Bày bán	Nhận Lại Phần Thưởng	Ủy Thác Rời Mạng	Rung Cây Tiền	Chiêu mộ Đồng Hành	Trân Bảo Các	Góp Bang Hội
	Người thân thiết nhất của %s là quan hệ gì?	Sư Phụ	Đồ Đệ	Chỉ là hảo hữu	Kết Bái	Hiệp Lữ	Phu thê	Kẻ Địch	Chỉ cùng bang hội
	%s cho rằng sức mạnh phương diện nào dưới đây hữu dụng nhất?	Cường hóa	Khảm	Trang bị cơ bản	Gia Viên	Chân Nguyên	Đồng Hành	Kinh mạch	Quân Hàm
