szTimeFrame	nNpcTID	Name	Map	szTips1	szTips2	szTips3	Desc
OpenLevel39	1966	Nạp Lan Tiềm Lẫm	Tỏa Vân Uyên	Vô Ưu Giáo Chủ, ở Bản Đồ Lv10-Nam	Nạp Lan Tiềm Lẫm, ở Tỏa Vân Uyên-Nam		Mẫu Đơn Ngưng Huyết, Vô Ưu Giáo Chủ
OpenLevel39	1967	Nạp Lan Chân	Tỏa Vân Uyên	Vong Ưu Đảo Minh Châu, ở Bản Đồ Lv10-Bắc	Nạp Lan Chân, ở Tỏa Vân Uyên-Bắc		Mẫu Đơn Ngưng Huyết, Ngân Ti Thần Thảo
OpenLevel39	1968	Độc Cô Kiếm	Tỏa Vân Uyên	Minh Chủ Võ Lâm, ở Bản Đồ Lv10-Tây Bắc	Độc Cô Kiếm, ở Tỏa Vân Uyên-Tây Bắc		Mẫu Đơn Ngưng Huyết, Hiệp Chi Đại Giả
OpenLevel39	1969	Trương Lâm Tâm	Võ Di Sơn	Vợ Độc Cô Kiếm, ở Bản Đồ Lv10-Đông Bắc	Trương Lâm Tâm, ở Võ Di Sơn-Đông Bắc		Giang Nam Danh Sơn, Em Gái Như Mộng
OpenLevel39	1970	Nam Cung Phi	Võ Di Sơn	Kiếm Trung Chi Kiếm, ở Bản Đồ Lv10-Tây	Nam Cung Phi, ở Võ Di Sơn-Tây		Giang Nam Danh Sơn, Hán Kim Hỗn Huyết
OpenLevel39	1971	Yên Nhược Tuyết	Võ Di Sơn	Vợ Nam Cung Phi, ở Bản Đồ Lv10-Nam	Yên Nhược Tuyết, ở Võ Di Sơn-Nam		Giang Nam Danh Sơn, Cung Phi Thê Tử
OpenLevel39	1972	Mạnh Tri Thu	Nhạn Đãng Sơn	Cha Tường Vi, ở Bản Đồ Lv10-Tây	Mạnh Tri Thu, ở Nhạn Đãng Sơn-Tây		Phù Dung Danh Phong, Lạc Diệp Sơn Trang
OpenLevel39	1973	Nguyệt My Nhi	Nhạn Đãng Sơn	Phi Long Thiếu Chủ, ở Bản Đồ Lv10-Đông	Nguyệt My Nhi, ở Nhạn Đãng Sơn-Đông		Phù Dung Danh Phong, Thù Cha
OpenLevel39	1974	Dương Ảnh Phong	Nhạn Đãng Sơn	Bi Ma Kiếm Thánh, ở Bản Đồ Lv10-Bắc	Dương Ảnh Phong, ở Nhạn Đãng Sơn-Bắc		Phù Dung Danh Phong, Thiên Hạ Đệ Nhất
OpenLevel39	1975	Tường Vi	Bờ Hồ Động Đình	Con gái Mạnh Tri Thu, ở Bản Đồ Lv20-Đông	Tường Vi, ở Động Đình Hồ-Đông		Vân Mộng Đại Trạch, Thiếu Nữ Luyện Thú
