nId	szTitle	nAnswerId	szA1	szA2	szA3	szA4
1	Đâu không phải là di sản văn hóa phi vật thể được UNESCO công nhận?	4	Ca trù	Hát xoan	Hò Huế	Bài chòi
2	Ủy thác rời mạng có thể tích lũy tối đa bao nhiêu giờ?	3	24 giờ	36 giờ	48 giờ	72 giờ
3	Thạch Sanh được ai tặng cây đàn thần?	4	Chằn tinh	Công chúa	Lý Thông	Con Thủy Tề
4	Môn phái Tàng Kiếm khắc chế ngũ hành môn phái nào?	1	Ngũ Độc	Thiếu Lâm	Nga Mi	Võ Đang
5	Truyện Lục Vân Tiên là tác phẩm của nhà thơ nổi tiếng nào?	3	Nguyễn Du	Nguyễn Trãi	Nguyễn Đình Chiểu	Nguyễn Bỉnh Khiêm
6	Đá hồn nào sau đây gia tăng tỉ lệ bạo kích cho nhân vật?	1	Trác Phi Phàm	Trương Phong	Nguyệt Minh Dao	Thiệu Hồng Uyên
7	Đâu không phải là đặc điểm kỹ năng của môn phái Cái Bang?	4	Cận chiến	Bạo kích	Né cao	Tầm xa
8	Mẹ của NPC Nạp Lan Chân và Nguyệt My Nhi là ai?	2	Dương Anh	Nguyệt Minh Dao	Hoàng Mộ Vân	Trương Lâm Tâm
9	Ai trong các vị thần dưới đây không thuộc Tứ Bất Tử?	4	Liễu Hạnh	Chữ Đồng Tử	Thánh Gióng	Lang Liêu
10	Môn phái Côn Lôn bị khắc chế ngũ hành bởi môn phái nào?	3	Thiên Vương	Nga Mi	Đường Môn	Võ Đang
11	Người dân Việt Nam thường ăn gì vào tết Trung Thu?	1	Bánh nướng	Bánh pía	Bánh ít	Bánh chuối
12	Cùng sống với chú Cuội và chị Hằng trên cung trăng là ai?	1	Thỏ ngọc	Trư Bát Giới	Tôn Ngộ Không	Nhện tinh
13	Con vật thường cùng ông Táo chầu trời là gì?	3	Cá ngựa	Rồng	Cá chép	Ngựa
14	Tết Trung Thu diễn ra vào ngày nào?	1	15/8 Âm lịch	15/8 Dương lịch	14/8 Âm lịch	14/8 Dương lịch
15	NPC Nam Cung Thái Hồng là người nước nào?	2	Tống 	Kim	Mông Cổ	Đại Lý
16	Khăn Piêu là vật truyền thống của đồng bào dân tộc nào?	1	Thái	Tày	Nùng	Dao
17	Bài phú nổi tiếng Hoa Sen Trong Giếng Ngọc là của ai?	2	Nguyễn Hiền	Mạc Đĩnh Chi	Ngô Sĩ Liên	Nguyễn Bỉnh Khiêm
18	NPC nào là chưởng môn của Tiêu Dao?	2	Dương Anh	Chúc Tử Hư	Hoàng Mộ Vân	Huyền Nhân
19	An Dương Vương là vị vua nổi tiếng với thành trì nào?	4	Thăng Long	Huế	Gia Định	Cổ Loa
20	Chùa Một Cột còn có tên là gì?	4	Chùa Trấn Quốc	Chùa Dâu	Chùa Quán Sứ	Chùa Diên Hựu
21	Theo phong tục Việt Nam, tết Trung Thu được tổ chức vào?	3	Mùa mưa	Mùa nắng	Mùa thu	Mùa xuân
22	NPC Hoàng Mộ Vân là Chưởng môn phái nào?	2	Đường Môn	Đào Hoa	Cái Bang	Thiên Sơn
23	Mặt trăng thường quay quanh Trái Đất khoảng bao lâu?	3	15 ngày	20 ngày	28 ngày	365 ngày
24	Lý Thái Tổ dời đô về Thăng Long vào năm nào?	2	Năm 1000 	Năm 1010	Năm 1110	Năm 1210
25	Biệt hiệu Hồng Hà Nữ Sĩ là chỉ ai?	3	Hồ Xuân Hương	Bà Huyện Thanh Quan	Đoàn Thị Điểm	Sương Nguyệt Anh
26	Bài hát Chiếc Đèn Ông Sao do nhạc sĩ nào sáng tác?	1	Phạm Tuyên	Trịnh Công Sơn	Hoàng Lân	Lưu Hữu Phước
