ItemId	MaxItemCount	Desc	TypeName	Silver2GoldRate	OrgPrice	Price1	Price2	Price3	Price4	Price5	Price6	Price7	Price8	Price9	Price10	Price11	OrgSilverPrice	SilverPrice1	SilverPrice2	SilverPrice3	SilverPrice4	SilverPrice5	SilverPrice6	SilverPrice7	SilverPrice8	SilverPrice9	SilverPrice10	SilverPrice11	MaxPriceRate1	MaxPriceRate2	MaxPriceRate3	MaxPriceRate4	MaxPriceRate5	MaxPriceRate6	MaxPriceRate7	MaxPriceRate8	MaxPriceRate9	MaxPriceRate10	MaxPriceRate11	MaxPriceRate12
1526	1	Cao-Phụ Ma Thạch	Vật Phẩm Tiêu Hao	1	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1392	1	Phụ Ma Thạch-Tấn Công Lv2	Vật Phẩm Tiêu Hao	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
3714	1	Tẩy Tủy Kinh-Thượng	Vật Phẩm Tiêu Hao	1	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
3715	1	Tẩy Tủy Kinh-Trung	Vật Phẩm Tiêu Hao	1	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
3716	1	Tẩy Tủy Kinh-Hạ	Vật Phẩm Tiêu Hao	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1430	1	Bí Kíp Võ Lâm-Thượng	Vật Phẩm Tiêu Hao	1	500	500	500	500	450	450	400	400	350	350	350	350	500	500	500	500	450	450	400	400	350	350	350	350	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1431	1	Bí Kíp Võ Lâm (Trung)	Vật Phẩm Tiêu Hao	1	750	750	750	750	750	750	675	675	600	600	600	600	750	750	750	750	750	750	675	675	600	600	600	600	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1432	1	Bí Kíp Võ Lâm-Hạ	Vật Phẩm Tiêu Hao	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
2424	20	Tín Vật Môn Phái	Vật Phẩm Tiêu Hao	1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
2527	20	Mã Bài	Vật Phẩm Tiêu Hao	1	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
2396	1	Sách Tu Vi-Cao	Vật Phẩm Tiêu Hao	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
2804	1	Hòa Thị Bích	Vật Phẩm Tiêu Hao	1	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
10014	1	Tùy Hầu Châu	Vật Phẩm Tiêu Hao	1	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
788	1	Tàng Bảo Đồ-Cao	Vật Phẩm Tiêu Hao	1	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
4462	10	Bình Nguyên Khí-Nhỏ	Vật Phẩm Tiêu Hao	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
4816	10	Bình Nguyên Khí-Vừa	Vật Phẩm Tiêu Hao	1	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
4817	5	Bình Nguyên Khí-Lớn	Vật Phẩm Tiêu Hao	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1397	1	Truyền Thuyết Lệnh	Lệnh Bài Quân Hàm	1	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1396	1	Hoàng Đế Lệnh	Lệnh Bài Quân Hàm	1	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1395	1	Trục Lộc Lệnh	Lệnh Bài Quân Hàm	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1394	1	Danh Tướng Lệnh	Lệnh Bài Quân Hàm	1	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1393	1	Minh Chủ Lệnh	Lệnh Bài Quân Hàm	1	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
5566	1	Vũ Khí Hiếm T16	Trang Bị	1	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	47500	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
5626	1	Áo Hiếm T16	Trang Bị	1	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	28500	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
5576	1	Dây Chuyền Hiếm T16	Trang Bị	1	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
5586	1	Nhẫn Hiếm T16	Trang Bị	1	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	19000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
