ItemId	Desc	ItemCount1	ItemCount2	ItemCount3	ItemCount4	ItemCount5	ItemCount6	ItemCount7	ItemCount8	ItemCount9	ItemCount10	ItemCount11	ItemCount12	ItemCount13	SilverBoard	OneUp	ForbidStall
1394	Danh Tướng Lệnh	5													1	1	1
1395	Trục Lộc Lệnh		5												1	1	1
1396	Hoàng Đế Lệnh				5	5	5	10	10	5	5	5	5	5	1	1	1
1397	Truyền Thuyết Lệnh									3	3	3	3	3	1	1	1
4282	Hiếm-Chân Nguyên Bậc 1 (Chưa giám định) 		3												1	1	0
4283	Hiếm-Chân Nguyên Bậc 2 (Chưa giám định) 			3											1	1	0
4284	Hiếm-Chân Nguyên Bậc 3 (Chưa giám định) 				3										1	1	0
4285	Hiếm-Chân Nguyên Bậc 4 (Chưa giám định) 					3									1	1	0
4286	Hiếm-Chân Nguyên Bậc 5 (Chưa giám định) 						3								1	1	0
4287	Hiếm-Chân Nguyên Bậc 6 (Chưa giám định) 							3							1	1	0
4288	Hiếm-Chân Nguyên Bậc 7 (Chưa giám định) 								3						1	1	0
7108	Chân Nguyên Hiếm Bậc 8 (Chưa giám định)									3					1	1	0
7573	Chân Nguyên Bậc 9 Hiếm (Chưa giám định)										3				1	1	0
7574	Chân Nguyên Hiếm Bậc 10 (Chưa giám định)											3			1	1	0
7575	Chân Nguyên Hiếm Bậc 11 (Chưa giám định)												3		1	1	0
7576	Chân Nguyên Hiếm Bậc 12 (Chưa giám định)													3	1	1	0
2794	Hoàng Kim Đồ Phổ-Vũ Khí					1	1	1	1	1	1	1	1	1	1	1	1
2796	Hoàng Kim Đồ Phổ-Nón				0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
2800	Hoàng Kim Đồ Phổ-Dây Chuyền				0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
2795	Hoàng Kim Đồ Phổ-Áo				1	1	1	1	1	1	1	1	1	1	1	1	1
