Key	EquipId	Desc
InDiffer	568	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	472	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	448	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	377	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	400	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	424	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	496	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	544	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	520	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	353	Vũ Khí T3 Đặc Chế-Hiếm
InDiffer	6456	Ngoại Trang Đồng Phục 2
InDiffer	6787	Đầu Khôi Đồng Phục 2
ZhaoQin59	573	Vũ Khí T3 Đặc Chế-Hiếm
ZhaoQin59	477	Nón T3 Đặc Chế-Hiếm
ZhaoQin59	453	Hộ Uyển T3 Đặc Chế-Hiếm
ZhaoQin59	382	Áo T3 Đặc Chế-Hiếm
ZhaoQin59	405	Đai T3 Đặc Chế-Hiếm
ZhaoQin59	429	Giày T3 Đặc Chế-Hiếm
ZhaoQin59	501	Dây Chuyền T3 Đặc Chế-Hiếm
ZhaoQin59	549	Nhẫn T3 Đặc Chế-Hiếm
ZhaoQin59	525	Ngọc Bội T3 Đặc Chế-Hiếm
ZhaoQin59	358	Hộ Thân Phù T3 Đặc Chế-Hiếm
ZhaoQin59	6456	Ngoại Trang Đồng Phục
ZhaoQin59	6787	Đầu-Đồng Phục
ZhaoQin69	574	Vũ Khí T4 Đặc Chế-Hiếm
ZhaoQin69	478	Nón T4 Đặc Chế-Hiếm
ZhaoQin69	454	Hộ Uyển T4 Đặc Chế-Hiếm
ZhaoQin69	383	Áo T4 Đặc Chế-Hiếm
ZhaoQin69	406	Đai T4 Đặc Chế-Hiếm
ZhaoQin69	430	Giày T4 Đặc Chế-Hiếm
ZhaoQin69	502	Dây Chuyền T4 Đặc Chế-Hiếm
ZhaoQin69	550	Nhẫn T4 Đặc Chế-Hiếm
ZhaoQin69	526	Ngọc Bội T4 Đặc Chế-Hiếm
ZhaoQin69	359	Hộ Thân Phù T4 Đặc Chế-Hiếm
ZhaoQin69	6456	Ngoại Trang Đồng Phục
ZhaoQin69	6787	Đầu-Đồng Phục
ZhaoQin79	575	Vũ Khí T5 Đặc Chế-Hiếm
ZhaoQin79	479	Nón T5 Đặc Chế-Hiếm
ZhaoQin79	455	Hộ Uyển T5 Đặc Chế-Hiếm
ZhaoQin79	384	Áo T5 Đặc Chế-Hiếm
ZhaoQin79	407	Đai T5 Đặc Chế-Hiếm
ZhaoQin79	431	Giày T5 Đặc Chế-Hiếm
ZhaoQin79	503	Dây Chuyền T5 Đặc Chế-Hiếm
ZhaoQin79	551	Nhẫn T5 Đặc Chế-Hiếm
ZhaoQin79	527	Ngọc Bội T5 Đặc Chế-Hiếm
ZhaoQin79	360	Hộ Thân Phù T5 Đặc Chế-Hiếm
ZhaoQin79	6456	Ngoại Trang Đồng Phục
ZhaoQin79	6787	Đầu-Đồng Phục
ZhaoQin89	576	Vũ Khí T6 Đặc Chế-Hiếm
ZhaoQin89	480	Nón T6 Đặc Chế-Hiếm
ZhaoQin89	456	Hộ Uyển T6 Đặc Chế-Hiếm
ZhaoQin89	385	Áo T6 Đặc Chế-Hiếm
ZhaoQin89	408	Đai T6 Đặc Chế-Hiếm
ZhaoQin89	432	Giày T6 Đặc Chế-Hiếm
ZhaoQin89	504	Dây Chuyền T6 Đặc Chế-Hiếm
ZhaoQin89	552	Nhẫn T6 Đặc Chế-Hiếm
ZhaoQin89	528	Ngọc Bội T6 Đặc Chế-Hiếm
ZhaoQin89	361	Hộ Thân Phù T6 Đặc Chế-Hiếm
ZhaoQin89	6456	Ngoại Trang Đồng Phục
ZhaoQin89	6787	Đầu-Đồng Phục
ZhaoQin99	577	Vũ Khí T7 Đặc Chế-Hiếm
ZhaoQin99	481	Nón T7 Đặc Chế-Hiếm
ZhaoQin99	457	Hộ Uyển T7 Đặc Chế-Hiếm
ZhaoQin99	386	Áo T7 Đặc Chế-Hiếm
ZhaoQin99	409	Đai T7 Đặc Chế-Hiếm
ZhaoQin99	433	Giày T7 Đặc Chế-Hiếm
ZhaoQin99	505	Dây Chuyền T7 Đặc Chế-Hiếm
ZhaoQin99	553	Nhẫn T7 Đặc Chế-Hiếm
ZhaoQin99	529	Ngọc Bội T7 Đặc Chế-Hiếm
ZhaoQin99	362	Hộ Thân Phù T7 Đặc Chế-Hiếm
ZhaoQin99	6456	Ngoại Trang Đồng Phục
ZhaoQin99	6787	Đầu-Đồng Phục
ZhaoQin109	578	Vũ Khí T8 Đặc Chế-Hiếm
ZhaoQin109	482	Nón T8 Đặc Chế-Hiếm
ZhaoQin109	458	Hộ Uyển T8 Đặc Chế-Hiếm
ZhaoQin109	387	Áo T8 Đặc Chế-Hiếm
ZhaoQin109	410	Đai T8 Đặc Chế-Hiếm
ZhaoQin109	434	Giày T8 Đặc Chế-Hiếm
ZhaoQin109	506	Dây Chuyền T8 Đặc Chế-Hiếm
ZhaoQin109	554	Nhẫn T8 Đặc Chế-Hiếm
ZhaoQin109	530	Ngọc Bội T8 Đặc Chế-Hiếm
ZhaoQin109	363	Hộ Thân Phù T8 Đặc Chế-Hiếm
ZhaoQin109	6456	Ngoại Trang Đồng Phục
ZhaoQin109	6787	Đầu-Đồng Phục
