Key	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	desc	desc2
InDiffer	0	1788	1736	1873	1880			Đầu	4 món Lv3
InDiffer	1	1713	1799	1732	1854			Áo	4 món Lv3
InDiffer	2	1734	1768	1805	1816			Đai	4 món Lv3
InDiffer	5	1797	1870	1804	1764			Hộ Uyển	4 món Lv3
InDiffer	4	1766	1824	1839	1871			Giày	4 món Lv3
InDiffer	3	1838	1815	1876	1849			Vũ Khí	4 món Lv3
InDiffer	8	1769	1806	1787	1743			Dây Chuyền	4 món Lv3
InDiffer	7	1731	1762	1800	1859			Nhẫn	4 món Lv3
InDiffer	9	1739	1765	1763	1803			Ngọc Bội	4 món Lv3
InDiffer	6	2847	1733	1729	1775			Hộ Thân Phù	4 món Lv3
ZhaoQin59	0	1788	1873	1880				Đầu	
ZhaoQin59	1	1713	1799	1854				Áo	
ZhaoQin59	2	1768	1805	1816				Đai	
ZhaoQin59	5	1797	1870	1804				Hộ Uyển	
ZhaoQin59	4	1824	1839	1871				Giày	
ZhaoQin59	3	1815	1876	1849				Vũ Khí	
ZhaoQin59	8	1806	1787	1743				Dây Chuyền	
ZhaoQin59	7	1731	1800	1859				Nhẫn	
ZhaoQin59	9	1739	1763	1803				Ngọc Bội	
ZhaoQin59	6	1733	1729	1775				Hộ Thân Phù	
ZhaoQin69	0	1788	1736	1873	1880			Đầu	
ZhaoQin69	1	1713	1799	1732	1854			Áo	
ZhaoQin69	2	1734	1768	1805	1816			Đai	
ZhaoQin69	5	1797	1870	1804	1764			Hộ Uyển	
ZhaoQin69	4	1766	1824	1839	1871			Giày	
ZhaoQin69	3	1838	1815	1876	1849			Vũ Khí	
ZhaoQin69	8	1769	1806	1787	1743			Dây Chuyền	
ZhaoQin69	7	1731	1762	1800	1859			Nhẫn	
ZhaoQin69	9	1739	1765	1763	1803			Ngọc Bội	
ZhaoQin69	6	2847	1733	1729	1775			Hộ Thân Phù	
ZhaoQin79	0	1866	1814	1845	1845			Đầu	
ZhaoQin79	1	1791	1877	1810	1810			Áo	
ZhaoQin79	2	1812	1846	1883	1894			Đai	
ZhaoQin79	5	1875	1875	1882	1842			Hộ Uyển	
ZhaoQin79	4	1844	1902	1917	1900			Giày	
ZhaoQin79	3	1916	1893	1827	1916			Vũ Khí	
ZhaoQin79	8	1848	1884	1865	1821			Dây Chuyền	
ZhaoQin79	7	1878	1840	1878	1878			Nhẫn	
ZhaoQin79	9	1817	1843	1841	1881			Ngọc Bội	
ZhaoQin79	6	2849	1811	1729	1775			Hộ Thân Phù	
ZhaoQin89	0	1892	2542	1923	2669			Đầu	
ZhaoQin89	1	1869	1888	1888	2538			Áo	
ZhaoQin89	2	1890	1924	1924	1924			Đai	
ZhaoQin89	5	1891	1920	1920	1920			Hộ Uyển	
ZhaoQin89	4	1922	1926	1926	1926			Giày	
ZhaoQin89	3	1886	1908	2537	2850			Vũ Khí	
ZhaoQin89	8	1899	1925	1925	1925			Dây Chuyền	
ZhaoQin89	7	1887	1918	1918	1918			Nhẫn	
ZhaoQin89	9	1895	1921	1919	1919			Ngọc Bội	
ZhaoQin89	6	1889	2851	1885	1885			Hộ Thân Phù	
ZhaoQin99	0	1892	2542	1923	2669	1923		Đầu	
ZhaoQin99	1	1869	1888	1888	2538	2830		Áo	
ZhaoQin99	2	1890	1924	1924	1924	2883		Đai	
ZhaoQin99	5	1891	1920	1920	1920	3220		Hộ Uyển	
ZhaoQin99	4	1922	1926	1926	3218	2675		Giày	
ZhaoQin99	3	1886	1908	2537	2850	1905		Vũ Khí	
ZhaoQin99	8	1899	1925	1925	2829	2677		Dây Chuyền	
ZhaoQin99	7	1887	1918	2543	2882	3219		Nhẫn	
ZhaoQin99	9	1895	1921	1919	2676	2831		Ngọc Bội	
ZhaoQin99	6	1889	2851	1885	2697	2545		Hộ Thân Phù	
ZhaoQin109	0	1892	2551	3378	2670	2832	1923	Đầu	
ZhaoQin109	1	1869	2547	3024	1877	2835	1888	Áo	
ZhaoQin109	2	1890	2553	1924	2885	2833	1883	Đai	
ZhaoQin109	5	3223	1913	1910	1911	1914	1915	Hộ Uyển	
ZhaoQin109	4	2550	1922	1926	2678	3221	3711	Giày	
ZhaoQin109	3	2546	2852	3379	1886	1905	3860	Vũ Khí	
ZhaoQin109	8	1899	2549	1925	3862	2834	4850	Dây Chuyền	
ZhaoQin109	7	2552	1918	3222	1887	2884	6077	Nhẫn	
ZhaoQin109	9	2548	1921	3861	1895	2836	6078	Ngọc Bội	
ZhaoQin109	6	1912	2554	2698	4546	4547	4548	Hộ Thân Phù	
