nBornTime	nNpcId	nTeam	nLevel	nNum	nPosX	nPosY	nDir	nScore	nMovePath	nRespawnTime	AwardType	AwadParam	DieMsg	BornMsg	AllNotify
1	162	1	40	1	7187	7298	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	7197	6143	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	6609	6741	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	7785	6752	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	8132	8359	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	8132	7949	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	8163	5439	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	8153	5008	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	5097	8023	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	5433	7613	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	5464	5744	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	5149	5386	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	5993	8377	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	6259	8038	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	6337	5529	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	6029	5221	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	4288	7594	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	4883	7603	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	4263	5937	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	162	1	40	1	4922	5922	16	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
1	170	2	40	1	11220	7298	48	25		45			Đã diệt Sĩ Binh phe địch, nhận 25 điểm		
