AwardID	Rank	Award	AwardRate	Rate	AuctionAward	AuctionAwardCount	AuctionAwardRate	Desc
1	1	item|947|4;item|3085|1						Hàn Ngọc Lộc Vương
1	2	item|947|2;item|3086|1						Hàn Ngọc Lộc Vương
1	3	item|947|1;item|3087|1						Hàn Ngọc Lộc Vương
1	4	item|3087|1	item|947|1	50				Hàn Ngọc Lộc Vương
1	5	item|3087|1	item|947|1	50				Hàn Ngọc Lộc Vương
1	-1	item|3087|1						
2	1	item|948|4;item|3085|1						Đại Địa Lang Vương
2	2	item|948|2;item|3086|1						Đại Địa Lang Vương
2	3	item|948|1;item|3087|1						Đại Địa Lang Vương
2	4	item|3087|1	item|948|1	50				Đại Địa Lang Vương
2	5	item|3087|1	item|948|1	50				Đại Địa Lang Vương
2	-1	item|3087|1						
3	1	item|949|4;item|3085|1						Bạch Mi Hầu Vương
3	2	item|949|2;item|3086|1						Bạch Mi Hầu Vương
3	3	item|949|1;item|3087|1						Bạch Mi Hầu Vương
3	4	item|3087|1	item|949|1	50				Bạch Mi Hầu Vương
3	5	item|3087|1	item|949|1	50				Bạch Mi Hầu Vương
3	-1	item|3087|1						
4	1	item|947|2;item|3085|1						Hàn Ngọc Lộc Vương
4	2	item|947|1;item|3086|1	item|947|1	50				Hàn Ngọc Lộc Vương
4	-1	item|3087|1						
5	1	item|948|2;item|3085|1						Đại Địa Lang Vương
5	2	item|948|1;item|3086|1	item|948|1	50				Đại Địa Lang Vương
5	-1	item|3087|1						
6	1	item|949|2;item|3085|1						Bạch Mi Hầu Vương
6	2	item|949|1;item|3086|1	item|949|1	50				Bạch Mi Hầu Vương
6	-1	item|3087|1						
7	1	item|952|4;item|3085|1						Cửu Vĩ Hồ Vương (Lv40)
7	2	item|952|2;item|3086|1						Cửu Vĩ Hồ Vương (Lv40)
7	3	item|952|1;item|3087|1						Cửu Vĩ Hồ Vương (Lv40)
7	4	item|3087|1	item|952|1	50				Cửu Vĩ Hồ Vương (Lv40)
7	5	item|3087|1	item|952|1	50				Cửu Vĩ Hồ Vương (Lv40)
7	-1	item|3087|1						
8	1	item|954|4;item|3085|1						Song Thủ Dị Thú (Lv40)
8	2	item|954|2;item|3086|1						Song Thủ Dị Thú (Lv40)
8	3	item|954|1;item|3087|1						Song Thủ Dị Thú (Lv40)
8	4	item|3087|1	item|954|1	50				Song Thủ Dị Thú (Lv40)
8	5	item|3087|1	item|954|1	50				Song Thủ Dị Thú (Lv40)
8	-1	item|3087|1						
9	1	item|953|4;item|3085|1						Bôn Diệm Báo Vương (Lv40)
9	2	item|953|2;item|3086|1						Bôn Diệm Báo Vương (Lv40)
9	3	item|953|1;item|3087|1						Bôn Diệm Báo Vương (Lv40)
9	4	item|3087|1	item|953|1	50				Bôn Diệm Báo Vương (Lv40)
9	5	item|3087|1	item|953|1	50				Bôn Diệm Báo Vương (Lv40)
9	-1	item|3087|1						
10	1	item|955|4;item|3085|1						Cửu Vĩ Hồ Vương (Lv50)
10	2	item|955|2;item|3086|1						Cửu Vĩ Hồ Vương (Lv50)
10	3	item|955|1;item|3087|1						Cửu Vĩ Hồ Vương (Lv50)
10	4	item|3087|1	item|955|1	50				Cửu Vĩ Hồ Vương (Lv50)
10	5	item|3087|1	item|955|1	50				Cửu Vĩ Hồ Vương (Lv50)
10	-1	item|3087|1						
11	1	item|2224|4;item|3085|1						Song Thủ Dị Thú (Lv50)
11	2	item|2224|2;item|3086|1						Song Thủ Dị Thú (Lv50)
11	3	item|2224|1;item|3087|1						Song Thủ Dị Thú (Lv50)
11	4	item|3087|1	item|2224|1	50				Song Thủ Dị Thú (Lv50)
11	5	item|3087|1	item|2224|1	50				Song Thủ Dị Thú (Lv50)
11	-1	item|3087|1						
12	1	item|956|4;item|3085|1						Bôn Diệm Báo Vương (Lv50)
