nId	nLevelMin	nLevelMax	szTimeBegin	szTimeEnd	tbAwardInfo	Desc
1	1	999			Gold|0	Minh Chủ Võ Lâm: Nguyên Bảo
1	1	999	OpenLevel179		Item|10376	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T16
1	1	999	OpenLevel169	OpenLevel179	Item|5825	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T15
1	1	999	OpenLevel159	OpenLevel169	Item|5824	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T14
1	1	999	OpenLevel149	OpenLevel159	Item|5823	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T13
1	1	999	OpenLevel139	OpenLevel149	Item|5822	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T12
1	1	999	OpenLevel129	OpenLevel139	Item|5821	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T11
1	1	999	OpenLevel119	OpenLevel129	Item|3679	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T10
1	1	999	OpenLevel109	OpenLevel119	Item|2981	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T9
1	1	999	OpenLevel99	OpenLevel109	Item|2980	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T8
1	1	999	OpenDay188		Item|1396	Minh Chủ Võ Lâm: Hoàng Đế Lệnh
1	1	999	OpenLevel89		Item|3445	Minh Chủ Võ Lâm: Ngự Thiên Cương (Cương bậc 3) 
1	1	999	OpenLevel89		Item|3416	Minh Chủ Võ Lâm: Giáng Long Cương (Cương bậc 2) 
1	1	999	OpenLevel89		Item|2804	Minh Chủ Võ Lâm: Hòa Thị Bích
1	1	999	OpenLevel149		Item|10014	Minh Chủ Võ Lâm: Tùy Hầu Châu
1	1	999	OpenLevel89	OpenLevel99	Item|2979	Minh Chủ Võ Lâm: Mảnh Áo Hiếm T7
1	1	999	OpenLevel139		Item|3552	Minh Chủ Võ Lâm: Đồng Hành Quỷ Cốc Tử
1	1	999	OpenLevel109		Item|2255	Minh Chủ Võ Lâm: Đồng Hành Đường Giản
1	1	999	OpenLevel89	OpenLevel109	Item|2254	Minh Chủ Võ Lâm: Đồng Hành Dương Ảnh Phong
1	1	999	OpenLevel79	OpenLevel89	Item|2253	Minh Chủ Võ Lâm: Đồng Hành Nam Cung Phi
