nId	szKey	nLevelMin	nLevelMax	nSort	nStarLevel	szTimeFrameOpen	szActiveTimeFrame	szName	szIconAtlas	szIcon	szTag	szJoinCount	szJoinCountFunc	nTimeGroup	bWeek	szFuncName	szParams	szOpenActivityTip	szWeekIcon	bNotPreview
1	Boss	20		4	5	OpenDay1A		Minh Chủ Võ Lâm	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	wulinmengzhu	Mark_PK			2		OpenUi	BossPanel		UI/Textures/ActivityPicture/wulinmengzhu.jpg	
2	CommerceTask	30		24	3	OpenDay2		Nhiệm Vụ Thương Hội	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	shanghuirenwu	Mark_Single	CommerceTask				DoCommerceTask	CommerceTaskPanel			
3	Battle	24		10	4		StartBattle	Chiến Trường Tống Kim	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	Mark_PK	Battle		1		OpenUi	BattleEntrance		UI/Textures/ActivityPicture/songjinzhanchang.jpg	
4	CangBaoTu	21		25	4			Tàng Bảo Đồ	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	cangbaotu	Mark_Single					CangBaoTu				
6	PunishTask	22		18	3			Nhiệm Vụ Trừng Ác	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	chengjierenwu	Mark_Team	PunishTask				OpenUi	TeamPanel|TeamActivity|PunishTask|PunishTask			
7	TeamFuben	15		19	3			Bí Cảnh Tổ Đội	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	zuduimijing	Mark_Team	TeamFuben				OpenUi	TeamFubenPanel			
8	ExplorationFuben	19	69	17	4			Tìm Kho Báu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	guanqiatansuo	Mark_Single	MapExplore				OpenUi	FubenSectionPanel|ExplorationFuben			
9	Rank	17		23	3			Võ Thần Điện	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	wushendian	Mark_Single	RankBattle				OpenUi	RankPanel			
10	RandomFuben	30		20	3	OpenDay2		Lăng Tuyệt Phong	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingjuefeng	Mark_Team	RandomFuben				GoToRandomFuben				
11	QunYingHui	70		6	5	OpenLevel79	QYHCrossStart	Quần Anh Hội	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	qunyinghui	Mark_PK			3		JoinQYHCross	QYHEntrance		UI/Textures/ActivityPicture/qunyinghui.jpg	
