PickerType	ItemType	ItemId	Name	Prob0	Prob1	Prob2	Prob3	Prob4	Prob5	Prob6	Prob7	Prob8	Prob9	ProbHighVip0	ProbHighVip1	ProbHighVip2	ProbHighVip3	ProbHighVip4	ProbHighVip5	ProbHighVip6	ProbHighVip7	ProbHighVip8	ProbHighVip9	nKinTips	nWorldTips
Gold	Partner	13	Dương Ảnh Phong (SS)	0	0	0	0	0						78	78	78	77	0							
Gold	Partner	23	Nguyệt My Nhi	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	24	Dương Anh	33	27	25	23	48						30	25	23	21	48							
Gold	Partner	26	Thanh Hiểu Sư Thái	33	27	25	23	48						30	25	23	21	48							
Gold	Partner	25	Chúc Tử Hư	33	27	25	23	47						30	25	23	21	47							
Gold	Partner	27	Hoàng Mộ Vân	33	27	25	23	47						30	25	23	21	47							
Gold	Partner	28	Đạo Nhất Chân Nhân	33	27	25	23	47						30	25	23	21	47							
Gold	Partner	29	Đoan Mộc Duệ	33	27	25	23	47						30	25	23	21	47							
Gold	Partner	36	Mạnh Tri Thu	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	49	Trương Phong	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	50	Nam Cung Diệt	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	51	Phương Miễn	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	52	Đường Ảnh	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	53	Thu Y Thủy	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	54	Thiên Tinh Đạo Trưởng	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	55	Yên Nhược Tuyết	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	56	Dương Hi Liệt	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	57	Thượng Quan Phi Long	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	58	Nạp Lan Tiềm Lẫm	66	55	51	47	96						61	51	47	43	96							
Gold	Partner	37	Cao Trường Cung	0	27	25	23	47						0	25	23	21	47							
Gold	Partner	38	Triết Biệt	0	27	25	23	47						0	25	23	21	47							
Gold	Partner	39	Tần Lương Ngọc	0	27	25	23	47						0	25	23	21	47							
Gold	Partner	40	Viên Thừa Chí	0	27	25	23	47						0	25	23	21	47							
Gold	Partner	41	Ngao Bái	0	27	25	23	47						0	25	23	21	47							
Gold	Partner	42	Hàn Thế Trung	0	27	25	23	47						0	25	23	21	47							
Gold	Partner	43	Xích Tinh Hổ Hoàng	0	0	0	23	47						0	0	0	21	47							
Gold	Partner	44	Hám Thiên Hùng Hoàng	0	0	0	23	47						0	0	0	21	47							
Gold	Partner	45	Tử Bối Ngạc Hoàng	0	0	0	23	47						0	0	0	21	47							
Gold	Partner	46	Định Hải Kim Cang	0	0	25	23	47						0	0	23	21	47							
Gold	Partner	47	Kim Sí Bằng Hoàng	0	0	25	23	47						0	0	23	21	47							
Gold	Partner	48	Ngân Giác Tê Hoàng (Trên là S) 	0	0	25	23	47						0	0	23	21	47							
Gold	Partner	59	Nạp Lan Chân	462	462	462	462	225						370	370	370	370	225							
Gold	Partner	60	Tiểu Ảnh Phong	462	462	462	462	225						370	370	370	370	225							
Gold	Partner	61	Dương Thiết Tâm	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	63	Vô Tưởng	231	231	231	231	111						185	185	185	185	111							
Gold	Partner	62	Liễu Tiêu Đình	231	231	231	231	111						185	185	185	185	111							
Gold	Partner	64	Lý Điềm Nhi	231	231	231	231	111						185	185	185	185	111							
Gold	Partner	65	Lý Thiên Mục	231	231	231	231	111						185	185	185	185	111							
Gold	Partner	66	Hoàn Nhan Tương	231	231	231	231	111						185	185	185	185	111							
Gold	Partner	76	Đường Tiêu	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	77	Tử Hiên	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	78	Tường Vi	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	79	Trác Phi Phàm	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	80	Nguyệt Minh Dao	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	81	Nam Cung Thái Hồng	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	82	Trương Như Mộng	462	462	462	462	222						370	370	370	370	222							
Gold	Partner	83	Trương Lâm Tâm	462	462	462	462	222						370	370	370	370	222							
