NpcType	ChatID	Faction	Sex	ActionEvent	Desc
-1	1	1	1	10016	Nam Cường Tráng
-1	1	1	2	10018	Nữ Loli
-1	1	2	2	10017	Nữ Tiêu Chuẩn
-1	1	3	2	10018	Nữ Loli
-1	1	4	1	10019	Nam Tiêu Chuẩn
-1	1	4	2	10017	Nữ Tiêu Chuẩn
-1	1	5	1	10019	Nam Tiêu Chuẩn
-1	1	5	2	10017	Nữ Tiêu Chuẩn
-1	1	6	2	10017	Nữ Tiêu Chuẩn
-1	1	7	1	10016	Nam Cường Tráng
-1	1	8	2	10017	Nữ Tiêu Chuẩn
-1	1	9	1	10019	Nam Tiêu Chuẩn
-1	1	10	1	10016	Nam Cường Tráng
-1	1	10	2	10017	Nữ Tiêu Chuẩn
-1	1	11	1	10016	Nam Cường Tráng
-1	1	12	2	10018	Nữ Loli
-1	1	13	1	10019	Nam Tiêu Chuẩn
-1	1	14	2	10017	Nữ Tiêu Chuẩn
-1	1	15	1	10019	Nam Tiêu Chuẩn
-1	1	15	2	10017	Nữ Tiêu Chuẩn
-1	1	16	1	10016	Nam Cường Tráng
-1	1	16	2	10018	Nữ Loli
-1	1	17	1	10019	Nam Tiêu Chuẩn
-1	1	17	2	10017	Nữ Tiêu Chuẩn
-1	1	18	1	10019	Nam Tiêu Chuẩn
-1	1	18	2	10017	Nữ Tiêu Chuẩn
-1	1	19	1	10019	Nam Tiêu Chuẩn
-1	1	19	2	10018	Nữ Loli
-1	2	1	1	10020	Nam Cường Tráng
-1	2	1	2	10020	Nữ Loli
-1	2	2	2	10020	Nữ Tiêu Chuẩn
-1	2	3	2	10020	Nữ Loli
-1	2	4	1	10020	Nam Tiêu Chuẩn
-1	2	4	2	10020	Nữ Tiêu Chuẩn
-1	2	5	1	10020	Nam Tiêu Chuẩn
-1	2	5	2	10020	Nữ Tiêu Chuẩn
-1	2	6	2	10020	Nữ Tiêu Chuẩn
-1	2	7	1	10020	Nam Cường Tráng
-1	2	8	2	10020	Nữ Tiêu Chuẩn
-1	2	9	1	10020	Nam Tiêu Chuẩn
-1	2	10	1	10020	Nam Cường Tráng
-1	2	10	2	10020	Nữ Tiêu Chuẩn
-1	2	11	1	10020	Nam Cường Tráng
-1	2	12	2	10020	Nữ Loli
-1	2	13	1	10020	Nam Tiêu Chuẩn
-1	2	14	2	10020	Nữ Tiêu Chuẩn
-1	2	15	1	10020	Nam Tiêu Chuẩn
-1	2	15	2	10020	Nữ Tiêu Chuẩn
-1	2	16	1	10020	Nam Cường Tráng
-1	2	16	2	10020	Nữ Loli
-1	2	17	1	10020	Nam Tiêu Chuẩn
-1	2	17	2	10020	Nữ Tiêu Chuẩn
-1	2	18	1	10020	Nam Tiêu Chuẩn
-1	2	18	2	10020	Nữ Tiêu Chuẩn
-1	2	19	1	10020	Nam Tiêu Chuẩn
-1	2	19	2	10020	Nữ Loli
-1	3	1	1	10063	Nam Cường Tráng
-1	3	1	2	10065	Nữ Loli
-1	3	2	2	10064	Nữ Tiêu Chuẩn
-1	3	3	2	10065	Nữ Loli
-1	3	4	1	10063	Nam Tiêu Chuẩn
-1	3	4	2	10064	Nữ Tiêu Chuẩn
-1	3	5	1	10063	Nam Tiêu Chuẩn
-1	3	5	2	10064	Nữ Tiêu Chuẩn
-1	3	6	2	10064	Nữ Tiêu Chuẩn
-1	3	7	1	10063	Nam Cường Tráng
-1	3	8	2	10064	Nữ Tiêu Chuẩn
-1	3	9	1	10063	Nam Tiêu Chuẩn
-1	3	10	1	10063	Nam Cường Tráng
-1	3	10	2	10064	Nữ Tiêu Chuẩn
-1	3	11	1	10063	Nam Cường Tráng
-1	3	12	2	10065	Nữ Loli
-1	3	13	1	10063	Nam Tiêu Chuẩn
-1	3	14	2	10064	Nữ Tiêu Chuẩn
-1	3	15	1	10063	Nam Tiêu Chuẩn
-1	3	15	2	10064	Nữ Tiêu Chuẩn
-1	3	16	1	10063	Nam Cường Tráng
-1	3	16	2	10065	Nữ Loli
-1	3	17	1	10063	Nam Tiêu Chuẩn
-1	3	17	2	10064	Nữ Tiêu Chuẩn
-1	3	18	1	10063	Nam Tiêu Chuẩn
-1	3	18	2	10064	Nữ Tiêu Chuẩn
-1	3	19	1	10063	Nam Tiêu Chuẩn
-1	3	19	2	10065	Nữ Loli
-1	4	1	1	10066	Nam Cường Tráng
-1	4	1	2	10068	Nữ Loli
-1	4	2	2	10067	Nữ Tiêu Chuẩn
-1	4	3	2	10068	Nữ Loli
-1	4	4	1	10066	Nam Tiêu Chuẩn
-1	4	4	2	10067	Nữ Tiêu Chuẩn
-1	4	5	1	10066	Nam Tiêu Chuẩn
-1	4	5	2	10067	Nữ Tiêu Chuẩn
