Title	Content
Hỏi thăm	「$M」lễ phép chào hỏi mọi người! Nói: Tại hạ là「$M」, xin chỉ giáo!
Tuấn tú	「$M」 tự nói với mình trong gương: Ôi, bảnh quá...#2
Rao bán	「$M」 rao bán: Đậu phộng, hạt dưa nước suối, bia, nước ngọt, giăm bông...đây...mua đi bà con...
Nói Khoác	「$M」 vỗ ngực nói: Nói ra chắc các ngươi không tin#119, Độc Cô Kiếm thấy ta là kêu đại ca.
Giàu Có	「$M」 vỗ túi tiền bên hông, nói: Hừ, nghèo tới mức chỉ còn Nguyên Bảo!#116
Thất tình	「$M」 lại thất tình#57, một mình u uất tuyệt vọng tại vách cao của Vong Ưu Đảo...
Rời đi	「$M」chạy mất trong thoáng chốc.
Hẹn gặp lại	「$M」 chắp tay nói: Hẹn gặp lại!
Mặt dày	「$M」tự hào tuyên bố: Các ngươi làm gì được ta!#121
Thổ Hào	「$M」 rưng rưng nhìn mọi người, nói: Thổ Hào#115, làm bằng hữu với ta đi!
Khóc	「$M」buồn bã khóc.#117
Đối thủ	「$M」 ngửa mặt lên trời, cười nói: Lẽ nào ta không tìm được đối thủ sao?#36
Người yêu	「$M」thở dài và nói: Hỏi thế gian tình là chi ...
Cung Hỉ Phát Tài	「$M」chắp tay nói: Chào mọi người! Cung hỷ phát tài!
Ra dấu	「$M」để lộ binh khí#70, trừng mắt nói lớn: Nếu ngươi không phục, chúng ta hãy đấu một phen!
Ù tai	「$M」 tự tát mình, cảm thấy trước mặt nổi đầy sao.#20
Hung hăng	「$M」 hung hăng cười nói: Ra tay đi.#116
Vui cười	「$M」 cười nói: Tại hạ chỉ đùa thôi.#6
Hôn	「$M」dùng môi trên hôn môi dưới.
Đá người	「$M」đá mạnh một cước, trúng phải con ruồi.
Ợ	「$M」vỗ vỗ bụng, ợ một tiếng.
Hoa Hồng	「$M」bẻ một cành hoa hồng cài trên tóc, nói: Cành hồng cắm bãi ...
Ngất xỉu	「$M」ngất xỉu.
Đánh quái	「$M」vừa đánh quái vừa nói: Thay trời hành đạo ...
Kêu gào	「$M」 chỉ vào mũi mình nói: Không phục thì đấu một phen!#119
Trút giận	「$M」 cao giọng nói: Kẻ nào dám bắt nạt tiểu muội của ta!#30
Tán dương	「$M」 giơ ngón tay lên: Đúng là cao thủ.#53
Cảm tạ	「$M」cảm tạ tất cả mọi người.
Ngủ ngon	「$M」 ngủ mê mỉm cười hạnh phúc, nước dãi rớt xuống gối.#10#10
Nức nở	「$M」 ấm ức khóc: Hu...hu...hu!#48#48
Khoe khang	「$M」 vui vẻ ngước mặt lên trời, ra vẻ chờ người khác tâng bốc.
Sầu	「$M」 ngỡ ngàng, lẩm bẩm: Lần này phải làm sao đây?#123
Lời hứa	「$M」sảng khoái nói một câu: Quân tử nhất ngôn, tứ mã nan truy!
Rách nát	「$M」 gào khóc: Trang bị rách nát thế này, làm sao bây giờ!#125
Suy nghĩ	「$M」 khoanh tay đi tới đi lui, có vẻ như có ý đồ xấu xa gì đó.#116
Lãnh thị	「$M」 lạnh lùng nhìn từng người, rồi nói: Các ngươi hãy đợi đấy.#119
Tìm viện binh	「$M」hét lớn: Ngươi đợi đấy, ta đi tìm chi viện!
Thổ huyết	「$M」 miệng thổ huyết#122, ngã vật xuống đất.
Ngừng chiến	「$M」nói: Cứ đánh nhau thế thì có ích gì!
