nCollectionId	szName	nCardTemplateId	szTimeFrame	szAward	nRare	szDropNpc1	szDropNpc2	szDropNpc3	szDropNpc4	szDropNpc5
1	Phi Kiếm Khách	2594	OpenLevel59	Coin|500	3	1571|300000				
1	Đá Lửa Lăn	2595	OpenLevel59	Coin|500	2	1665|75000				
1	Hoa Sơn Tội Nhân	2596	OpenLevel59	Coin|500	3	1325|300000				
1	Đường Môn Anh Kiệt	2597	OpenLevel59	Coin|500	4					
1	Huyết Hải Mai Khôi	2598	OpenLevel59	Coin|500	3	1568|300000				
1	Phong Trung Nữ Hiệp	2599	OpenLevel59	Coin|500	2	1331|300000				
1	Thiếu Lâm Phản Đồ	2600	OpenLevel59	Coin|500	3	1574|300000				
1	Thất Tâm Phong	2601	OpenLevel59	Coin|500	3	1670|150000				
1	Nhận Giặc Làm Cha	2602	OpenLevel59	Coin|500	3	1573|300000				
1	Tàng Kiếm Cô Nữ	2603	OpenLevel59	Coin|500	2					
1	Phi Long Bảo Chủ	2604	OpenLevel59	Coin|500	3	1575|300000				
1	Không Đánh Trả	2605	OpenLevel59	Coin|500	3	1719|350000				
1	Nữ Anh Hùng	2606	OpenLevel59	Coin|500	3	1138|300000				
1	Hộ Hoa Sứ	2607	OpenLevel59	Coin|500	4	1618|120000				
1	Cưu Chiếm Thước Sào	2608	OpenLevel59	Coin|500	3	1361|300000				
1	Hồng Môn Yến	2610	OpenLevel59	Coin|500	5					
1	Chưởng Thượng Minh Châu	2611	OpenLevel59	Coin|500	3	1576|300000				
1	Danh Sĩ	2612	OpenLevel59	Coin|500	4	1599|300000				
1	Ngự Lôi	2613	OpenLevel59	Coin|500	5					
1	Quận Chúa U Sầu	2614	OpenLevel59	Coin|500	4	1581|300000				
1	Phản Quốc Cầu Vinh	2615	OpenLevel59	Coin|500	3	1366|300000				
1	Nghị Hòa Thư	2616	OpenLevel59	Coin|500	5					
1	Tàng Kiếm Trang Chủ	2617	OpenLevel59	Coin|500	3	1372|300000				
1	Võ Đạo Đức Kinh	2618	OpenLevel59	Coin|500	5					
