nDecorationId	szDesc	szMsg
10000	Đại Đệ Tử	Thi Đấu Môn Phái, chọn ra người tài! [FFFE0D]Trúng tuyển Đại Sư Huynh/Đại Sư Tỷ ở Thi Đấu Môn Phái[-]
10001	Độc Cô Cầu Bại	Hoa sơn luận kiếm, độc cô cầu bại! [FFFE0D] Quán quân Hoa sơn luận kiếm[-]
10002	Võ Cực Thiên Hạ	Võ Thần Điện
10003	Thần Binh Lợi Khí	Cường hóa trang bị, thần binh lợi khí! [FFFE0D]Toàn thân cường hóa +100 trở lên[-]
10004	Kỹ Áp Quần Hùng	Khiêu chiến Minh chủ, trấn áp quần hùng! [FFFE0D]200 lần hạng 1 BXH Khiêu chiến Võ lâm minh chủ[-]
10005	Như Hổ Thêm Cánh	Khảm trang bị, như hổ thêm cánh! [FFFE0D]Khảm 40 Đá Hồn Lv6 trở lên[-]
10006	Giàu Sang	Quyên góp bang hội, giàu không ai bắng! [FFFE0D]Quyên góp bang 10000 lần[-]
10007	Đạt Đến Đỉnh Cao	Đạt tới đỉnh cao [FFFE0D]Vượt 20 lần Thông Thiên Tháp tầng 8[-]
10008	Cát Quang Phượng Vũ	Vật phẩm được chế tạo từ thợ giỏi nhất cho [FF69B4]「Võ Lâm Đại Mỹ Nhân TOP 20」[-]
10009	Thảm Phượng Loan (Hình Tim) 	Thảm đặc chế của Tương Dương Tú Phường cho người hữu duyên!
10010	Võ Lâm Chí Tôn	Đại Hội Võ Lâm, Thiên Hạ Chí Tôn! [FFFE0D]Cách nhận: Đoạt quán quân Đại Hội Võ Lâm[-]
10020	Bình Phong Tranh Hoa Đồng	Một vị danh gia viếng thăm「Hoa Đồng Tiểu Trúc」, sau dùng đó để vẽ thành
10031	Hộp Nhạc	[FFFE0D]Cách nhận: Hạng đạt được trong Vòng Chung Kết「VLTK M Voice」[-]
10032	Tỳ Bà	[FF69B4]Top 10「VLTK M Voice」[-]
10033	Trợ Uy Tạo Thế	[FF69B4]Cách nhận: Top 10 phiếu bầu「VLTK M Voice」[-]
10034	Thiên Âm Minh Phượng	[FF69B4]Cách nhận: Top 3 chung kết「VLTK M Voice」[-]
