nResId	Desc	szResPath
1	Giường_Nam	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_biaonan.prefab
2	Giường_Nữ	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_biaonv.prefab
3	Giường_Nữ Loli	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_luoli.prefab
4	Giường_Tiêu Dao	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_xiaoyao.prefab
5	Giường_Thiếu Lâm	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shaolin.prefab
6	Bồn Tắm_Nam	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_biaonan01.prefab
7	Bồn Tắm_Nữ	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_biaonv01.prefab
8	Bồn Tắm_Nữ Loli	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_taohua01.prefab
9	Bồn Tắm_Tiêu Dao	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_xiaoyao01.prefab
10	Bồn Tắm_Thiếu Lâm	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_shaolin01.prefab
11	Đệm Đôi_1	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren01.prefab
12	Đệm Đôi_2	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren02.prefab
13	Đệm Đôi_3	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren03.prefab
14	Gối Đôi_Nam	Scenes/Meshes/sn_jiayuan/Prefabs/tou_biaonan01.prefab
15	Gối Đôi_Nữ	Scenes/Meshes/sn_jiayuan/Prefabs/tou_biaonv01.prefab
16	Gối Đôi_Nữ Loli	Scenes/Meshes/sn_jiayuan/Prefabs/tou_luoli01.prefab
17	Gối Đôi_Thiếu Lâm	Scenes/Meshes/sn_jiayuan/Prefabs/tou_shaolin01.prefab
18	Gối Đôi_Tiêu Dao	Scenes/Meshes/sn_jiayuan/Prefabs/tou_xiaoyao01.prefab
