EmotionId	Length	SizeX	SizeY	Atlas	Desc
1	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
2	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
3	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
4	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
5	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
6	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
7	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
8	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
9	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
10	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
11	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
12	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
13	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
14	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
15	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
16	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
17	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
18	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
19	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
20	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
21	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
22	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
23	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
24	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
25	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
26	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
27	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
28	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
29	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
30	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
31	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
32	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
33	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
34	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
35	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
36	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
37	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
38	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
39	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
40	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
41	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
42	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
43	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
44	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
45	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
46	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
47	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
48	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
49	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
50	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
51	25	22	22	UI/Atlas/NewAtlas/Emotions/Emotions3.prefab	
