nSectionIdx	nSubSectionIdx	nFubenIndex	szTitle		szUiTypeName	szUiAtlas	nNeedTaskId	nType	bFFHideUi	ExtPosition
1	1	1	Tuyết Sơn Cổ Đạo	Nghỉ ngơi vài tháng, cơ thể đã hồi phục rồi, không biết hôm đó là ai đã hạ độc thủ. Có thể hiện trường vẫn còn chút manh mối ...	Fuben6_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
1	2	2	Ly Ưu Sơn	Cùng Nạp Lan Chân đến Ly Ưu Sơn tìm Ngân Ti Thảo, đánh bại Ong Chúa để Nạp Lan Chân hái Ngân Ti Thảo.	Fuben3_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
1	3	3	Vô Ưu Cấm Địa	Phi Chiến: Đến cửa động Vô Ưu Cấm Địa nghe lén Nạp Lan Tiềm Lẫm nói chuyện với đệ tử.	Fuben4_3	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	400|14050|2900|500|38
1	4	4	Ly Ưu Sơn Động	3 người cùng vượt ải	Fuben1_3	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
2	1	5	Hô Khiếu Sơn Đạo	Dương Ảnh Phong ra tay giúp đánh bại đám người bao vây cô gái. Bọn họ như muốn đoạt vật gì đó.	Fuben5_2	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
2	2	6	Tàng Kiếm Sơn Trang	Thông qua đám Trang Đinh tuần tra, đến cuối phó bản nghe lén được đối thoại của Trác Phi Phàm và Tử Hiên	Fuben2_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
2	3	7	Vong Ưu Lữ Đạo	Nghe được Phản Đồ Phi Long thúc ép Nguyệt My Nhi, sau khi hiểu rõ mọi chuyện Nguyệt My Nhi vì quá kích động đã ngất xỉu.	Fuben5_3	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
2	4	8	Tâm Ma Trận	Vượt Tâm Ma Trận ở Vô Ưu Giáo. Diệt ảo ảnh của Trác Phi Phàm, Tử Hiên, Nạp Lan Tiềm Lẫm và Nạp Lan Chân, cuối cùng đánh bại Tâm Ma.	Fuben1_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
2	5	9	Tàng Kiếm U Cốc	Đánh bại kẻ địch đến Phi Long Bảo quấy nhiễu	Fuben8_3	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	402|10850|3560|500|102
2	6	10	Kiếm Khí Phong	Lật tẩy âm mưu của Trác Phi Phàm và đánh bại hắn, khi đánh lén Dương Ảnh Phong đã bị trở tay tiêu diệt.	Fuben1_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	402|3000|2800|500|108
