nFubenIndex	Tips	Npc	Tips1	szFubenTitle	szDesc	nNormalRecommendEdge	nEliteRecommendEdge	nTimeLimite	szNormalTime	szEliteTime	nNeedLevel	nMapTemplateId	nNormalGatherPoint	nEliteGatherPoint	nNormalFreeTimes	nEliteFreeTimes	szLeaveFubenPos
1	1,1		Tuyết Sơn Cổ Đạo		Vết thương mới lành, ra ngoài thư giãn	0	0	300	0	0	1	20	0	0	999	999	
2	1,2		Ly Ưu Sơn		Đến Ly Ưu Sơn thu thập Ngân Ti Thảo	0	0	300	0	0	1	21	0	0	999	999	
3	1,3		Vô Ưu Cấm Địa		Theo Nạp Lan Chân đến Vô Ưu Cấm Địa	0	0	300	0	0	1	22	0	0	999	999	400|8150|7250
4	1,4		Ly Ưu Sơn Động		Nạp Lan Chân nói hồi nhỏ thích khám phá hang núi, liền dẫn mọi người đến đó	0	0	300	0	0	1	23	0	0	999	999	499|5400|2250
5	2,1		Hô Khiếu Sơn Đạo		Dương Ảnh Phong quyết định rời Vong Ưu Đảo về Trung Nguyên cứu Tử Hiên, một ngày nọ đến dưới chân một ngọn núi...	0	0	300	0	0	1	24	0	0	999	999	
6	2,2		Tàng Kiếm Sơn Trang		Hãy đến Tàng Kiếm Sơn Trang tìm hiểu xem	0	0	300	0	0	1	25	0	0	999	999	
7	2,3		Vong Ưu Lữ Đạo		Dương Ảnh Phong nản lòng, quyết định quay lại Vong Ưu Đảo, trên đường gặp một vách núi...	0	0	300	0	0	1	26	0	0	999	999	
8	2,4		Tâm Ma Trận		Nghe ý kiến của Nạp Lan Tiềm Lẫm, vào Tâm Ma Trận của Vô Ưu Giáo rèn luyện tâm trí	0	0	300	0	0	1	27	0	0	999	999	
9	2,5		Tàng Kiếm U Cốc		Đường đến Tàng Kiếm Sơn Trang có vẻ không yên bình...	0	0	300	0	0	1	28	0	0	999	999	
10	2,6		Kiếm Khí Phong		Đi theo Dương Ảnh Phong đến Kiếm Khí Phong tìm Trác Phi Phàm	0	0	300	0	0	1	29	0	0	999	999	
11	3,1		Thiên Sơn Cổ Đạo		Cô nương áo tím muốn tỉ võ...	0	0	300	0	0	1	30	0	0	999	999	403|5700|7770
12	3,3		Hồng Diệp Cốc		Rời khỏi Phi Long Bảo, trên đường về Bi Ma Sơn Trang thì đi qua một sơn cốc	0	0	300	0	0	1	31	0	0	999	999	403|5400|12000
13	3,4		Lăng Tuyệt Phong		Nhận lời mời của Nguyệt My Nhi đến Lăng Tuyệt Phong...	0	0	300	0	0	1	32	0	0	999	999	498|6600|3000
14	3,5		Vô Ưu Cấm Địa		Các ngươi định đến Vô Ưu Cấm Địa cứu Nạp Lan Chân và Nguyệt My Nhi	0	0	300	0	0	1	33	0	0	999	999	
15	3,6		Trích Tinh Địa Lao		Nạp Lan Chân, Nguyệt My Nhi và Tường Vi bị giam tại Trích Tinh Lâu, các ngươi đã đến được địa lao ...	0	0	300	0	0	1	34	0	0	999	999	
16	3,7		Thông Thiên Tháp		Nguyệt My Nhi cho biết Tường Vi bị giam ở Thông Thiên Tháp...	0	0	300	0	0	1	35	0	0	999	999	
17	3,8		Bi Ma Sơn Trang		Nạp Lan Tiềm Lẫm yêu cầu đến khu thí luyện Bi Ma Sơn Trang để giải quyết ân thù ...	0	0	300	0	0	1	36	0	0	999	999	498|5340|8560
