Level	Layer	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	StoneId7	desc	desc2
30	1	0	1724	1724	1724					Đầu	3 Lv1
30	1	1	1698	1698	1698					Áo	3 Lv1
30	1	2	1707	1707	1707					Đai	3 Lv1
30	1	5	1714	1714	1714					Hộ Uyển	3 Lv1
30	1	4	1708	1708	1708					Giày	3 Lv1
30	1	3	1720	1720	1720					Vũ Khí	3 Lv1
30	1	8	1694	1694	1694					Dây Chuyền	3 Lv1
30	1	7	1723	1723	1723					Nhẫn	3 Lv1
30	1	9	1717	1717	1717					Ngọc Bội	3 Lv1
30	1	6	1699	1699	1699					Hộ Thân Phù	3 Lv1
30	2	0	1802	1802	1710					Đầu	3 Lv2
30	2	1	1776	1776	1695					Áo	3 Lv2
30	2	2	1785	1785	1727					Đai	3 Lv2
30	2	5	1792	1792	1719					Hộ Uyển	3 Lv2
30	2	4	1786	1786	1761					Giày	3 Lv2
30	2	3	1798	1798	1760					Vũ Khí	3 Lv2
30	2	8	1771	1771	1728					Dây Chuyền	3 Lv2
30	2	7	1801	1801	1722					Nhẫn	3 Lv2
30	2	9	1795	1795	1725					Ngọc Bội	3 Lv2
30	2	6	1777	1777	1697					Hộ Thân Phù	3 Lv2
30	3	0	1880	1880	1788					Đầu	3 Lv3
30	3	1	1854	1854	1773					Áo	3 Lv3
30	3	2	1863	1863	1805					Đai	3 Lv3
30	3	5	1870	1870	1797					Hộ Uyển	3 Lv3
30	3	4	1864	1864	1839					Giày	3 Lv3
30	3	3	1876	1876	1838					Vũ Khí	3 Lv3
30	3	8	1850	1850	1806					Dây Chuyền	3 Lv3
30	3	7	1879	1879	1800					Nhẫn	3 Lv3
30	3	9	1872	1872	1803					Ngọc Bội	3 Lv3
30	3	6	1855	1855	1775					Hộ Thân Phù	3 Lv3
40	1	0	1880	1880	1788					Đầu	3 Lv3
40	1	1	1854	1854	1773					Áo	3 Lv3
40	1	2	1863	1863	1805					Đai	3 Lv3
40	1	5	1870	1870	1797					Hộ Uyển	3 Lv3
40	1	4	1864	1864	1839					Giày	3 Lv3
40	1	3	1876	1876	1838					Vũ Khí	3 Lv3
40	1	8	1850	1850	1806					Dây Chuyền	3 Lv3
40	1	7	1879	1879	1800					Nhẫn	3 Lv3
40	1	9	1872	1872	1803					Ngọc Bội	3 Lv3
