szType	nLevel	nPreferential	szParam	nLight	nCalendarId	bShowTicket	szIconAltas	szIconSprite	szName	szDesc	
Level	10		15				UI/Atlas/Item/Item/Item3.prefab	horse_lv1	Thú Cưỡi	Lv15 có thể nhận	nPreferential: Cấp ưu tiên hiển thị, càng lớn cấp ưu tiên càng cao
Level	15		18				UI/Atlas/Home/HomeScreenAtlas.prefab	touxian_01	Quân Hàm	Lv18 có thể nhận	
Level	18		20				UI/Atlas/NewAtlas/Equipment/WudangEquipment02.prefab	WD_Weapon_T2_Q1	Vũ Khí Tím	Lv20 có thể nhận	
Level	20		24				UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	Chiến Trường Tống Kim	Lv24 có thể tham gia	
Level	24		27				UI/Atlas/Item/Item/Item.prefab	WuDaoDeJing	Võ Đạo Đức Kinh (Điểm kỹ năng)	Lv27 có thể nhận	
Level	27		30				UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	yewaishouling	Thủ Lĩnh Dã Ngoại	Lv30 có thể tham gia	
OpenServer	24	1	1;18:00-20:45		3		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	Chiến Trường Tống Kim	20:30 tối nay	nCalendarId: Nhấp sự kiện, hiện tại chỉ được nhấp chuyển đến lịch
PreView	30	1	8:00-21:00		27		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	menpaijingji	Thi Đấu Môn Phái	21:00 tối nay	
PreView	30	5	21:00-21:05	1	27		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	menpaijingji	Thi Đấu Môn Phái	Đang báo danh	
PreView	30	1	8:00-21:00		26		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	zhaixinglou	Thông Thiên Tháp	21:00 tối nay	bShowTicket: Có hiển thị vé vào trận đoạt tư cách
PreView	30	5	21:00-21:05	1	26		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	zhaixinglou	Thông Thiên Tháp	Đang báo danh	
PreView	20	1	8:00-21:00		33		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingtuzhan	Công Thành Chiến	21:00 tối nay	
PreView	20	5	21:00-21:05	1	33		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingtuzhan	Công Thành Chiến	Đang báo danh	
PreView	20	1	8:00-21:00		30		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazushilian	Thí Luyện Bang Hội	21:00 tối nay	
PreView	20	5	21:00-21:05	1	30		UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazushilian	Thí Luyện Bang Hội	Đang báo danh	
