szHelpKey	szBigTitle	nHead	nIndex	szTitle	Function	FunParam	szContent
BossHelp	Minh Chủ Võ Lâm		1	Nhận điểm			Khiêu chiến Minh Chủ: Căn cứ sát thương gây ra cho Minh Chủ Võ Lâm để tính điểm, tỉ lệ điểm thay đổi theo sinh lực Minh Chủ, sinh lực Minh Chủ dưới [FFFE0D]60% [-] nhận [FFFE0D]điểm x2 [-], dưới [FFFE0D]30% [-] nhận [FFFE0D]điểm x3 [-]\nĐoạt điểm: Diệt đại hiệp [FFFE0D]không phải hảo hữu[-] và [FFFE0D]không phải thành viên Bang Hội [-] sẽ đoạt được [FFFE0D]điểm nhất định [-].
BossHelp	Minh Chủ Võ Lâm		2	Quy tắc Đoạt điểm			Diệt 1 [FFFE0D]đồng hành[-] của đối phương nhận [FFFE0D]một ít[-] điểm, diệt [FFFE0D]nhân vật[-] đối phương nhận [FFFE0D]nhiều[-] điểm;\nSau khi đoạt điểm hai phe sẽ là kẻ thù, đại hiệp bị đoạt sẽ nhận thời gian bảo vệ;\nKhông được khiêu chiến đại hiệp có Quân Hàm cao hơn bản thân 3 bậc
BossHelp	Minh Chủ Võ Lâm		3	Quy tắc Khiêu chiến			Khiêu chiến minh chủ và đoạt điểm đều có thời gian chờ [FFFE0D]3 phút[-] và được tính riêng, vào chiến đấu sẽ bắt đầu tính.
BossHelp	Minh Chủ Võ Lâm		4	Thưởng Bang Hội			Tổng kết theo [FFFE0D]hạng điểm Bang Hội[-], phần thưởng sẽ Đấu Giá Bang Hội, [FFFE0D]người tham gia càng nhiều[-] phần thưởng càng nhiều; Điểm Bang Hội là [FFFE0D]tổng điểm[-] tất cả thành viên Bang Hội tham gia nhận được lần này;\nPhần thưởng thành viên dựa vào [FFFE0D]hạng tổng điểm[-] cuối của Bang Hội tặng thêm cống hiến cho mỗi thành viên.
BossHelp	Minh Chủ Võ Lâm		5	Thưởng Cá Nhân			Thưởng cá nhân, căn cứ hạng tích lũy cá nhân nhận [FFFE0D]cống hiến[-], hạng càng cao cống hiến càng nhiều; 
BossHelp	Minh Chủ Võ Lâm		6	Thời Gian Trận Liên SV			Lần đầu nhận tư cách [FFFE0D]trưa thứ 6 12:30, 19:30[-], sẽ mở Minh Chủ Võ Lâm Liên SV (Chú ý: Bang chưa nhận tư cách sẽ tham gia Minh Chủ Võ Lâm Server) 
BossHelp	Minh Chủ Võ Lâm		7	Quy Tắc Nhận Điểm			Minh Chủ Võ Lâm Server gây sát thương được vào bảng xếp hạng và tính điểm, dựa theo hạng sát thương nhận điểm tương ứng, điểm càng cao nhận càng nhiều điểm
BossHelp	Minh Chủ Võ Lâm		8	Nhận Quyền Liên SV			Kết quả Minh Chủ Võ Lâm Server [FFFE0D]thứ 2/3/4/5/7/CN[-], sau khi tính điểm, bang [FFFE0D]TOP5[-], nhận được tư cách tham gia Minh Chủ Võ Lâm Liên SV
BossHelp	Minh Chủ Võ Lâm		9	Quy Tắc Tổng Kết Điểm			Điểm tư cách sẽ tính và thông báo lúc [FFFE0D]kết thúc Minh Chủ Võ Lâm Server tối thứ 5[-], sau đó sẽ tính lại điểm.
RankHelp	Võ Thần Điện		1	Quy tắc Khiêu chiến			Mỗi [FFFE0D]4 giờ[-] hồi phục 1 lần, tối đa hồi đến [FFFE0D]10 lần[-]; \nKhiêu chiến sẽ nhận được EXP, thắng nhận nhiều EXP hơn bại.
RankHelp	Võ Thần Điện		2	Thưởng hạng			[FFFE0D]22:00[-] mỗi ngày, căn cứ xếp hạng hiện tại của đại hiệp phát [FFFE0D]vinh dự[-], vinh dự tự đổi thành [FFFE0D]Rương Võ Thần-Hoàng Kim[-] và [FFFE0D]Rương Võ Thần-Bạch Ngân[-].\nCứ [FFFE0D]1000 vinh dự[-] đổi 1 [FFFE0D]Rương Võ Thần-Hoàng Kim[-]. Cứ [FFFE0D]500 vinh dự[-] đổi 1 [FFFE0D]Rương Võ Thần-Bạch Ngân[-] 
