BaseId	SubId	DetailId	Name	Desc	Icon	IconAtlas	Stars	Level	TimeFrame	Action
1			Mạnh Hơn							
1		1	Cường Hóa Trang Bị	Strengthen	bq_zhuangbeiqianghua	UI/Atlas/Home/HomeScreenAtlas.prefab		12		Ui:OpenWindow('StrengthenPanel','Strengthen')
1		2	Khảm Trang Bị	Stone	bq_zhuangbeixiangqian	UI/Atlas/Home/HomeScreenAtlas.prefab		20		Ui:OpenWindow('StrengthenPanel','Inset')
1		3	Trang Bị Cơ Bản (Tẩy luyện với trang bị Hoàng Kim)	Refine	bq_zhuangbeixilian	UI/Atlas/Home/HomeScreenAtlas.prefab		6		Ui:OpenWindow('ItemBox', 'TogEquip')
1		4	Thú Cưỡi	Horse	bq_Zuoqi	UI/Atlas/Home/HomeScreenAtlas2.prefab		20		Ui:OpenWindow('HorsePanel')
1		5	Đồng Hành	Partner	bq_tongbanshangzhen	UI/Atlas/Home/HomeScreenAtlas.prefab		9		Ui:OpenWindow('Partner')
1		6	Môn Khách	PartnerCard	bq_Menke	UI/Atlas/Home/HomeScreenAtlas2.prefab		90	OpenLevel109	Ui:OpenWindow('Partner', 'PartnerCardPanel')
1		7	Chân Nguyên	ZhenYuan	bq_zhenyuan	UI/Atlas/Home/HomeScreenAtlas.prefab		60	OpenLevel69	House:GotoOwnHouse()
1		8	Kinh Mạch	JingMai	bq_jingmai	UI/Atlas/Home/HomeScreenAtlas2.prefab		70	OpenLevel79	Ui:OpenWindow('JingMaiPanel')
1		9	Trận Pháp	ZhenFa	bq_zhenfa	UI/Atlas/Home/HomeScreenAtlas2.prefab		80	OpenLevel89	Ui:OpenWindow('SkillPanel', 'PracticePanel')
1		10	Bí Kíp	SkillBook	bq_Miji	UI/Atlas/Home/HomeScreenAtlas2.prefab		40	OpenLevel49	Ui:OpenWindow('SkillPanel', 'PublicPanel')
1		11	Tuyệt Học	JueXue	bq_Juexue	UI/Atlas/Home/HomeScreenAtlas2.prefab		100	OpenDay279	Ui:OpenWindow('SkillPanel', 'LostKnowledgePanel')
1		12	Kỹ năng	SkillPoint	bq_Jineng	UI/Atlas/Home/HomeScreenAtlas2.prefab		80		Ui:OpenWindow('SkillAuxiliaryPanel')
2			Kinh Nghiệm							
2		1	Nhiệm vụ Chính/Phụ tuyến	Hoàn thành nhiệm vụ chính/phụ tuyến nhận nhiều EXP	guanqiatansuo	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	1		Ui:OpenWindow('Task',Task.TASK_TYPE_MAIN)
2		2	Luyện Công Ngoài Thành	Treo máy khu vực dã ngoại, mở trạng thái tu luyện nhận nhiều EXP	yewaixiulian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	24		Ui:OpenWindow('ItemBox', 'TogNormal', 1422)
2		3	Bang Hội Truyền Công	Thành viên Bang Hội truyền công, nhận nhiều EXP	jiazuchuangong	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	15	OpenDay2	Ui:OpenWindow('CalendarPanel',1,15)
2		4	Bí Cảnh Tổ Đội	Tham gia bí cảnh tổ đội, nhận nhiều EXP	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	15		Ui:OpenWindow('TeamFubenPanel')
2		5	Lăng Tuyệt Phong	Khiêu chiến Lăng Tuyệt Phong nhận nhiều EXP	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
2		6	Lửa Trại Bang Hội	Tham gia Lửa Trại Bang Hội nhận nhiều EXP	jiazujuji	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('CalendarPanel',1,18)
2		7	Mục Tiêu Ngày	Hoàn thành mục tiêu ngày nhiều nhận EXP càng nhiều	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('CalendarPanel',3)"
3			Trang Bị							
3	1		Vũ Khí							
3	1	1	Danh Tướng	Khiêu chiến Danh Tướng có cơ hội nhận	lidaimingjiang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay4	Ui:OpenWindow('BossLeaderPanel','Boss')
3	1	2	Bang Hội Binh Giáp Phường	Mua ở Bang Hội Binh Giáp Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	2		Nón							
3	2	1	Bí Cảnh Tổ Đội	Tham gia bí cảnh tổ đội có cơ hội nhận	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	15		Ui:OpenWindow('TeamFubenPanel')
3	2	2	Bang Hội Phòng Cụ Phường	Mua ở Bang Hội Phòng Cụ Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	3		Dây Chuyền							
3	3	1	Võ Thần Điện	Khiêu chiến Võ Thần Điện có cơ hội nhận	wushendian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	17		Ui:OpenWindow('RankPanel')
3	3	2	Bang Hội Trang Sức Phường	Mua ở Bang Hội Trang Sức Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	4		Hộ Uyển							
3	4	1	Nhiệm Vụ Trừng Ác	Hoàn thành nhiệm vụ Trừng Ác có cơ hội nhận	chengjierenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	22		Ui:OpenWindow('CalendarPanel',1,6)
3	4	2	Bang Hội Phòng Cụ Phường	Mua ở Bang Hội Phòng Cụ Phường	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	5		Nhẫn							
3	5	1	Chiến Trường Tống Kim	Tham gia Chiến Trường Tống Kim có cơ hội nhận	songjinzhanchang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	24		Ui:OpenWindow('CalendarPanel',1,3)
