Index	Name	PosX	PosY	Dir	Desc
1	center	12598	12032	1	Phòng 3-3
1	center_2	11942	12694	1	Phòng 3-3
1	center_3	11950	11427	1	Phòng 3-3
1	center_4	11444	12481	1	Phòng 3-3
1	center_5	11291	12054	1	Phòng 3-3
1	center_6	12438	11624	1	Phòng 3-3
1	center_7	11416	11619	1	Phòng 3-3
1	center_8	12443	12527	1	Phòng 3-3
1	last_buff_1	12737	12639	1	Phòng 3-3
1	last_buff_2	11205	12570	1	Phòng 3-3
1	last_buff_3	11301	11269	1	Phòng 3-3
1	last_buff_4	12594	11245	1	Phòng 3-3
2	center	12010	16091	1	Phòng 2-3
3	center	16897	16080	1	Phòng 2-4
4	center	17174	11875	1	Phòng 3-4
5	center	16931	7437	1	Phòng 4-4
6	center	12017	7427	1	Phòng 4-3
7	center	7349	7541	1	Phòng 4-2
8	center	7368	12003	1	Phòng 3-2
9	center	7456	16050	1	Phòng 2-2
10	center	12165	20394	1	Phòng 1-3
11	center	16988	20298	1	Phòng 1-4
12	center	21722	20300	1	Phòng 1-5
13	center	21772	16228	1	Phòng 2-5
14	center	21712	12057	1	Phòng 3-5
15	center	22078	7334	1	Phòng 4-5
16	center	22280	2629	1	Phòng 5-5
17	center	17344	2734	1	Phòng 5-4
18	center	12329	2740	1	Phòng 5-3
19	center	7269	2748	1	Phòng 5-2
20	center	3059	4020	1	Phòng 5-1
21	center	3030	8040	1	Phòng 4-1
22	center	3046	12109	1	Phòng 3-1
23	center	3018	16174	1	Phòng 2-1
24	center	3096	20325	1	Phòng 1-1
25	center	7397	20307	1	Phòng 1-2
1	npc_1	11626	12816	22	Phòng 3-3
1	npc_2	11074	12462	54	Phòng 3-3
1	npc_3	11460	12489	63	Phòng 3-3
1	npc_4	11915	12469	61	Phòng 3-3
1	npc_5	11493	12158	40	Phòng 3-3
1	box_buff	12728	12668	8	Phòng 3-3
2	npc_1	11223	16353	22	Phòng 2-3
2	npc_2	11419	16794	54	Phòng 2-3
2	npc_3	11822	16720	63	Phòng 2-3
2	npc_4	11552	16495	61	Phòng 2-3
2	npc_5	11691	16260	40	Phòng 2-3
2	box_buff	11211	15553	47	Phòng 2-3
3	npc_1	17098	15549	22	Phòng 2-4
3	npc_2	17354	15751	54	Phòng 2-4
3	npc_3	17224	15984	63	Phòng 2-4
3	npc_4	17609	15917	61	Phòng 2-4
3	npc_5	17520	15510	40	Phòng 2-4
3	box_buff	16303	16670	56	Phòng 2-4
4	npc_1	16303	11563	22	Phòng 3-4
4	npc_2	16702	11732	54	Phòng 3-4
4	npc_3	17011	11254	63	Phòng 3-4
4	npc_4	16609	11036	61	Phòng 3-4
4	npc_5	16664	11388	40	Phòng 3-4
4	box_buff	17674	12781	0	Phòng 3-4
5	npc_1	17844	8006	22	Phòng 4-4
5	npc_2	17087	7995	54	Phòng 4-4
5	npc_3	17587	7619	63	Phòng 4-4
5	npc_4	17408	8319	61	Phòng 4-4
5	npc_5	17505	7995	40	Phòng 4-4
5	box_buff	16392	6561	32	Phòng 4-4
6	npc_1	12823	6966	22	Phòng 4-3
6	npc_2	12535	6596	54	Phòng 4-3
6	npc_3	12158	6905	63	Phòng 4-3
6	npc_4	12485	6943	61	Phòng 4-3
6	npc_5	12593	7272	40	Phòng 4-3
6	box_buff	11578	8287	0	Phòng 4-3
7	npc_1	6483	7178	22	Phòng 4-2
7	npc_2	6685	6734	54	Phòng 4-2
7	npc_3	7172	6959	63	Phòng 4-2
7	npc_4	6866	7438	61	Phòng 4-2
7	npc_5	6804	7061	40	Phòng 4-2
7	box_buff	8119	8385	0	Phòng 4-2
8	npc_1	7500	12582	22	Phòng 3-2
8	npc_2	8191	12540	54	Phòng 3-2
8	npc_3	7816	12838	63	Phòng 3-2
8	npc_4	7945	12196	61	Phòng 3-2
8	npc_5	7878	12556	40	Phòng 3-2
8	box_buff	6650	11144	32	Phòng 3-2
9	npc_1	7581	16775	22	Phòng 2-2
9	npc_2	7979	16948	54	Phòng 2-2
9	npc_3	7887	16351	63	Phòng 2-2
9	npc_4	7906	16672	61	Phòng 2-2
9	npc_5	8239	16472	40	Phòng 2-2
9	box_buff	8042	15475	20	Phòng 2-2
10	npc_1	12663	21165	22	Phòng 1-3
10	npc_2	12895	20823	54	Phòng 1-3
10	npc_3	12632	20883	63	Phòng 1-3
10	npc_4	12325	20966	61	Phòng 1-3
10	npc_5	12621	20538	40	Phòng 1-3
10	box_buff	11539	20913	57	Phòng 1-3
11	npc_1	16750	20829	22	Phòng 1-4
11	npc_2	17017	21050	54	Phòng 1-4
11	npc_3	17211	21247	63	Phòng 1-4
11	npc_4	16689	21187	61	Phòng 1-4
11	npc_5	17309	20913	40	Phòng 1-4
11	box_buff	17594	19595	24	Phòng 1-4
12	npc_1	21810	20939	22	Phòng 1-5
12	npc_2	22067	20774	54	Phòng 1-5
12	npc_3	21535	21088	63	Phòng 1-5
12	npc_4	21548	20772	61	Phòng 1-5
12	npc_5	22029	21118	40	Phòng 1-5
12	box_buff	22475	19921	18	Phòng 1-5
13	npc_1	21155	16633	22	Phòng 2-5
13	npc_2	21767	16870	54	Phòng 2-5
13	npc_3	21516	16459	63	Phòng 2-5
13	npc_4	21446	16744	61	Phòng 2-5
13	npc_5	21423	17031	40	Phòng 2-5
13	box_buff	22609	16211	17	Phòng 2-5
14	npc_1	21459	12887	22	Phòng 3-5
14	npc_2	21325	12554	54	Phòng 3-5
14	npc_3	21682	12567	63	Phòng 3-5
14	npc_4	21246	12234	61	Phòng 3-5
14	npc_5	20950	12527	40	Phòng 3-5
14	box_buff	22584	12425	11	Phòng 3-5
15	npc_1	21176	7743	22	Phòng 4-5
15	npc_2	21885	7800	54	Phòng 4-5
15	npc_3	21591	8152	63	Phòng 4-5
15	npc_4	21521	7797	61	Phòng 4-5
15	npc_5	21467	7417	40	Phòng 4-5
15	box_buff	23131	7801	17	Phòng 4-5
16	npc_1	22382	1871	22	Phòng 5-5
16	npc_2	21820	1986	54	Phòng 5-5
16	npc_3	21968	2439	63	Phòng 5-5
16	npc_4	22178	2157	61	Phòng 5-5
16	npc_5	22543	2314	40	Phòng 5-5
16	box_buff	23144	2932	18	Phòng 5-5
17	npc_1	16717	2037	22	Phòng 5-4
17	npc_2	17328	1837	54	Phòng 5-4
17	npc_3	17116	2097	63	Phòng 5-4
17	npc_4	16977	2456	61	Phòng 5-4
17	npc_5	17551	2212	40	Phòng 5-4
17	box_buff	16726	3313	0	Phòng 5-4
18	npc_1	11734	2086	22	Phòng 5-3
18	npc_2	12310	1953	54	Phòng 5-3
18	npc_3	11906	2486	63	Phòng 5-3
18	npc_4	12109	2204	61	Phòng 5-3
18	npc_5	12443	2429	40	Phòng 5-3
18	box_buff	12920	3376	0	Phòng 5-3
19	npc_1	7249	2276	22	Phòng 5-2
19	npc_2	7665	1975	54	Phòng 5-2
19	npc_3	7953	2372	63	Phòng 5-2
19	npc_4	7643	2353	61	Phòng 5-2
19	npc_5	7646	2715	40	Phòng 5-2
19	box_buff	6752	3308	0	Phòng 5-2
20	npc_1	2869	3235	22	Phòng 5-1
20	npc_2	2727	3652	54	Phòng 5-1
