Index	Name	PosX	PosY	Dir	Desc
1	center	4386	29616	1	Phòng 1-1
2	center	9907	29965	1	Phòng 1-2
3	center	15094	29859	1	Phòng 1-3
4	center	19886	29935	1	Phòng 1-4
5	center	25169	29953	1	Phòng 1-5
6	center	30580	29944	1	Phòng 1-6
7	center	4451	24852	1	Phòng 2-1
8	center	9885	24988	1	Phòng 2-2
9	center	14830	25068	1	Phòng 2-3
10	center	20039	25052	1	Phòng 2-4
11	center	25369	25028	1	Phòng 2-5
12	center	30538	24884	1	Phòng 2-6
13	center	4519	19932	1	Phòng 3-1
14	center	9781	20046	1	Phòng 3-2
15	center	14764	20005	1	Phòng 3-3
16	center	20043	20061	1	Phòng 3-4
17	center	25164	20033	1	Phòng 3-5
18	center	30438	19865	1	Phòng 3-6
19	center	4539	14543	1	Phòng 4-1
20	center	9740	14596	1	Phòng 4-2
21	center	14822	14625	1	Phòng 4-3
22	center	20006	14588	1	Phòng 4-4
23	center	25153	14588	1	Phòng 4-5
24	center	30475	14625	1	Phòng 4-6
25	center	4480	9681	1	Phòng 5-1
26	center	9862	9796	1	Phòng 5-2
27	center	14813	9696	1	Phòng 5-3
28	center	19986	9710	1	Phòng 5-4
29	center	25246	9638	1	Phòng 5-5
30	center	30585	9796	1	Phòng 5-6
31	center	4602	4766	1	Phòng 6-1
32	center	9892	4608	1	Phòng 6-2
33	center	15089	4661	1	Phòng 6-3
34	center	20028	4725	1	Phòng 6-4
35	center	25382	4597	1	Phòng 6-5
36	center	30702	4679	1	Phòng 6-6
