TemplateId	Desc	AttribType1	AttribLevel1	AttribType2	AttribLevel2	AttribType3	AttribLevel3	AttribType4	AttribLevel4	AttribType5	AttribLevel5	AttribType6	AttribLevel6
459	Đầu T1 (Thấp)	vitality_v	2	energy_v	2	dexterity_v	2	lifemax_p	2	defense_v	2	state_stun_resistrate	2
460	Đầu T2 (Thấp)	vitality_v	4	energy_v	4	dexterity_v	4	lifemax_p	4	defense_v	4	state_stun_resistrate	4
461	Đầu T3 (Thấp)	vitality_v	6	energy_v	6	dexterity_v	6	lifemax_p	6	defense_v	6	state_stun_resistrate	6
462	Đầu T4 (Thấp)	vitality_v	8	energy_v	8	dexterity_v	8	lifemax_p	8	defense_v	8	state_stun_resistrate	8
463	Đầu T5 (Thấp)	vitality_v	10	energy_v	10	dexterity_v	10	lifemax_p	10	defense_v	10	state_stun_resistrate	10
464	Đầu T6 (Thấp)	vitality_v	12	energy_v	12	dexterity_v	12	lifemax_p	12	defense_v	12	state_stun_resistrate	12
465	Đầu T7 (Thấp)	vitality_v	14	energy_v	14	dexterity_v	14	lifemax_p	14	defense_v	14	state_stun_resistrate	14
466	Đầu T8 (Thấp)	vitality_v	16	energy_v	16	dexterity_v	16	lifemax_p	16	defense_v	16	state_stun_resistrate	16
3824	Đầu T9 (Thấp)	vitality_v	18	energy_v	18	dexterity_v	18	lifemax_p	18	defense_v	18	state_stun_resistrate	18
3825	Nón T10 (Thấp)	vitality_v	20	energy_v	20	dexterity_v	20	lifemax_p	20	defense_v	20	state_stun_resistrate	20
467	Đầu T1 (Trung)	vitality_v	3	energy_v	3	dexterity_v	3	lifemax_p	3	defense_v	3	state_stun_resistrate	3
468	Đầu T2 (Trung)	vitality_v	5	energy_v	5	dexterity_v	5	lifemax_p	5	defense_v	5	state_stun_resistrate	5
469	Đầu T3 (Trung)	vitality_v	7	energy_v	7	dexterity_v	7	lifemax_p	7	defense_v	7	state_stun_resistrate	7
470	Đầu T4 (Trung)	vitality_v	9	energy_v	9	dexterity_v	9	lifemax_p	9	defense_v	9	state_stun_resistrate	9
471	Đầu T5 (Trung)	vitality_v	11	energy_v	11	dexterity_v	11	lifemax_p	11	defense_v	11	state_stun_resistrate	11
472	Đầu T6 (Trung)	vitality_v	14	energy_v	12	dexterity_v	12	lifemax_p	12	defense_v	12	state_stun_resistrate	12
