nBuffId	nObjId	Desc	nDeathTime	nSkillId	nSkillLevel	nParam1	nParam2
1	1		10	1510	1	-1	-1
2	2		10	1509	1	-1	-1
3	17		10	1529	5	-1	-1
1000	1000		59	3166	1	-1	-1
1001	1001		59	3167	1	-1	-1
1002	1002		59	3168	1	-1	-1
1003	1003		59	3169	1	-1	-1
1004	1004		59	3191	1	-1	-1
1005	1005		59	3192	1	-1	-1
2000	1000	Tâm Ma Tuyệt Địa-Hồi Sinh Lực	60	3194	1	-1	-1
2001	1002	Tâm Ma Tuyệt Địa-Miễn Dịch Khống Chế	60	3195	1	-1	-1
2002	1003	Tâm Ma Tuyệt Địa-Tốc Chạy	60	3196	1	-1	-1
3001	1002	Công Phòng Chiến: buff_Kháng tính	89	3762	1	-1	-1
3002	1003	Công Phòng Chiến: buff_Tốc chạy	89	3763	1	-1	-1
3003	1004	Công Phòng Chiến: buff_Bạo Kích	89	3764	1	-1	-1
3004	1005	Công Phòng Chiến: buff_Vô Địch	89	3765	1	-1	-1
