TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
41	Linh Lung Phù	T1_Amulet_Q1		5	1	1	1	1	41	41			10000	1	10000	1	equip		0	lifemax_v	600			earth_resist_v	45																																				
42	Bách Cẩm Phù	T2_Amulet_Q1		5	1	2	36	3	42	42			20000	2	20000	1	equip		0	lifemax_v	800			earth_resist_v	60																																			1	2
43	Thích Ngư Phù	T3_Amulet_Q1		5	1	3	48	6	43	43			40000	3	40000	1	equip		0	lifemax_v	1000			earth_resist_v	75																																			2	3
44	Xuất Vân Phù	T4_Amulet_Q1		5	1	4	58	9	44	44			80000	4	80000	1	equip		0	lifemax_v	1500			earth_resist_v	90																																			3	4
45	Thiên Canh Phù	T5_Amulet_Q1		5	1	5	68	12	45	45			160000	5	160000	1	equip		0	lifemax_v	2000			earth_resist_v	113																																			4	4
46	Lôi Thần Phù	T6_Amulet_Q1		5	1	6	78	15	46	46			320000	6	320000	1	equip		0	lifemax_v	2500			earth_resist_v	135																																			4	5
47	Thiên Ma Phù	T7_Amulet_Q1		5	1	7	88	18	47	47			640000	7	640000	1	equip		0	lifemax_v	3000			earth_resist_v	158																																			4	5
48	Thanh Hư Phù	T8_Amulet_Q1		5	1	8	98	21	48	48			900000	8	900000	1	equip		0	lifemax_v	3500			earth_resist_v	180																																			5	5
49	Tiên Duyên Phù	T9_Amulet_Q1		5	1	9	108	24	49	49			1200000	8	1200000	1	equip		0	lifemax_v	4000			earth_resist_v	200																																			6	6
50	Tử Phách Phù	T10_Amulet_Q1		5	1	10	118	27	50	50			1600000	8	1600000	1	equip		0	lifemax_v	4500			earth_resist_v	220																																			7	6
