TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
71	Hộ Uyển T1	T1_Cuff_Q1	7101	9	1	1	1	1					5000	1	5000	1	equip		0	attackrate_v	120																																								
72	Hộ Uyển T2	T2_Cuff_Q1	7102	9	1	2	26	3					10000	2	10000	1	equip		0	attackrate_v	160																																							1	2
73	Hộ Uyển T3	T3_Cuff_Q1	7103	9	1	3	43	6					20000	3	20000	1	equip		0	attackrate_v	200																																							2	3
74	Hộ Uyển T4	T4_Cuff_Q1	7104	9	1	4	53	9					40000	4	40000	1	equip		0	attackrate_v	300																																							3	4
75	Hộ Uyển T5	T5_Cuff_Q1	7105	9	1	5	63	12					80000	5	80000	1	equip		0	attackrate_v	400																																							4	4
76	Hộ Uyển T6	T6_Cuff_Q1	7106	9	1	6	73	15					160000	6	160000	1	equip		0	attackrate_v	500																																							4	5
77	Hộ Uyển T7	T7_Cuff_Q1	7107	9	1	7	83	18					320000	7	320000	1	equip		0	attackrate_v	600																																							4	5
78	Hộ Uyển T8	T8_Cuff_Q1	7108	9	1	8	93	21					450000	8	450000	1	equip		0	attackrate_v	700																																							5	5
79	Hộ Uyển T9	T9_Cuff_Q1	7109	9	1	9	103	24					600000	8	600000	1	equip		0	attackrate_v	800																																							6	6
80	Hộ Uyển T10	T10_Cuff_Q1	7110	9	1	10	113	27					800000	8	800000	1	equip		0	attackrate_v	900																																							7	6
4971	Hộ Uyển T11	T11_Cuff_Q1	7111	9	1	11	123	30					1000000	8	1000000	1	equip		0	attackrate_v	1000																																							7	7
4972	Hộ Uyển T12	T12_Cuff_Q1	7112	9	1	12	133	33					1200000	8	1200000	1	equip		0	attackrate_v	1100																																							7	7
4973	Hộ Uyển T13	T13_Cuff_Q1	7113	9	1	13	143	36					1350000	8	1350000	1	equip		0	attackrate_v	1210																																							7	7
4974	Hộ Uyển T14	T14_Cuff_Q1	7114	9	1	14	153	39					1480000	8	1480000	1	equip		0	attackrate_v	1331																																							7	7
4975	Hộ Uyển T15	T15_Cuff_Q1	7115	9	1	15	163	42					1636000	8	1636000	1	equip		0	attackrate_v	1464																																							7	7
4976	Hộ Uyển T16	T16_Cuff_Q1	7116	9	1	16	173	45					1800000	8	1800000	1	equip		0	attackrate_v	1611																																							7	7
4977	Hộ Uyển T17	T17_Cuff_Q1	7117	9	1	17	183	48					1980000	8	1980000	1	equip		0	attackrate_v	1772																																							7	7
4978	Hộ Uyển T18	T18_Cuff_Q1	7118	9	1	18	193	51					800000	8	800000	1	equip		0	attackrate_v	1949																																							7	7
4979	Hộ Uyển T19	T19_Cuff_Q1	7119	9	1	19	203	54					800000	8	800000	1	equip		0	attackrate_v	2144																																							7	7
4980	Hộ Uyển T20	T20_Cuff_Q1	7120	9	1	20	213	57					800000	8	800000	1	equip		0	attackrate_v	2358																																							7	7
1578	【Kế Thừa】Hộ Uyển Bậc 1	T1_Cuff_Q3	7501	9	3	1	1	2					20000	1	20000	1	equip		0	attackrate_v	140																																								
1579	【Kế Thừa】Hộ Uyển Bậc 2	T2_Cuff_Q3	7502	9	3	2	26	5					40000	2	40000	1	equip		0	attackrate_v	180																																							2	2
1580	【Kế Thừa】Hộ Uyển Bậc 3	T3_Cuff_Q3	7503	9	3	3	43	8					80000	3	80000	1	equip		0	attackrate_v	250																																							3	3
1581	【Kế Thừa】Hộ Uyển Bậc 4	T4_Cuff_Q3	7504	9	3	4	53	11					200000	4	200000	1	equip		0	attackrate_v	350																																							3	4
1582	【Kế Thừa】Hộ Uyển Bậc 5	T5_Cuff_Q3	7505	9	3	5	63	14					450000	5	450000	1	equip		0	attackrate_v	450																																							4	4
1583	【Kế Thừa】Hộ Uyển Bậc 6	T6_Cuff_Q3	7506	9	3	6	73	17					600000	6	600000	1	equip		0	attackrate_v	550																																							4	5
1584	【Kế Thừa】Hộ Uyển Bậc 7	T7_Cuff_Q3	7507	9	3	7	83	20					800000	7	800000	1	equip		0	attackrate_v	650																																							5	5
1585	【Kế Thừa】Hộ Uyển Bậc 8	T8_Cuff_Q3	7508	9	3	8	93	23					1200000	8	1200000	1	equip		0	attackrate_v	808																																							5	6
3613	【Kế Thừa】Hộ Uyển Bậc 9	T9_Cuff_Q3	7509	9	3	9	103	26					1620000	8	1800000	1	equip		0	attackrate_v	900																																							6	6
3614	【Kế Thừa】Hộ Uyển Bậc 10	T10_Cuff_Q3	7510	9	3	10	113	29					2160000	8	2400000	1	equip		0	attackrate_v	1000																																							7	6
5171	【Kế Thừa】Hộ Uyển Bậc 11	T11_Cuff_Q3	7511	9	3	11	123	32					2880000	8	3200000	1	equip		0	attackrate_v	1100																																							7	7
5172	【Kế Thừa】Hộ Uyển Bậc 12	T12_Cuff_Q3	7512	9	3	12	133	35					3450000	8	3840000	1	equip		0	attackrate_v	1200																																							7	7
5173	【Kế Thừa】Hộ Uyển Bậc 13	T13_Cuff_Q3	7513	9	3	13	143	38					3960000	8	4224000	1	equip		0	attackrate_v	1320																																							7	7
5174	【Kế Thừa】Hộ Uyển Bậc 14	T14_Cuff_Q3	7514	9	3	14	153	41					4360000	8	4350000	1	equip		0	attackrate_v	1452																																							7	7
5175	【Kế Thừa】Hộ Uyển Bậc 15	T15_Cuff_Q3	7515	9	3	15	163	44					4800000	8	4809000	1	equip		0	attackrate_v	1597																																							7	7
5176	【Kế Thừa】Hộ Uyển Bậc 16	T16_Cuff_Q3	7516	9	3	16	173	47					5300000	8	5300000	1	equip		0	attackrate_v	1757																																							7	7
5177	【Kế Thừa】Hộ Uyển Bậc 17	T17_Cuff_Q3	7517	9	3	17	183	50					5800000	8	5800000	1	equip		0	attackrate_v	1933																																							7	7
5178	【Kế Thừa】Hộ Uyển Bậc 18	T18_Cuff_Q3	7518	9	3	18	193	53					2400000	8	2400000	1	equip		0	attackrate_v	2126																																							7	7
5179	【Kế Thừa】Hộ Uyển Bậc 19	T19_Cuff_Q3	7519	9	3	19	203	56					2400000	8	2400000	1	equip		0	attackrate_v	2338																																							7	7
5180	【Kế Thừa】Hộ Uyển Bậc 20	T20_Cuff_Q3	7520	9	3	20	213	59					2400000	8	2400000	1	equip		0	attackrate_v	2572																																							7	7
171	【Hiếm】Hộ Uyển Bậc 1	T1_Cuff_Q2	7201	9	2	1	1	4					50000	1	50000	1	equip		0	attackrate_v	172																																								
172	【Hiếm】Hộ Uyển Bậc 2	T2_Cuff_Q2	7202	9	2	2	26	7					100000	2	100000	1	equip		0	attackrate_v	230																																							3	3
173	【Hiếm】Hộ Uyển Bậc 3	T3_Cuff_Q2	7203	9	2	3	43	10					250000	3	250000	1	equip		0	attackrate_v	330																																							3	4
174	【Hiếm】Hộ Uyển Bậc 4	T4_Cuff_Q2	7204	9	2	4	53	13					600000	4	600000	1	equip		0	attackrate_v	430																																							4	4
175	【Hiếm】Hộ Uyển Bậc 5	T5_Cuff_Q2	7205	9	2	5	63	16					1250000	5	1250000	1	equip		0	attackrate_v	530																																							4	5
176	【Hiếm】Hộ Uyển Bậc 6	T6_Cuff_Q2	7206	9	2	6	73	19					1500000	6	1500000	1	equip		0	attackrate_v	630																																							5	5
177	【Hiếm】Hộ Uyển Bậc 7	T7_Cuff_Q2	7207	9	2	7	83	22					2000000	7	2000000	1	equip		0	attackrate_v	770																																							5	6
178	【Hiếm】Hộ Uyển Bậc 8	T8_Cuff_Q2	7208	9	2	8	93	25					2700000	8	2700000	1	equip		0	attackrate_v	848																																							6	6
179	【Hiếm】Hộ Uyển Bậc 9	T9_Cuff_Q2	7209	9	2	9	103	28					3600000	8	4000000	1	equip		0	attackrate_v	1001																																							7	6
