TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	FactionLimit
6615	Ngoại Trang T1 (Nón)-Màu 1	T1_HelmWaiyi_Q1	40001	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
6616	Ngoại Trang T1 (Nón)-Màu 3	T1_HelmWaiyi_Q2	40002	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
6617	Ngoại Trang T1 (Nón)-Màu 4	T1_HelmWaiyi_Q3	40003	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
6618	Ngoại Trang T1 (Nón)-Màu 5	T1_HelmWaiyi_Q4	40004	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
6858	Ngoại Trang T1 (Nón)-Màu 5	T1_HelmWaiyi_Q5	40044	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
8203	Nón Ngoại Trang T1 (Giới Hạn)	T1_HelmWaiyi_Q1_time	40001	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nĐeo vào có thể thay đổi Đầu Sức hiện tại, không ảnh hưởng thuộc tính kèm theo của trang bị cũ\n[FFFE0D]Không thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
6619	Ngoại Trang T2 (Hoa)-Màu 1	T2_HelmWaiyi_Q1	40005	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	51	15000	1	waiyi																																																				
6620	Ngoại Trang T2 (Hoa)-Màu 2	T2_HelmWaiyi_Q2	40006	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	51	15000	1	waiyi																																																				
6621	Ngoại Trang T2 (Hoa)-Màu 3	T2_HelmWaiyi_Q3	40007	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	51	15000	1	waiyi																																																				
6622	Ngoại Trang T2 (Hoa)-Màu 4	T2_HelmWaiyi_Q4	40008	21		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nMặc vào có thể đổi trang sức hiện tại, không ảnh hưởng thuộc tính\n[FFFE0D]Có thể nhuộm[-]	15000	51	15000	1	waiyi																																																				
