TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
4047	Hàn Sương	HorseShow_1	108	18	1	1	1					Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	3	25000	1	waiyi																																												
4048	Hàn Sương Sảnh Ảnh	HorseShow_2	109	18	1	1	1					Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	3	25000	1	waiyi																																												
4049	Tiểu Hắc	HorseShow_3	110	18	1	1	1					Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	3	25000	1	waiyi																																												
4861	Tử U Linh Lộc	HorseShow_4	118	18	1	1	1		4865	4865		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	61	25000	1	waiyi																																												
4862	Vân Mị Linh Lộc	HorseShow_5	119	18	1	1	1		4866	4866		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
4867	Tinh Mang-Vân Mị Linh Lộc	HorseShow_6	120	18	1	1	1		4868	4868		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10967	Hàn Sương	HorseShow_1_day7	108	18	1	1	1					Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	3	25000	1	waiyi																																												
4735	Hàn Sương	HorseShow_1_day30	108	18	1	1	1					Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	3	25000	1	waiyi																																												
4736	Hàn Sương Sảnh Ảnh	HorseShow_2_day30	109	18	1	1	1					Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	3	25000	1	waiyi																																												
4737	Tiểu Hắc	HorseShow_3_day30	110	18	1	1	1					Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	3	25000	1	waiyi																																												
4865	Tử U Linh Lộc	HorseShow_4_time	118	18	1	1	1		4865	4865		[FFFE0D]Phần thưởng dành cho Quán Quân Sơ Loại trong hoạt động Miss Võ Lâm Truyền Kỳ Mobile[-]\n\nMặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	61	25000	1	waiyi																																												
4866	Vân Mị Linh Lộc	HorseShow_5_time	119	18	1	1	1		4866	4866		[FFFE0D]Phần thưởng dành cho Top 20 Liên SV trong hoạt động Miss Võ Lâm Truyền Kỳ Mobile[-]\n\nMặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
4868	Tinh Mang-Vân Mị Linh Lộc	HorseShow_6_time	120	18	1	1	1		4868	4868		[FFFE0D]Phần thưởng dành cho Hạng 1 Liên SV trong hoạt động Miss Võ Lâm Truyền Kỳ Mobile[-]\n\nMặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
7280	Sí Ảnh	HorseShow_7	129	18	1	1	1		7153	7153		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
7423	Sí Ảnh (Giới Hạn)	HorseShow_7_time	129	18	1	1	1		7153	7153		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
7296	Phúc Thụy Linh Lộc	HorseShow_8	127	18	1	1	1		7154	7154		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10968	Phúc Thụy Linh Lộc	HorseShow_8_day7	127	18	1	1	1		7154	7154		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
7712	Li Mị Tuyết Hồ	HorseShow_9_time	131	18	1	1	1		7712	7712		[FFFE0D]Phần thưởng của hạng nhất server trong hoạt động The Voice[-]\n\nSau khi trang bị có thể thay đổi ngoại hình thú cưỡi, không ảnh hưởng thuộc tính có sẵn của thú cưỡi.\n	25000	71	25000	1	waiyi																																												
7713	U Viêm-Li Mị Tuyết Hồ	HorseShow_10_time	132	18	1	1	1		7713	7713		[FFFE0D]Phần thưởng hạng nhất bán kết trong hoạt động The Voice[-]\n\nSau khi trang bị có thể thay đổi ngoại hình thú cưỡi, không ảnh hưởng thuộc tính có sẵn của thú cưỡi.\n	25000	71	25000	1	waiyi																																												
8282	Huyết Đồng-Nguyệt Tuyệt	HorseShow_14	130	18	1	1	1		7535	7535		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
8252	Huyết Đồng-Khiếu Sương	HorseShow_11	133	18	1	1	1		8252	8252		[FFFE0D]Trong hoạt động Thu Thập Thẻ Cup Thế Giới, phần thưởng hạng 1 nhận được[-]\n\nsau khi trang bị có thể thay đổi ngoại hình Thú Cưỡi hiện tại, không ảnh hưởng thuộc tính kèm của Thú Cưỡi\n	25000	71	25000	1	waiyi																																												
8253	Huyết Đồng-Hoàng Trần	HorseShow_12	134	18	1	1	1		8253	8253		[FFFE0D]Trong hoạt động Thu Thập Thẻ Cup Thế Giới, phần thưởng hạng 2-5 nhận được[-]\n\nsau khi trang bị có thể thay đổi ngoại hình Thú Cưỡi hiện tại, không ảnh hưởng thuộc tính kèm của Thú Cưỡi\n	25000	71	25000	1	waiyi																																												
8273	Huyết Đồng-Thanh Khung	HorseShow_13	135	18	1	1	1		8273	8273		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10152	Thích Kim-Lam Trạm Linh Lộc	HorseShow_14_time	140	18	1	1	1		10152	10152		[FFFE0D]Thưởng đoạt được Võ Lâm Chí Tôn trong Đại Hội Võ Lâm[-]\n\nTrang bị sẽ thay đổi ngoại hình thú cưỡi, không ảnh hưởng thuộc tính kèm theo\n	25000	71	25000	1	waiyi																																												
10197	Hán Nguyệt Toái Ngân	HorseShow_15	137	18	1	1	1		9598	9598		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10198	Hán Nguyệt Toái Ngân	HorseShow_15_time	137	18	1	1	1		9598	9598		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
11344	Hán Nguyệt Toái Ngân	HorseShow_15_day30	137	18	1	1	1		9598	9598		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10258	Sí Vũ Chước Tâm	HorseShow_16	141	18	1	1	1		10258	10258		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10259	Sí Vũ Chước Tâm	HorseShow_16_time	141	18	1	1	1		10258	10258		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
11343	Sí Vũ Chước Tâm	HorseShow_16_day30	141	18	1	1	1		10258	10258		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10529	Lẫm Đông Bào Hao	HorseShow_17	142	18	1	1	1		50054	50054		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10530	Lẫm Đông Bào Hao	HorseShow_17_time	142	18	1	1	1		50054	50054		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10531	Thích Kim Mao Tê	HorseShow_18	143	18	1	1	1		50055	50055		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10532	Thích Kim Mao Tê	HorseShow_18_time	143	18	1	1	1		50055	50055		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
11234	Thích Kim Mao Tê	HorseShow_18_day90	143	18	1	1	1		50055	50055		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10610	Lẫm Đông Bào Hao	HorseShow_18_vip	144	18	1	1	1		50054	50054		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10645	Li Mị Hỏa Hồ	HorseShow_19	145	18	1	1	1		50064	50064		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10646	Li Mị Hỏa Hồ	HorseShow_19_time	145	18	1	1	1		50064	50064		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10647	U Viêm-Li Mị Hỏa Hồ	HorseShow_20	146	18	1	1	1		50066	50066		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10648	U Viêm-Li Mị Hỏa Hồ	HorseShow_20_time	146	18	1	1	1		50066	50066		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10649	Tiêu Viêm-Li Mị Hỏa Hồ	HorseShow_21	147	18	1	1	1		50065	50065		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10650	Tiêu Viêm-Li Mị Hỏa Hồ	HorseShow_21_time	147	18	1	1	1		50065	50065		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10954	Lôi Đình Bào Hao	HorseShow_17_new	148	18	1	1	1		50142	50142		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10955	Lôi Đình Bào Hao	HorseShow_17_new_time	148	18	1	1	1		50142	50142		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10956	Băng Hồn Tuyết Phách	HorseShow_15_new	149	18	1	1	1		50143	50143		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10957	Băng Hồn Tuyết Phách	HorseShow_15_new_time	149	18	1	1	1		50143	50143		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
10969	Hán Nguyệt Toái Ngân	HorseShow_15_day7	137	18	1	1	1		9598	9598		Mặc lên sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính\n	25000	71	25000	1	waiyi																																												
