TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
11	Hổ Tinh Hạng Liên	T1_Necklace_Q1		4	1	1	1	1	11	11			10000	1	10000	1	equip		0	lifemax_v	600			water_resist_v	45																																				
12	Băng Tinh Hạng Liên	T2_Necklace_Q1		4	1	2	24	3	12	12			20000	2	20000	1	equip		0	lifemax_v	800			water_resist_v	60																																			1	2
13	San Hô Hạng Liên	T3_Necklace_Q1		4	1	3	42	6	13	13			40000	3	40000	1	equip		0	lifemax_v	1000			water_resist_v	75																																			2	3
14	Ngũ Sắc Hạng Liên	T4_Necklace_Q1		4	1	4	52	9	14	14			80000	4	80000	1	equip		0	lifemax_v	1500			water_resist_v	90																																			3	4
15	Ôn Nhuận Liên	T5_Necklace_Q1		4	1	5	62	12	15	15			160000	5	160000	1	equip		0	lifemax_v	2000			water_resist_v	113																																			4	4
16	Bí Ẩn Liên	T6_Necklace_Q1		4	1	6	72	15	16	16			320000	6	320000	1	equip		0	lifemax_v	2500			water_resist_v	135																																			4	5
17	Bắc Thần Liên	T7_Necklace_Q1		4	1	7	82	18	17	17			640000	7	640000	1	equip		0	lifemax_v	3000			water_resist_v	158																																			4	5
18	Quần Điểu Liên	T8_Necklace_Q1		4	1	8	92	21	18	18			900000	8	900000	1	equip		0	lifemax_v	3500			water_resist_v	180																																			5	5
19	Triều Lộ Liên	T9_Necklace_Q1		4	1	9	102	24	19	19			1200000	8	1200000	1	equip		0	lifemax_v	4000			water_resist_v	200																																			6	6
20	Hồng Nhạn Liên	T10_Necklace_Q1		4	1	10	112	27	20	20			1600000	8	1600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			7	6
4911	Càn Khôn Liên	T11_Necklace_Q1		4	1	11	122	30	4911	4911			2000000	8	2000000	1	equip		0	lifemax_v	5000			water_resist_v	240																																			7	7
4912	Lăng Tiêu Liên	T12_Necklace_Q1		4	1	12	132	33	4912	4912			2400000	8	2400000	1	equip		0	lifemax_v	5500			water_resist_v	275																																			7	7
4913	Tinh Thần Liên	T13_Necklace_Q1		4	1	13	142	36	4913	4913			2700000	8	2700000	1	equip		0	lifemax_v	6050			water_resist_v	302																																			7	7
4914	Tiên Lạc Liên	T14_Necklace_Q1		4	1	14	152	39	4914	4914			2960000	8	2960000	1	equip		0	lifemax_v	6655			water_resist_v	333																																			7	7
4915	Bách Hoa Liên	T15_Necklace_Q1		4	1	15	162	42	4915	4915			3272000	8	3272000	1	equip		0	lifemax_v	7321			water_resist_v	366																																			7	7
4916	Xá Tử Liên	T16_Necklace_Q1		4	1	16	172	45	4916	4916			3600000	8	3600000	1	equip		0	lifemax_v	8053			water_resist_v	403																																			7	7
4917	Sơn Nguyệt Liên	T17_Necklace_Q1		4	1	17	182	48	4917	4917			3960000	8	3960000	1	equip		0	lifemax_v	8858			water_resist_v	443																																			7	7
4918	Dây Chuyền T18	T18_Necklace_Q1		4	1	18	192	51	4918	4918			1600000	8	1600000	1	equip		0	lifemax_v	9744			water_resist_v	487																																			7	7
4919	Dây Chuyền T19	T19_Necklace_Q1		4	1	19	202	54	4919	4919			1600000	8	1600000	1	equip		0	lifemax_v	10718			water_resist_v	536																																			7	7
4920	Dây Chuyền T20	T20_Necklace_Q1		4	1	20	212	57	4920	4920			1600000	8	1600000	1	equip		0	lifemax_v	11790			water_resist_v	589																																			7	7
1538	【Kế Thừa】Hổ Tinh Hạng Liên	T1_Necklace_Q3		4	3	1	1	2	11	11			40000	1	40000	1	equip		0	lifemax_v	700			water_resist_v	52																																				
1539	【Kế Thừa】Băng Tinh Hạng Liên	T2_Necklace_Q3		4	3	2	24	5	12	12			80000	2	80000	1	equip		0	lifemax_v	900			water_resist_v	67																																			2	2
1540	【Kế Thừa】San Hô Hạng Liên	T3_Necklace_Q3		4	3	3	42	8	13	13			160000	3	160000	1	equip		0	lifemax_v	1250			water_resist_v	82																																			3	3
1541	【Kế Thừa】Ngũ Sắc Hạng Liên	T4_Necklace_Q3		4	3	4	52	11	14	14			400000	4	400000	1	equip		0	lifemax_v	1750			water_resist_v	101																																			3	4
1542	【Kế Thừa】Ôn Nhuận Liên	T5_Necklace_Q3		4	3	5	62	14	15	15			900000	5	900000	1	equip		0	lifemax_v	2250			water_resist_v	124																																			4	4
1543	【Kế Thừa】Bí Ẩn Liên	T6_Necklace_Q3		4	3	6	72	17	16	16			1200000	6	1200000	1	equip		0	lifemax_v	2750			water_resist_v	146																																			4	5
1544	【Kế Thừa】Bắc Thần Liên	T7_Necklace_Q3		4	3	7	82	20	17	17			1600000	7	1600000	1	equip		0	lifemax_v	3250			water_resist_v	169																																			5	5
1545	【Kế Thừa】Quần Điểu Liên	T8_Necklace_Q3		4	3	8	92	23	18	18			2400000	8	2400000	1	equip		0	lifemax_v	4000			water_resist_v	207																																			5	6
3601	【Kế Thừa】Triều Lộ Liên	T9_Necklace_Q3		4	3	9	102	26	19	19			3240000	8	3600000	1	equip		0	lifemax_v	4500			water_resist_v	220																																			6	6
3602	【Kế Thừa】Hồng Nhạn Liên	T10_Necklace_Q3		4	3	10	112	29	20	20			4320000	8	4800000	1	equip		0	lifemax_v	5000			water_resist_v	257																																			7	6
5111	【Kế Thừa】Càn Khôn Liên	T11_Necklace_Q3		4	3	11	122	32	4911	4911			5760000	8	6400000	1	equip		0	lifemax_v	5500			water_resist_v	270																																			7	7
5112	【Kế Thừa】Lăng Tiêu Liên	T12_Necklace_Q3		4	3	12	132	35	4912	4912			6900000	8	7680000	1	equip		0	lifemax_v	6000			water_resist_v	300																																			7	7
5113	【Kế Thừa】Tinh Thần Liên	T13_Necklace_Q3		4	3	13	142	38	4913	4913			7920000	8	8448000	1	equip		0	lifemax_v	6600			water_resist_v	330																																			7	7
5114	【Kế Thừa】Tiên Lạc Liên	T14_Necklace_Q3		4	3	14	152	41	4914	4914			8720000	8	8700000	1	equip		0	lifemax_v	7260			water_resist_v	363																																			7	7
5115	【Kế Thừa】Bách Hoa Liên	T15_Necklace_Q3		4	3	15	162	44	4915	4915			9600000	8	9618000	1	equip		0	lifemax_v	7986			water_resist_v	399																																			7	7
5116	【Kế Thừa】Xá Tử Liên	T16_Necklace_Q3		4	3	16	172	47	4916	4916			10600000	8	10600000	1	equip		0	lifemax_v	8785			water_resist_v	439																																			7	7
5117	【Kế Thừa】Sơn Nguyệt Liên	T17_Necklace_Q3		4	3	17	182	50	4917	4917			11600000	8	11600000	1	equip		0	lifemax_v	9663			water_resist_v	483																																			7	7
5118	【Kế Thừa】Dây Chuyền T18	T18_Necklace_Q3		4	3	18	192	53	4918	4918			4800000	8	4800000	1	equip		0	lifemax_v	10629			water_resist_v	531																																			7	7
5119	【Kế Thừa】Dây Chuyền T19	T19_Necklace_Q3		4	3	19	202	56	4919	4919			4800000	8	4800000	1	equip		0	lifemax_v	11692			water_resist_v	585																																			7	7
5120	【Kế Thừa】Dây Chuyền T20	T20_Necklace_Q3		4	3	20	212	59	4920	4920			4800000	8	4800000	1	equip		0	lifemax_v	12862			water_resist_v	643																																			7	7
111	【Hiếm】Hổ Tinh Hạng Liên	T1_Necklace_Q2		4	2	1	1	4	11	11			100000	1	100000	1	equip		0	lifemax_v	860			water_resist_v	64																																				
112	【Hiếm】Băng Tinh Hạng Liên	T2_Necklace_Q2		4	2	2	24	7	12	12			200000	2	200000	1	equip		0	lifemax_v	1150			water_resist_v	79																																			3	3
113	【Hiếm】San Hô Hạng Liên	T3_Necklace_Q2		4	2	3	42	10	13	13			500000	3	500000	1	equip		0	lifemax_v	1650			water_resist_v	96																																			3	4
114	【Hiếm】Ngũ Sắc Hạng Liên	T4_Necklace_Q2		4	2	4	52	13	14	14			1200000	4	1200000	1	equip		0	lifemax_v	2150			water_resist_v	119																																			4	4
115	【Hiếm】Ôn Nhuận Liên	T5_Necklace_Q2		4	2	5	62	16	15	15			2500000	5	2500000	1	equip		0	lifemax_v	2650			water_resist_v	141																																			4	5
116	【Hiếm】Bí Ẩn Liên	T6_Necklace_Q2		4	2	6	72	19	16	16			3000000	6	3000000	1	equip		0	lifemax_v	3150			water_resist_v	164																																			5	5
117	【Hiếm】Bắc Thần Liên	T7_Necklace_Q2		4	2	7	82	22	17	17			4000000	7	4000000	1	equip		0	lifemax_v	3850			water_resist_v	198																																			5	6
118	【Hiếm】Quần Điểu Liên	T8_Necklace_Q2		4	2	8	92	25	18	18			5400000	8	5400000	1	equip		0	lifemax_v	4200			water_resist_v	217																																			6	6
119	【Hiếm】Triều Lộ Liên	T9_Necklace_Q2		4	2	9	102	28	19	19			7200000	8	8000000	1	equip		0	lifemax_v	5000			water_resist_v	257																																			7	6
120	【Hiếm】Hồng Nhạn Liên	T10_Necklace_Q2		4	2	10	112	31	20	20			9000000	8	10000000	1	equip		0	lifemax_v	5500			water_resist_v	282																																			7	7
5011	【Hiếm】Càn Khôn Liên	T11_Necklace_Q2		4	2	11	122	34	4911	4911			11400000	8	12500000	1	equip		0	lifemax_v	6000			water_resist_v	290																																			7	7
5012	【Hiếm】Lăng Tiêu Liên	T12_Necklace_Q2		4	2	12	132	37	4912	4912			13680000	8	15000000	1	equip		0	lifemax_v	6600			water_resist_v	330																																			7	7
5013	【Hiếm】Tinh Thần Liên	T13_Necklace_Q2		4	2	13	142	40	4913	4913			14240000	8	16500000	1	equip		0	lifemax_v	7260			water_resist_v	363																																			7	7
5014	【Hiếm】Tiên Lạc Liên	T14_Necklace_Q2		4	2	14	152	43	4914	4914			15670000	8	15660000	1	equip		0	lifemax_v	7986			water_resist_v	399																																			7	7
5015	【Hiếm】Bách Hoa Liên	T15_Necklace_Q2		4	2	15	162	46	4915	4915			17260000	8	17256000	1	equip		0	lifemax_v	8785			water_resist_v	439																																			7	7
5016	【Hiếm】Xá Tử Liên	T16_Necklace_Q2		4	2	16	172	49	4916	4916			19000000	8	19000000	1	equip		0	lifemax_v	9663			water_resist_v	483																																			7	7
5017	【Hiếm】Sơn Nguyệt Liên	T17_Necklace_Q2		4	2	17	182	52	4917	4917			20900000	8	20900000	1	equip		0	lifemax_v	10629			water_resist_v	531																																			7	7
5018	【Hiếm】Dây Chuyền T18	T18_Necklace_Q2		4	2	18	192	55	4918	4918			10000000	8	10000000	1	equip		0	lifemax_v	11692			water_resist_v	585																																			7	7
5019	【Hiếm】Dây Chuyền T19	T19_Necklace_Q2		4	2	19	202	58	4919	4919			10000000	8	10000000	1	equip		0	lifemax_v	12862			water_resist_v	643																																			7	7
5020	【Hiếm】Dây Chuyền T20	T20_Necklace_Q2		4	2	20	212	61	4920	4920			10000000	8	10000000	1	equip		0	lifemax_v	14148			water_resist_v	707																																			7	7
2767	【Hoàng Kim】Bí Ẩn Liên	T6_Necklace_Q4	1001	4	4	6	72	101	12001	12001			39000000	7	39000000	1	equip		36000	lifemax_v	4100			water_resist_v	215																																			5	6
2768	【Hoàng Kim】Bắc Thần Liên	T7_Necklace_Q4	1002	4	4	7	82	102	12002	12002			61600000	7	61600000	1	equip		57600	lifemax_v	5000			water_resist_v	257																																			6	6
