TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
31	Lan Hoa Bội	T1_Pendant_Q1		10	1	1	1	1	31	31			10000	1	10000	1	equip		0	lifemax_v	600			fire_resist_v	45																																				
32	Hà Diệp Bội	T2_Pendant_Q1		10	1	2	32	3	32	32			20000	2	20000	1	equip		0	lifemax_v	800			fire_resist_v	60																																			1	2
33	Lộc Văn Bội	T3_Pendant_Q1		10	1	3	46	6	33	33			40000	3	40000	1	equip		0	lifemax_v	1000			fire_resist_v	75																																			2	3
34	Ngọc Thiền Bội	T4_Pendant_Q1		10	1	4	56	9	34	34			80000	4	80000	1	equip		0	lifemax_v	1500			fire_resist_v	90																																			3	4
35	Long Ngư Bội	T5_Pendant_Q1		10	1	5	66	12	35	35			160000	5	160000	1	equip		0	lifemax_v	2000			fire_resist_v	113																																			4	4
36	Nhạn Hành Bội	T6_Pendant_Q1		10	1	6	76	15	36	36			320000	6	320000	1	equip		0	lifemax_v	2500			fire_resist_v	135																																			4	5
37	Câu Vân Bội	T7_Pendant_Q1		10	1	7	86	18	37	37			640000	7	640000	1	equip		0	lifemax_v	3000			fire_resist_v	158																																			4	5
38	Long Thủ Bội	T8_Pendant_Q1		10	1	8	96	21	38	38			900000	8	900000	1	equip		0	lifemax_v	3500			fire_resist_v	180																																			5	5
39	Côn Bằng Bội	T9_Pendant_Q1		10	1	9	106	24	39	39			1200000	8	1200000	1	equip		0	lifemax_v	4000			fire_resist_v	200																																			6	6
40	Bắc Minh Bội	T10_Pendant_Q1		10	1	10	116	27	40	40			1600000	8	1600000	1	equip		0	lifemax_v	4500			fire_resist_v	220																																			7	6
4931	Thiên Tâm Bội	T11_Pendant_Q1		10	1	11	126	30	4931	4931			2000000	8	2000000	1	equip		0	lifemax_v	5000			fire_resist_v	240																																			7	7
4932	Tì Hưu Bội	T12_Pendant_Q1		10	1	12	136	33	4932	4932			2400000	8	2400000	1	equip		0	lifemax_v	5500			fire_resist_v	275																																			7	7
4933	Tất Phương Bội	T13_Pendant_Q1		10	1	13	146	36	4933	4933			2700000	8	2700000	1	equip		0	lifemax_v	6050			fire_resist_v	302																																			7	7
4934	Chúc Chiếu Bội	T14_Pendant_Q1		10	1	14	156	39	4934	4934			2960000	8	2960000	1	equip		0	lifemax_v	6655			fire_resist_v	333																																			7	7
