TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
21	Hiệp Thiếu Giới	T1_Ring_Q1		3	1	1	1	1	21	21			10000	1	10000	1	equip		0	lifemax_v	600			wood_resist_v	45																																				
22	Phân Thủy Giới	T2_Ring_Q1		3	1	2	28	3	22	22			20000	2	20000	1	equip		0	lifemax_v	800			wood_resist_v	60																																			1	2
23	Phục Đoạn Giới	T3_Ring_Q1		3	1	3	44	6	23	23			40000	3	40000	1	equip		0	lifemax_v	1000			wood_resist_v	75																																			2	3
24	Phá Quân Giới	T4_Ring_Q1		3	1	4	54	9	24	24			80000	4	80000	1	equip		0	lifemax_v	1500			wood_resist_v	90																																			3	4
25	Hoang Vu Giới	T5_Ring_Q1		3	1	5	64	12	25	25			160000	5	160000	1	equip		0	lifemax_v	2000			wood_resist_v	113																																			4	4
26	Hỏa Phủ Giới	T6_Ring_Q1		3	1	6	74	15	26	26			320000	6	320000	1	equip		0	lifemax_v	2500			wood_resist_v	135																																			4	5
27	Thương Khung Giới	T7_Ring_Q1		3	1	7	84	18	27	27			640000	7	640000	1	equip		0	lifemax_v	3000			wood_resist_v	158																																			4	5
28	Hình Thiên Giới	T8_Ring_Q1		3	1	8	94	21	28	28			900000	8	900000	1	equip		0	lifemax_v	3500			wood_resist_v	180																																			5	5
29	Ứng Long Giới	T9_Ring_Q1		3	1	9	104	24	29	29			1200000	8	1200000	1	equip		0	lifemax_v	4000			wood_resist_v	200																																			6	6
30	Thụy Tường Giới	T10_Ring_Q1		3	1	10	114	27	30	30			1600000	8	1600000	1	equip		0	lifemax_v	4500			wood_resist_v	220																																			7	6
4921	Bạch Trạch Giới	T11_Ring_Q1		3	1	11	124	30	4921	4921			2000000	8	2000000	1	equip		0	lifemax_v	5000			wood_resist_v	240																																			7	7
4922	Kỳ Lân Giới	T12_Ring_Q1		3	1	12	134	33	4922	4922			2400000	8	2400000	1	equip		0	lifemax_v	5500			wood_resist_v	275																																			7	7
4923	Phượng Vũ Giới	T13_Ring_Q1		3	1	13	144	36	4923	4923			2700000	8	2700000	1	equip		0	lifemax_v	6050			wood_resist_v	302																																			7	7
4924	Tiễn Ngư Giới	T14_Ring_Q1		3	1	14	154	39	4924	4924			2960000	8	2960000	1	equip		0	lifemax_v	6655			wood_resist_v	333																																			7	7
4925	Tiêm Vũ Giới	T15_Ring_Q1		3	1	15	164	42	4925	4925			3272000	8	3272000	1	equip		0	lifemax_v	7321			wood_resist_v	366																																			7	7
4926	Diễn Hoa Giới	T16_Ring_Q1		3	1	16	174	45	4926	4926			3600000	8	3600000	1	equip		0	lifemax_v	8053			wood_resist_v	403																																			7	7
4927	Thiên Long Giới	T17_Ring_Q1		3	1	17	184	48	4927	4927			3960000	8	3960000	1	equip		0	lifemax_v	8858			wood_resist_v	443																																			7	7
4928	Nhẫn T18	T18_Ring_Q1		3	1	18	194	51	4928	4928			1600000	8	1600000	1	equip		0	lifemax_v	9744			wood_resist_v	487																																			7	7
4929	Nhẫn T19	T19_Ring_Q1		3	1	19	204	54	4929	4929			1600000	8	1600000	1	equip		0	lifemax_v	10718			wood_resist_v	536																																			7	7
4930	Nhẫn T20	T20_Ring_Q1		3	1	20	214	57	4930	4930			1600000	8	1600000	1	equip		0	lifemax_v	11790			wood_resist_v	589																																			7	7
1546	【Kế Thừa】Hiệp Thiếu Giới	T1_Ring_Q3		3	3	1	1	2	21	21			40000	1	40000	1	equip		0	lifemax_v	700			wood_resist_v	52																																				
1547	【Kế Thừa】Phân Thủy Giới	T2_Ring_Q3		3	3	2	28	5	22	22			80000	2	80000	1	equip		0	lifemax_v	900			wood_resist_v	67																																			2	2
1548	【Kế Thừa】Phục Đoạn Giới	T3_Ring_Q3		3	3	3	44	8	23	23			160000	3	160000	1	equip		0	lifemax_v	1250			wood_resist_v	82																																			3	3
1549	【Kế Thừa】Phá Quân Giới	T4_Ring_Q3		3	3	4	54	11	24	24			400000	4	400000	1	equip		0	lifemax_v	1750			wood_resist_v	101																																			3	4
1550	【Kế Thừa】Hoang Vu Giới	T5_Ring_Q3		3	3	5	64	14	25	25			900000	5	900000	1	equip		0	lifemax_v	2250			wood_resist_v	124																																			4	4
1551	【Kế Thừa】Hỏa Phủ Giới	T6_Ring_Q3		3	3	6	74	17	26	26			1200000	6	1200000	1	equip		0	lifemax_v	2750			wood_resist_v	146																																			4	5
1552	【Kế Thừa】Thương Khung Giới	T7_Ring_Q3		3	3	7	84	20	27	27			1600000	7	1600000	1	equip		0	lifemax_v	3250			wood_resist_v	169																																			5	5
1553	【Kế Thừa】Hình Thiên Giới	T8_Ring_Q3		3	3	8	94	23	28	28			2400000	8	2400000	1	equip		0	lifemax_v	4000			wood_resist_v	207																																			5	6
3603	【Kế Thừa】Ứng Long Giới	T9_Ring_Q3		3	3	9	104	26	29	29			3240000	8	3600000	1	equip		0	lifemax_v	4500			wood_resist_v	220																																			6	6
3604	【Kế Thừa】Thụy Tường Giới	T10_Ring_Q3		3	3	10	114	29	30	30			4320000	8	4800000	1	equip		0	lifemax_v	5000			wood_resist_v	257																																			7	6
5121	【Kế Thừa】Bạch Trạch Giới	T11_Ring_Q3		3	3	11	124	32	4921	4921			5760000	8	6400000	1	equip		0	lifemax_v	5500			wood_resist_v	270																																			7	7
5122	【Kế Thừa】Kỳ Lân Giới	T12_Ring_Q3		3	3	12	134	35	4922	4922			6900000	8	7680000	1	equip		0	lifemax_v	6000			wood_resist_v	300																																			7	7
5123	【Kế Thừa】Phượng Vũ Giới	T13_Ring_Q3		3	3	13	144	38	4923	4923			7920000	8	8448000	1	equip		0	lifemax_v	6600			wood_resist_v	330																																			7	7
5124	【Kế Thừa】Tiễn Ngư Giới	T14_Ring_Q3		3	3	14	154	41	4924	4924			8720000	8	8700000	1	equip		0	lifemax_v	7260			wood_resist_v	363																																			7	7
5125	【Kế Thừa】Tiêm Vũ Giới	T15_Ring_Q3		3	3	15	164	44	4925	4925			9600000	8	9618000	1	equip		0	lifemax_v	7986			wood_resist_v	399																																			7	7
5126	【Kế Thừa】Diễn Hoa Giới	T16_Ring_Q3		3	3	16	174	47	4926	4926			10600000	8	10600000	1	equip		0	lifemax_v	8785			wood_resist_v	439																																			7	7
5127	【Kế Thừa】Thiên Long Giới	T17_Ring_Q3		3	3	17	184	50	4927	4927			11600000	8	11600000	1	equip		0	lifemax_v	9663			wood_resist_v	483																																			7	7
5128	【Kế Thừa】Nhẫn T18	T18_Ring_Q3		3	3	18	194	53	4928	4928			4800000	8	4800000	1	equip		0	lifemax_v	10629			wood_resist_v	531																																			7	7
5129	【Kế Thừa】Nhẫn T19	T19_Ring_Q3		3	3	19	204	56	4929	4929			4800000	8	4800000	1	equip		0	lifemax_v	11692			wood_resist_v	585																																			7	7
5130	【Kế Thừa】Nhẫn T20	T20_Ring_Q3		3	3	20	214	59	4930	4930			4800000	8	4800000	1	equip		0	lifemax_v	12862			wood_resist_v	643																																			7	7
121	【Hiếm】Hiệp Thiếu Giới	T1_Ring_Q2		3	2	1	1	4	21	21			100000	1	100000	1	equip		0	lifemax_v	860			wood_resist_v	64																																				
122	【Hiếm】Phân Thủy Giới	T2_Ring_Q2		3	2	2	28	7	22	22			200000	2	200000	1	equip		0	lifemax_v	1150			wood_resist_v	79																																			3	3
123	【Hiếm】Phục Đoạn Giới	T3_Ring_Q2		3	2	3	44	10	23	23			500000	3	500000	1	equip		0	lifemax_v	1650			wood_resist_v	96																																			3	4
124	【Hiếm】Phá Quân Giới	T4_Ring_Q2		3	2	4	54	13	24	24			1200000	4	1200000	1	equip		0	lifemax_v	2150			wood_resist_v	119																																			4	4
125	【Hiếm】Hoang Vu Giới	T5_Ring_Q2		3	2	5	64	16	25	25			2500000	5	2500000	1	equip		0	lifemax_v	2650			wood_resist_v	141																																			4	5
126	【Hiếm】Hỏa Phủ Giới	T6_Ring_Q2		3	2	6	74	19	26	26			3000000	6	3000000	1	equip		0	lifemax_v	3150			wood_resist_v	164																																			5	5
127	【Hiếm】Thương Khung Giới	T7_Ring_Q2		3	2	7	84	22	27	27			4000000	7	4000000	1	equip		0	lifemax_v	3850			wood_resist_v	198																																			5	6
128	【Hiếm】Hình Thiên Giới	T8_Ring_Q2		3	2	8	94	25	28	28			5400000	8	5400000	1	equip		0	lifemax_v	4200			wood_resist_v	217																																			6	6
129	【Hiếm】Ứng Long Giới	T9_Ring_Q2		3	2	9	104	28	29	29			7200000	8	8000000	1	equip		0	lifemax_v	5000			wood_resist_v	257																																			7	6
130	【Hiếm】Thụy Tường Giới	T10_Ring_Q2		3	2	10	114	31	30	30			9000000	8	10000000	1	equip		0	lifemax_v	5500			wood_resist_v	282																																			7	7
5021	【Hiếm】Bạch Trạch Giới	T11_Ring_Q2		3	2	11	124	34	4921	4921			11400000	8	12500000	1	equip		0	lifemax_v	6000			wood_resist_v	290																																			7	7
5022	【Hiếm】Kỳ Lân Giới	T12_Ring_Q2		3	2	12	134	37	4922	4922			13680000	8	15000000	1	equip		0	lifemax_v	6600			wood_resist_v	330																																			7	7
5023	【Hiếm】Phượng Vũ Giới	T13_Ring_Q2		3	2	13	144	40	4923	4923			14240000	8	16500000	1	equip		0	lifemax_v	7260			wood_resist_v	363																																			7	7
5024	【Hiếm】Tiễn Ngư Giới	T14_Ring_Q2		3	2	14	154	43	4924	4924			15670000	8	15660000	1	equip		0	lifemax_v	7986			wood_resist_v	399																																			7	7
5025	【Hiếm】Tiêm Vũ Giới	T15_Ring_Q2		3	2	15	164	46	4925	4925			17260000	8	17256000	1	equip		0	lifemax_v	8785			wood_resist_v	439																																			7	7
5026	【Hiếm】Diễn Hoa Giới	T16_Ring_Q2		3	2	16	174	49	4926	4926			19000000	8	19000000	1	equip		0	lifemax_v	9663			wood_resist_v	483																																			7	7
5027	【Hiếm】Thiên Long Giới	T17_Ring_Q2		3	2	17	184	52	4927	4927			20900000	8	20900000	1	equip		0	lifemax_v	10629			wood_resist_v	531																																			7	7
