TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
2398	Bí Kíp Nhất Kích Sát Thần-Sơ	TW_Book_Lv1_1		12		1	40		6111	6111		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2401	Bí Kíp Huyết Chiến Bát Phương-Sơ	TW_Book_Lv1_2		12		1	40		6112	6112		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2402	Bí Kíp Bá Vương Nộ Hống-Sơ	TW_Book_Lv1_3		12		1	40		6114	6114		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2719	Bí Kíp Kim Chung Tráo-Sơ	TW_Book_Lv1_4		12		1	40		6113	6113		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2403	Bí Kíp Thiên Vũ Bảo Luân-Sơ	EM_Book_Lv1_1		12		1	40		6122	6122		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2404	Bí Kíp Từ Hàng Phổ Độ-Sơ	EM_Book_Lv1_2		12		1	40		6123	6123		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2405	Bí Kíp Bạch Lộ Ngưng Sương-Sơ	EM_Book_Lv1_3		12		1	40		6124	6124		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2720	Bí Kíp Giang Hải Ngưng Ba-Sơ	EM_Book_Lv1_4		12		1	40		6121	6121		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2406	Bí Kíp Thất Thám Xà Bàn-Sơ	XY_Book_Lv1_1		12		1	40		6132	6132		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2407	Bí Kíp Đẩu Chuyển Tinh Di-Sơ	XY_Book_Lv1_2		12		1	40		6133	6133		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2408	Bí Kíp Phong Quyển Tàn Vân-Sơ	XY_Book_Lv1_3		12		1	40		6134	6134		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2721	Bí Kíp Bạch Hồng Quán Nhật-Sơ	XY_Book_Lv1_4		12		1	40		6131	6131		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2409	Bí Kíp Phi Hỏa Lưu Tinh-Sơ	TH_Book_Lv1_1		12		1	40		6141	6141		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2410	Bí Kíp Hỏa Phượng Liêu Nguyên-Sơ	TH_Book_Lv1_2		12		1	40		6143	6143		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2411	Bí Kíp Xuyên Vân Phá Nguyệt-Sơ	TH_Book_Lv1_3		12		1	40		6144	6144		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2722	Bí Kíp Cửu Diệu Liên Châu-Sơ	TH_Book_Lv1_4		12		1	40		6142	6142		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2412	Bí Kíp Vô Ngã Vô Kiếm-Sơ	WD_Book_Lv1_1		12		1	40		6151	6151		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2413	Bí Kíp Tọa Vọng Vô Ngã-Sơ	WD_Book_Lv1_2		12		1	40		6152	6152		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2414	Bí Kíp Thiên Địa Vô Cực-Sơ	WD_Book_Lv1_3		12		1	40		6153	6153		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2723	Bí Kíp Nhân Kiếm Hợp Nhất-Sơ	WD_Book_Lv1_4		12		1	40		6154	6154		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2415	Bí Kíp Ma Diệm Tại Thiên-Sơ	TR_Book_Lv1_1		12		1	40		6162	6162		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2416	Bí Kíp Huyết Nguyệt Chi Ảnh-Sơ	TR_Book_Lv1_2		12		1	40		6163	6163		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2417	Bí Kíp Nhiếp Hồn Loạn Tâm-Sơ	TR_Book_Lv1_3		12		1	40		6164	6164		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2724	Bí Kíp Tử Vong Hồi Toàn-Sơ	TR_Book_Lv1_4		12		1	40		6161	6161		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2713	Bí Kíp Hàng Long Côn-Sơ	SL_Book_Lv1_1		12		1	40		6171	6171		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2714	Bí Kíp Đại Lực Kim Cang Chỉ-Sơ	SL_Book_Lv1_2		12		1	40		6172	6172		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2715	Bí Kíp Kim Cang Phục Ma-Sơ	SL_Book_Lv1_3		12		1	40		6173	6173		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2749	Bí Kíp Thập Nhị Cầm Long Thủ-Sơ	SL_Book_Lv1_4		12		1	40		6174	6174		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
2716	Bí Kíp Tuyền Cơ La Vũ-Sơ	CY_Book_Lv1_1		12		1	40		6181	6181		Bí Kíp Môn Phái	400000	3	400000		SkillBook																																																	
