TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	FactionLimit
2512	Ngoại Trang T1 (Nón)-Màu 1	T1_Waiyi_Q1	301	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
2513	Ngoại Trang T1 (Nón)-Màu 3	T2_Waiyi_Q1	302	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
2514	Ngoại Trang T1 (Nón)-Màu 4	T3_Waiyi_Q1	303	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
2515	Ngoại Trang T1 (Nón)-Màu 5	T4_Waiyi_Q1	304	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
6829	Ngoại Trang T1 (Nón)-Màu 5	T4_Waiyi_Q2	711	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Có thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
2516	Ngoại Trang T1-Thời Hạn	T5_Waiyi_Q1	301	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Không thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
4478	Ngoại Trang T1-3 ngày	T1_Shizhuang_D3	301	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Không thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
4479	Ngoại Trang T1-7 ngày	T1_Shizhuang_D7	301	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Không thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
4480	Ngoại Trang T1-30 ngày	T1_Shizhuang_D30	301	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Không thể nhuộm[-]	15000	4	15000	1	waiyi																																																				
2517	Ngoại Trang T6	T6_Waiyi_Q1	306	13		1	1	1				[FFFE0D]Dùng cho tất cả môn phái[-]\n\nDùng sẽ thay đổi ngoại hình, không ảnh hưởng thuộc tính kèm theo\n[FFFE0D]Có thể nhuộm[-]	15000	3	15000	1	waiyi																																																				
