TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
1	Vũ Khí T1	T1_Weapon_Q1	1101	1	1	1	1	1					25000	1	25000	1	equip		0	basic_damage_v	60		60	add_seriesstate_time_v	15																																				
2	Vũ Khí T2	T2_Weapon_Q1	1102	1	1	2	20	3					50000	2	50000	1	equip		0	basic_damage_v	80		80	add_seriesstate_time_v	20																																			1	2
3	Vũ Khí T3	T3_Weapon_Q1	1103	1	1	3	40	6					100000	3	100000	1	equip		0	basic_damage_v	100		100	add_seriesstate_time_v	25																																			2	3
4	Vũ Khí T4	T4_Weapon_Q1	1104	1	1	4	50	9					200000	4	200000	1	equip		0	basic_damage_v	150		150	add_seriesstate_time_v	30																																			3	4
5	Vũ Khí T5	T5_Weapon_Q1	1105	1	1	5	60	12					400000	5	400000	1	equip		0	basic_damage_v	200		200	add_seriesstate_time_v	40																																			4	4
6	Vũ Khí T6	T6_Weapon_Q1	1106	1	1	6	70	15					800000	6	800000	1	equip		0	basic_damage_v	250		250	add_seriesstate_time_v	50																																			4	5
7	Vũ Khí T7	T7_Weapon_Q1	1107	1	1	7	80	18					1600000	7	1600000	1	equip		0	basic_damage_v	300		300	add_seriesstate_time_v	60																																			4	5
8	Vũ Khí T8	T8_Weapon_Q1	1108	1	1	8	90	21					2250000	8	2250000	1	equip		0	basic_damage_v	350		350	add_seriesstate_time_v	80																																			5	5
9	Vũ Khí T9	T9_Weapon_Q1	1109	1	1	9	100	24					3000000	8	3000000	1	equip		0	basic_damage_v	400		400	add_seriesstate_time_v	100																																			6	6
10	Vũ Khí T10	T10_Weapon_Q1	1110	1	1	10	110	27					4000000	8	4000000	1	equip		0	basic_damage_v	450		450	add_seriesstate_time_v	120																																			7	6
4901	Vũ Khí T11	T11_Weapon_Q1	1311	1	1	11	120	30					5000000	8	5000000	1	equip		0	basic_damage_v	500		500	add_seriesstate_time_v	130																																			7	7
4902	Vũ Khí T12	T12_Weapon_Q1	1312	1	1	12	130	33					6000000	8	6000000	1	equip		0	basic_damage_v	550		550	add_seriesstate_time_v	140																																			7	7
4903	Vũ Khí T13	T13_Weapon_Q1	1313	1	1	13	140	36					6750000	8	6750000	1	equip		0	basic_damage_v	605		605	add_seriesstate_time_v	150																																			7	7
4904	Vũ Khí T14	T14_Weapon_Q1	1314	1	1	14	150	39					7400000	8	7400000	1	equip		0	basic_damage_v	666		666	add_seriesstate_time_v	165																																			7	7
4905	Vũ Khí T15	T15_Weapon_Q1	1315	1	1	15	160	42					8180000	8	8180000	1	equip		0	basic_damage_v	732		732	add_seriesstate_time_v	182																																			7	7
4906	Vũ Khí T16	T16_Weapon_Q1	1316	1	1	16	170	45					9000000	8	9000000	1	equip		0	basic_damage_v	805		805	add_seriesstate_time_v	200																																			7	7
4907	Vũ Khí T17	T17_Weapon_Q1	1317	1	1	17	180	48					9900000	8	9900000	1	equip		0	basic_damage_v	886		886	add_seriesstate_time_v	220																																			7	7
4908	Vũ Khí T18	T18_Weapon_Q1	1318	1	1	18	190	51					4000000	8	4000000	1	equip		0	basic_damage_v	974		974	add_seriesstate_time_v	242																																			7	7
4909	Vũ Khí T19	T19_Weapon_Q1	1319	1	1	19	200	54					4000000	8	4000000	1	equip		0	basic_damage_v	1072		1072	add_seriesstate_time_v	266																																			7	7
