TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	FactionLimit
3185	Vũ Khí T1-Bạc Màu 1	T1_WeaponShow_Q1	11104	14	1	1	1					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3186	Vũ Khí T1-Bạc Màu 2	T1_WeaponShow_Q2	11105	14	1	1	1					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3187	Vũ Khí T1-Bạc Màu 3	T1_WeaponShow_Q3	11106	14	1	1	1					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3249	Vũ Khí T1-Gốc	T1_WeaponShow_Q4	10001	14	1	1	1					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3188	Vũ Khí T2-Bạc Màu 1	T2_WeaponShow_Q1	11107	14	1	1	2					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3189	Vũ Khí T2-Bạc Màu 2	T2_WeaponShow_Q2	11108	14	1	1	2					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3190	Vũ Khí T2-Bạc Màu 3	T2_WeaponShow_Q3	11109	14	1	1	2					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3250	Vũ Khí T2-Gốc	T2_WeaponShow_Q4	10002	14	1	1	2					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3191	Vũ Khí T3-Bạc Màu 1	T3_WeaponShow_Q1	11110	14	1	1	3					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3192	Vũ Khí T3-Bạc Màu 2	T3_WeaponShow_Q2	11111	14	1	1	3					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3193	Vũ Khí T3-Bạc Màu 3	T3_WeaponShow_Q3	11112	14	1	1	3					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3251	Vũ Khí T3-Gốc	T3_WeaponShow_Q4	10003	14	1	1	3					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3194	Vũ Khí T4-Bạc Màu 1	T4_WeaponShow_Q1	11113	14	1	1	4					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3195	Vũ Khí T4-Bạc Màu 2	T4_WeaponShow_Q2	11114	14	1	1	4					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3196	Vũ Khí T4-Bạc Màu 3	T4_WeaponShow_Q3	11115	14	1	1	4					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3252	Vũ Khí T4-Gốc	T4_WeaponShow_Q4	10004	14	1	1	4					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3197	Vũ Khí T5-Bạc Màu 1	T5_WeaponShow_Q1	11116	14	1	1	5					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
3198	Vũ Khí T5-Bạc Màu 2	T5_WeaponShow_Q2	11117	14	1	1	5					Mặc vào thay đổi ngoại hình, không ảnh hưởng thuộc tính trang bị\n[FFFE0D]Có thể nhuộm màu[-] 	25000	3	25000	1	waiyi																																													
