EquipItem	WaiYiItem	Cost	TimeOut	Desc
61	2570	150000		Áo T1
62	2571	150000		Áo T2
63	2572	150000		Áo T3
64	2573	150000		Áo T4
65	2574	150000		Áo T5
66	2575	150000		Áo T6
67	2576	150000		Áo T7
68	2577	150000		Áo T8
69	2578	150000		Áo T9
70	2579	150000		Áo T10
4961	5269	150000		Áo T11
4962	5273	150000		Áo T12
4963	5277	150000		Áo T13
4964	5281	150000		Áo T14
4965	5285	150000		Áo T15
4966	5289	150000		Áo T16
161	2570	150000		【Hiếm】Áo T1
162	2571	150000		【Hiếm】Áo T2
163	2572	150000		【Hiếm】Áo T3
164	2573	150000		【Hiếm】Áo T4
165	2574	150000		【Hiếm】Áo T5
166	2575	150000		【Hiếm】Áo T6
167	2576	150000		【Hiếm】Áo T7
168	2577	150000		【Hiếm】Áo T8
169	2578	150000		【Hiếm】Áo T9
170	2579	150000		【Hiếm】Áo T10
5061	5269	150000		【Hiếm】Áo T11
5062	5273	150000		【Hiếm】Áo T12
5063	5277	150000		【Hiếm】Áo T13
5064	5281	150000		【Hiếm】Áo T14
5065	5285	150000		【Hiếm】Áo T15
5066	5289	150000		T16【Hiếm】Áo
1570	2570	150000		【Kế Thừa】Áo T1
1571	2571	150000		【Kế Thừa】Áo T2
1572	2572	150000		【Kế Thừa】Áo T3
1573	2573	150000		【Kế Thừa】Áo T4
1574	2574	150000		【Kế Thừa】Áo T5
1575	2575	150000		【Kế Thừa】Áo T6
1576	2576	150000		【Kế Thừa】Áo T7
1577	2577	150000		【Kế Thừa】Áo T8
3611	2578	150000		Áo T9【Kế Thừa】
3612	2579	150000		Áo T10【Kế Thừa】
5161	5269	150000		【Kế Thừa】Áo T11
5162	5273	150000		【Kế Thừa】Áo T12
5163	5277	150000		【Kế Thừa】Áo T13
5164	5281	150000		【Kế Thừa】Áo T14
5165	5285	150000		【Kế Thừa】Áo T15
5166	5289	150000		T16【Kế Thừa】Áo
1252	2570	150000		Áo T1 (Đặc chế)
1529	2570	150000		Áo T1 (Đặc chế)
2667	2512			Ngoại Trang T1
2681	2516		604800	T1 Ngoại Trang, nạp lần đầu tặng
2700	2580			Bộ Tân Thủ
2706	2702			Ngoại Trang T2
3310	3259			Ngoại Trang T3
