ShowType	Name	Faction	Sex	ResId	IconId	BigIconId	Desc	Desc2
21	【Tinh Nguyệt 】Vạn Tượng Canh Tân	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20	1		4803	4803		
21	【Tinh Nguyệt 】Như Dĩnh Tùy Hành	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20	2		4804	4804		
22	Ti Lộ Lưu Sa-Quyển Nhuộm Áo	1|7|10|11|16	1		66942	66942		
22	Ti Lộ Lưu Sa-Quyển Nhuộm Áo	2|4|5|6|8|10|14|15|17|18|20	2		66944	66944		
22	Ti Lộ Lưu Sa-Quyển Nhuộm Áo	1|3|11|12|16|19	2		66943	66943		
22	Ti Lộ Lưu Sa-Quyển Nhuộm Áo	4|5|9|13|15|17|18|19|20	1		66941	66941		
23	Ti Lộ Lưu Sa-Quyển Nhuộm Đầu Sức	1|7|10|11|16	1		66946	66946		
23	Ti Lộ Lưu Sa-Quyển Nhuộm Đầu Sức	2|4|5|6|8|10|14|15|17|18|20	2		66948	66948		
23	Ti Lộ Lưu Sa-Quyển Nhuộm Đầu Sức	1|3|11|12|16|19	2		66947	66947		
23	Ti Lộ Lưu Sa-Quyển Nhuộm Đầu Sức	4|5|9|13|15|17|18|19|20	1		66945	66945		
24	Rương Ngoại Trang【Ngạo Huyết Đan Thanh】	1|7|10|11|16	1		3696	3696		
24	Rương Ngoại Trang【Thanh Đăng Duệ Ảnh】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
24	Rương Ngoại Trang【Thanh Ngọc Vân Ca】	1|3|11|12|16|19	2		3696	3696		
24	Rương Ngoại Trang【Thiên Diệp Sâm La】	4|5|9|13|15|17|18|19|20	1		3696	3696		
25	Rương Ngoại Trang【Thiết Huyết Long Đảm】	1|7|10|11|16	1		3696	3696		
25	Rương Ngoại Trang【Mẫu Đơn Vọng Nguyệt】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
25	Rương Ngoại Trang【Anh Lạc Trường Không】	1|3|11|12|16|19	2		3696	3696		
25	Rương Ngoại Trang【Quân Tử Như Phong】	4|5|9|13|15|17|18|19|20	1		3696	3696		
26	Rương Ngoại Trang【Bát Phương Vân Động】	1|7|10|11|16	1		3696	3696		
26	Rương Ngoại Trang【Ngạo Hàn Tố Tuyết】	2|4|5|6|8|10|14|15|17|18|20	2		3696	3696		
26	Rương Ngoại Trang【Mặc Chỉ U Lan】	1|3|11|12|16|19	2		3696	3696		
26	Rương Ngoại Trang【Bạch Ngọc Lang hoàn】	4|5|9|13|15|17|18|19|20	1		3696	3696		
