GroupId	SaveId	Desc	Level	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3
1		Cường hóa kích hoạt thuộc tính	1	fightpower_v1	100			physical_damage_v	40		40	all_series_resist_v	10										
1		Cường hóa kích hoạt thuộc tính	2	fightpower_v1	220			physical_damage_v	60		60	all_series_resist_v	15										
1		Cường hóa kích hoạt thuộc tính	3	fightpower_v1	370			physical_damage_v	90		90	all_series_resist_v	22										
1		Cường hóa kích hoạt thuộc tính	4	fightpower_v1	580			physical_damage_v	150		150	all_series_resist_v	37										
1		Cường hóa kích hoạt thuộc tính	5	fightpower_v1	1000			physical_damage_v	250		250	all_series_resist_v	62										
1		Cường hóa kích hoạt thuộc tính	6	fightpower_v1	1500			physical_damage_v	400		400	all_series_resist_v	100										
1		Cường hóa kích hoạt thuộc tính	7	fightpower_v1	2100			physical_damage_v	500		500	all_series_resist_v	125										
1		Cường hóa kích hoạt thuộc tính	8	fightpower_v1	2900			physical_damage_v	800		800	all_series_resist_v	200										
1		Cường hóa kích hoạt thuộc tính	9	fightpower_v1	4800			physical_damage_v	900		900	all_series_resist_v	225										
1		Cường hóa kích hoạt thuộc tính	10	fightpower_v1	6900			physical_damage_v	1200		1200	all_series_resist_v	300										
1		Cường hóa kích hoạt thuộc tính	11	fightpower_v1	10100			physical_damage_v	1300		1300	all_series_resist_v	325										
1		Cường hóa kích hoạt thuộc tính	12	fightpower_v1	15600			physical_damage_v	1500		1500	all_series_resist_v	375										
1		Cường hóa kích hoạt thuộc tính	13	fightpower_v1	23000			physical_damage_v	1600		1600	all_series_resist_v	400										
1		Cường hóa kích hoạt thuộc tính	14	fightpower_v1	31700			physical_damage_v	1800		1800	all_series_resist_v	450										
1		Cường hóa kích hoạt thuộc tính	15	fightpower_v1	34800			physical_damage_v	1900		1900	all_series_resist_v	475										
1		Cường hóa kích hoạt thuộc tính	16	fightpower_v1	40300			physical_damage_v	2000		2000	all_series_resist_v	500										
1		Cường hóa kích hoạt thuộc tính	17	fightpower_v1	44300			physical_damage_v	2200		2200	all_series_resist_v	550										
