SrcItem	TarItem	DESC	Cosume2Item	Consume2Count	CosumeItem	TimeFrame1	ConsumeCount1	TimeFrame2	ConsumeCount2	TimeFrame3	ConsumeCount3	TimeFrame4	ConsumeCount4	TimeFrame5	ConsumeCount5	TimeFrame6	ConsumeCount6	TimeFrame7	ConsumeCount7	TimeFrame8	ConsumeCount8	TimeFrame9	ConsumeCount9	TimeFrame10	ConsumeCount10	TimeFrame11	ConsumeCount11
2764	2765	Vũ Khí Hoàng Kim T6 tăng T7			2804	OpenLevel89	90	OpenLevel99	72	OpenLevel109	63	OpenLevel119	54	OpenLevel129	45	OpenLevel139	45	OpenLevel149	45	OpenLevel159	45	OpenLevel169	45	OpenLevel179	45	OpenLevel189	45
2782	2783	Áo Hoàng Kim T6 tăng T7			2804	OpenLevel89	54	OpenLevel99	43	OpenLevel109	37	OpenLevel119	32	OpenLevel129	27	OpenLevel139	27	OpenLevel149	27	OpenLevel159	27	OpenLevel169	27	OpenLevel179	27	OpenLevel189	27
2779	2780	Nón Hoàng Kim T6 tăng T7			2804	OpenLevel89	18	OpenLevel99	14	OpenLevel109	12	OpenLevel119	10	OpenLevel129	9	OpenLevel139	9	OpenLevel149	9	OpenLevel159	9	OpenLevel169	9	OpenLevel179	9	OpenLevel189	9
2788	2789	Đai Hoàng Kim T6 tăng T7			2804	OpenLevel89	18	OpenLevel99	14	OpenLevel109	12	OpenLevel119	10	OpenLevel129	9	OpenLevel139	9	OpenLevel149	9	OpenLevel159	9	OpenLevel169	9	OpenLevel179	9	OpenLevel189	9
2785	2786	Bao Tay Hoàng Kim T6 tăng T7			2804	OpenLevel89	18	OpenLevel99	14	OpenLevel109	12	OpenLevel119	10	OpenLevel129	9	OpenLevel139	9	OpenLevel149	9	OpenLevel159	9	OpenLevel169	9	OpenLevel179	9	OpenLevel189	9
2791	2792	Giày Hoàng Kim T6 tăng T7			2804	OpenLevel89	18	OpenLevel99	14	OpenLevel109	12	OpenLevel119	10	OpenLevel129	9	OpenLevel139	9	OpenLevel149	9	OpenLevel159	9	OpenLevel169	9	OpenLevel179	9	OpenLevel189	9
2767	2768	Dây Chuyền Hoàng Kim T6 tăng T7			2804	OpenLevel89	36	OpenLevel99	28	OpenLevel109	25	OpenLevel119	21	OpenLevel129	18	OpenLevel139	18	OpenLevel149	18	OpenLevel159	18	OpenLevel169	18	OpenLevel179	18	OpenLevel189	18
2770	2771	Nhẫn Hoàng Kim T6 tăng T7			2804	OpenLevel89	36	OpenLevel99	28	OpenLevel109	25	OpenLevel119	21	OpenLevel129	18	OpenLevel139	18	OpenLevel149	18	OpenLevel159	18	OpenLevel169	18	OpenLevel179	18	OpenLevel189	18
2773	2774	Ngọc Bội Hoàng Kim T6 tăng T7			2804	OpenLevel89	36	OpenLevel99	28	OpenLevel109	25	OpenLevel119	21	OpenLevel129	18	OpenLevel139	18	OpenLevel149	18	OpenLevel159	18	OpenLevel169	18	OpenLevel179	18	OpenLevel189	18
2776	2777	Hộ Thân Phù Hoàng Kim T6 tăng T7			2804	OpenLevel89	36	OpenLevel99	28	OpenLevel109	25	OpenLevel119	21	OpenLevel129	18	OpenLevel139	18	OpenLevel149	18	OpenLevel159	18	OpenLevel169	18	OpenLevel179	18	OpenLevel189	18
2765	2766	Vũ Khí Hoàng Kim T7 tăng T8			2804	OpenLevel99	120	OpenLevel99	120	OpenLevel109	96	OpenLevel119	84	OpenLevel129	72	OpenLevel139	60	OpenLevel149	60	OpenLevel159	60	OpenLevel169	60	OpenLevel179	60	OpenLevel189	60
2783	2784	Áo Hoàng Kim T7 tăng T8			2804	OpenLevel99	72	OpenLevel99	72	OpenLevel109	57	OpenLevel119	50	OpenLevel129	43	OpenLevel139	36	OpenLevel149	36	OpenLevel159	36	OpenLevel169	36	OpenLevel179	36	OpenLevel189	36
2780	2781	Nón Hoàng Kim T7 tăng T8			2804	OpenLevel99	24	OpenLevel99	24	OpenLevel109	19	OpenLevel119	16	OpenLevel129	14	OpenLevel139	12	OpenLevel149	12	OpenLevel159	12	OpenLevel169	12	OpenLevel179	12	OpenLevel189	12
2789	2790	Đai Hoàng Kim T7 tăng T8			2804	OpenLevel99	24	OpenLevel99	24	OpenLevel109	19	OpenLevel119	16	OpenLevel129	14	OpenLevel139	12	OpenLevel149	12	OpenLevel159	12	OpenLevel169	12	OpenLevel179	12	OpenLevel189	12
