ItemID	NpcResID	Desc
2399	902	Táo Hồng Mã
1423	901	Chiếu Dạ Ngọc Sư Tử
2400	903	Ô Vân Đạp Tuyết
3012	905	Tuyệt Ảnh
3021	906	Lý Phi Sa
3392	907	Hồng Ly
3393	908	Lục Tung
2507	904	Trục Nhật
2508	909	Truy Tinh Trục Nhật
2870	931	Bôn Tiêu
3516	932	Ô Truy
3364	912	Hàn Sương
3365	913	Hàn Sương Sảnh Ảnh
3366	910	Tiểu Hắc
3367	911	Bạch Vũ
3598	914	Vạn Lý Yên Vân Chiếu
3639	909	Truy Tinh Trục Nhật
4045	915	Thánh Đề
4046	916	Truy Phong Lôi Báo
4050	917	Long Mã
4051	918	Mộng Yểm
4583	919	Bão Nguyệt Ủng Tinh
4047	912	Hàn Sương (Ngoại Trang) 
4048	913	Hàn Sương Ảnh (Ngoại Trang) 
4049	910	Tiểu Hắc (Ngoại Trang) 
4861	920	Tử U Linh Lộc
4862	921	Vân Mị Linh Lộc
4867	922	Tinh Mang-Vân Mị Linh Lộc
4735	912	Hàn Sương (30 Ngày)
4736	913	Hàn Sương Sảnh Ảnh (30 Ngày)
4737	910	Tiểu Hắc (30 Ngày)
4865	920	Tử U Linh Lộc (1 Năm)
4866	921	Vân Mị Linh Lộc (1 Năm)
4868	922	Tinh Mang-Vân Mị Linh Lộc (1 Năm)
4859	923	Long Lân Phượng Vũ
5359	924	Đại Thiên Sứ
7152	926	Bảo Lam
7280	927	Sí Ảnh
7423	927	Sí Ảnh (60 Ngày)
7296	925	Phúc Thụy Linh Lộc
7535	928	Tuyệt Địa Chiến Lang
7712	929	Li Mị Tuyết Hồ
7713	930	U Viêm-Li Mị Tuyết Hồ
8282	928	Huyết Đồng-Nguyệt Tuyệt
8252	955	Huyết Đồng-Khiếu Sương
8253	956	Huyết Đồng-Hoàng Trần
8273	957	Huyết Đồng-Thanh Khung
8369	958	Chúng Tinh Toàn Nguyệt
9598	959	Voi Lớn
9823	960	Ngựa Lv150
9824	961	Ngựa Thành Chính Lv150
10152	963	Thích Kim-Lam Trạm Linh Lộc (Ngoại Trang 6 Tháng)
10197	959	Hán Nguyệt Toái Ngân
10198	959	Hán Nguyệt Toái Ngân
10258	971	Sí Vũ Chước Tâm
10259	971	Sí Vũ Chước Tâm
10529	979	Lẫm Đông Bào Hao
10530	979	Lẫm Đông Bào Hao
10531	978	Thích Kim Mao Tê
10532	978	Thích Kim Mao Tê
10610	979	Lẫm Đông Bào Hao
10645	980	·Û÷ìÂÓÓ°
10646	980	·Û÷ìÂÓÓ°
10647	981	·Û÷ìÂÓÓ°
10648	981	·Û÷ìÂÓÓ°
10649	982	·Û÷ìÂÓÓ°
10650	982	·Û÷ìÂÓÓ°
10954	983	ÁÝ¶¬ÅØÏø
10955	983	ÁÝ¶¬ÅØÏø
10956	984	ººÔÂËéÒø
10957	984	ººÔÂËéÒø
10967	912	º®Ëª
10968	925	¸£ÈðÁéÂ¹
10969	959	ººÔÂËéÒø
11234	978	Ìß½ðÃ«Ï¬
