TargetTemplateID	Desc	BagSort	IsShowFrag	NoSellAttachTarget	IsHideTip	ConsumeType	ConsumeCount	KinMsg	ChildTemplateID1	NeedCount1	ChildTemplateID2	NeedCount2	ChildTemplateID3	NeedCount3	ChildTemplateID4	NeedCount4	ChildTemplateID5	NeedCount5	ChildTemplateID6	NeedCount6	ChildTemplateID7	NeedCount7	ChildTemplateID8	NeedCount8	ValidTime
788	Tàng Bảo Đồ-Cao	1				Coin	2000		1424	1	1425	1	1426	1	1427	1	1428	1							
2592	Túi Bánh Ít	2				Coin	2000		2586	1	2587	1	2588	1	2589	1									
3403	Hộp Quà Tạ Ơn	3				Coin	2000		3398	1	3399	1	3400	1	3401	1									
4808	Đèn Thỏ	4							4800	1	4807	1													
2688	Hoa Tửu	5				Coin	2000		2684	1	2685	1													
2690	Thi Kiếm	6				Coin	2000		2686	1	2687	1													
2875	Bánh Trung Thu	7			1	Coin	1000		2872	3	2873	1	2874	1											
5422	Đèn Thỏ	8							5420	4	5421	1													
7455	Tiểu Bạch Khuyển	93	1						7484	5															
7418	Quyển Yếu Quyết Hiếm Ngẫu Nhiên Bậc 1	94	1						7419	3															
6148	Hộp Chọn Đồng Hành SSS	10							7619	5															
7670	Rương Chọn Đá Hồn Lv5	12	1	1					7671	3															
10149	Mảnh Đá Hồn Diệp Vô Tâm-Sơ	12							10170	100															
10475	Mảnh Đá Hồn Vân Hạo Nhiên-Sơ	12							10478	100															
4282	【Hiếm】Thái Hư Linh	11							7620	3															
9445	Dây Ngũ Sắc	13							9440	1	9441	1	9442	1	9443	1	9444	1							
9448	Cửu Khổng Châm	14							9446	9	9447	1													
10252	Ngoại Trang Vũ Khí T3-20 Ngày	15							10254	5															
10239	Trang Sức-Heo Vàng	16	1						10256	5															
5566	【Hiếm】Vũ Khí Bậc 16 (Chưa giám định)	89	1						10316	10															
5626	【Hiếm】Áo Bậc 16 (Chưa giám định)	89	1						10376	10															
5576	【Hiếm】Xá Tử Liên (Chưa giám định)	89	1						10326	10															
5586	【Hiếm】Diễn Hoa Giới (Chưa giám định)	89	1						10336	10															
5596	【Hiếm】Uất Kim Bội (Chưa giám định)	89	1						10346	10															
5606	【Hiếm】Tỷ Dực Phù (Chưa giám định)	89	1						10356	10															
5616	【Hiếm】Nón Bậc 16 (Chưa giám định)	89	1						10366	10															
5636	【Hiếm】Hộ Uyển Bậc 16 (Chưa giám định)	89	1						10386	10															
5646	【Hiếm】Đai Bậc 16 (Chưa giám định)	89	1						10396	10															
5656	【Hiếm】Giày Bậc 16 (Chưa giám định)	89	1						10406	10															
5666	【Kế Thừa】Vũ Khí Bậc 16 (Chưa giám định)	90	1						10321	5															
5726	【Kế Thừa】Áo Bậc 16 (Chưa giám định)	90	1						10381	5															
5676	【Kế Thừa】Xá Tử Liên (Chưa giám định)	90	1						10331	5															
5686	【Kế Thừa】Diễn Hoa Giới (Chưa giám định)	90	1						10341	5															
5696	【Kế Thừa】Uất Kim Bội (Chưa giám định)	90	1						10351	5															
5706	【Kế Thừa】Tỷ Dực Phù (Chưa giám định)	90	1						10361	5															
5716	【Kế Thừa】Nón Bậc 16 (Chưa giám định)	90	1						10371	5															
5736	【Kế Thừa】Hộ Uyển Bậc 16 (Chưa giám định)	90	1						10391	5															
