ItemTID	Faction	SoleTag	SkillID	AttribType1	InitValue1	GrowValue1	AttribType2	InitValue2	GrowValue2	AttribType3	InitValue3	GrowValue3	AttribType4	InitValue4	GrowValue4	Desc
7981	0	101	5301	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 1
7982	0	102	5302	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 2
7983	0	103	2615	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 3
7984	0	104	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 4
7985	0	105	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 5
7986	0	106	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 6
7987	0	107	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 7
7988	0	108	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 8
7989	0	109	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 9
7990	0	110	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	Tuyệt Học Chung 10
7991	1	1	5306	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 1
7992	1	2	5307	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 2
7993	1	3	5308	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 3
7994	1	4	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 4
7995	1	5	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 5
7996	1	6	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 6
7997	1	7	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 7
7998	1	8	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 8
7999	1	9	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 9
8000	1	10	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	Thiên Vương Tuyệt Học 10
8001	2	1	5309	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 1
8002	2	2	5310	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 2
8003	2	3	5311	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 3
8004	2	4	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 4
8005	2	5	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 5
8006	2	6	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 6
8007	2	7	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 7
8008	2	8	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 8
8009	2	9	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 9
8010	2	10	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	Nga Mi Tuyệt Học 10
8011	3	1	5312	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 1
8012	3	2	5313	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 2
8013	3	3	5314	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 3
8014	3	4	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 4
8015	3	5	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 5
8016	3	6	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 6
8017	3	7	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 7
8018	3	8	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 8
8019	3	9	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 9
8020	3	10	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	Đào Hoa Tuyệt Học 10
8021	4	1	5315	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 1
8022	4	2	5316	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 2
8023	4	3	5317	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 3
8024	4	4	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	Tiêu Dao Tuyệt Học 4
