TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
212	Thủy Tinh Trắng	crystal_1	34	212	212		Stone	2	Dùng cường hóa trang bị +1 đến +20.\n\n4 Thủy Tinh giống nhau có thể ghép thành 1 Thủy Tinh cấp cao	5000	1	3	1000	1	1	1	99999										
222	Thủy Tinh Lục	crystal_2	34	222	222		Stone	2	Dùng cường hóa trang bị +21 đến +40.\n\n4 Thủy Tinh giống nhau có thể ghép thành 1 Thủy Tinh cấp cao	20000	2	3	1000	2	1	1	99999										
223	Thủy Tinh Lam	crystal_3	34	223	223		Stone	2	Dùng cường hóa trang bị +41 đến +60.\n\n4 Thủy Tinh giống nhau có thể ghép thành 1 Thủy Tinh cấp cao	80000	3	3	1000	3	1	1	99999										
224	Thủy Tinh Tím	crystal_4	34	224	224		Stone	2	Dùng cường hóa trang bị +61 đến +80.\n\n4 Thủy Tinh giống nhau có thể ghép thành 1 Thủy Tinh cấp cao	320000	4	3	1000	4	1	1	99999										
225	Thủy Tinh Cam	crystal_5	34	226	226		Stone	2	Dùng cường hóa trang bị +81 đến +100.\n\n4 Thủy Tinh giống nhau có thể ghép thành 1 Thủy Tinh cấp cao	960000	5	3	1000	6	1	1	99999										
226	Thủy Tinh Cam	crystal_6	34	227	227		ExchangeItem	2	Dùng cường hóa trang bị +81 đến +100.\n\n4 Thủy Tinh giống nhau có thể ghép thành 1 Thủy Tinh cấp cao	1280000	6	3	1000	6	1	1	99999	225	1								
227	Thủy Tinh Vàng	crystal_7	34	227	227		Stone	2	Dùng cường hóa trang bị +101 đến +140.\n\nĐạt cấp cao nhất, không thể ghép	2880000	7	3	1000	7	1	1	99999										
228	Thủy Tinh Lv8	crystal_8	34	212	212		Stone	2	Thủy Tinh Lv8	2880000	7	3	1000	7	1	1	99999										
229	Thủy Tinh Lv9	crystal_9	34	128	128		Stone	2	Thủy Tinh Lv9	2880000	7	3	1000	7	1	1	99999										
4758	Tàng Kiếm Cường Hóa Bí Bảo +10	Enhance_to10	34	4758	4758		DirectEnhance	2	Sau khi dùng sẽ giúp tất cả trang bị chưa đạt Lv10 cường hóa [FFFE0D]tăng lên Lv10[-], trang bị đã đạt cấp cường hóa Lv10 không thay đổi\n\n\nDùng đạo cụ cường hóa này, sẽ không phát Lì Xì	2880000	1	3	1000	1	1	1	99999	10									
3922	Bí Bảo Cường Hóa Tàng Kiếm +20	Enhance_to20	34	3922	3922		DirectEnhance	2	Sử dụng có thể cường hóa trang bị toàn thân chưa đạt Lv20 [FFFE0D]tăng lên Lv20[-], trang bị cường hóa đã đạt Lv20 không thay đổi ngoại hình\n\n\n*Do đạo cụ cường hóa nên không phát Lì Xì	2880000	1	3	1000	1	1	1	99999	20									
3923	Bí Bảo Cường Hóa Tàng Kiếm +30	Enhance_to30	34	3923	3923		DirectEnhance	2	Sử dụng có thể cường hóa trang bị toàn thân chưa đạt Lv30 [FFFE0D]tăng lên Lv30[-], trang bị cường hóa đã đạt Lv30 không thay đổi ngoại hình\n\n\n*Do đạo cụ cường hóa nên không phát Lì Xì	2880000	2	3	1000	2	1	1	99999	30									
