TemplateId	Name	Kind	ShowType	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
2088	Mảnh Vũ Khí Hiếm Bậc 4	T4_Weapon_Q2_piece	1704	34	10111		EquipMeterial	99	10111	Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 4[-]	300000	1	1	300000	6	1		999										
2089	Mảnh Vũ Khí Hiếm Bậc 5	T5_Weapon_Q2_piece	1705	34	10112		EquipMeterial	99	10112	Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 5[-]	625000	2	1	625000	6	1		999										
2090	Mảnh Vũ Khí Hiếm Bậc 6	T6_Weapon_Q2_piece	1706	34	10113		EquipMeterial	99	10113	Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 6[-]	750000	3	1	750000	6	1		999										
2943	Mảnh Vũ Khí Hiếm Bậc 7	T7_Weapon_Q2_piece	1707	34	10114		EquipMeterial	99	10114	Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 7[-]	1000000	4	1	1000000	6	1		999										
2944	Mảnh Vũ Khí Hiếm Bậc 8	T8_Weapon_Q2_piece	1708	34	10115		EquipMeterial	99	10115	Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 8[-]	1350000	5	1	1350000	6	1		999										
2945	Mảnh Vũ Khí Hiếm Bậc 9	T9_Weapon_Q2_piece	1709	34	10116		EquipMeterial	99	10116	Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 9[-]	1800000	6	1	1800000	6	1		999										
3667	Mảnh Vũ Khí Hiếm Bậc 10	T10_Weapon_Q2_piece	1710	34	10117		EquipMeterial	99	10117	Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 10[-]	2250000	7	1	2250000	6	1		999										
5761	Mảnh Vũ Khí Hiếm Bậc 11	T11_Weapon_Q2_piece	1711	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 11[-]	2850000	8	1	2850000	6	1		999										
5762	Mảnh Vũ Khí Hiếm Bậc 12	T12_Weapon_Q2_piece	1712	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 12[-]	3420000	9	1	3420000	6	1		999										
5763	Mảnh Vũ Khí Hiếm Bậc 13	T13_Weapon_Q2_piece	1713	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 13[-]	3560000	10	1	3560000	6	1		999										
5764	Mảnh Vũ Khí Hiếm Bậc 14	T14_Weapon_Q2_piece	1714	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 14[-]	3916000	11	1	3916000	6	1		999										
5765	Mảnh Vũ Khí Hiếm Bậc 15	T15_Weapon_Q2_piece	1715	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 15[-]	4315000	12	1	4314000	6	1		999										
10316	Mảnh Vũ Khí Hiếm Bậc 16	T16_Weapon_Q2_piece	1716	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 16[-]	4750000	13	1	4750000	6	1		999										
10317	Mảnh Vũ Khí Hiếm Bậc 17	T17_Weapon_Q2_piece	1717	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 17[-]	5225000	14	1	5225000	6	1		999										
10318	Mảnh Vũ Khí Hiếm Bậc 18	T18_Weapon_Q2_piece	1718	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 18[-]	4315000	15	1	4314000	6	1		999										
10319	Mảnh Vũ Khí Hiếm Bậc 19	T19_Weapon_Q2_piece	1719	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 19[-]	4315000	16	1	4314000	6	1		999										
10320	Mảnh Vũ Khí Hiếm Bậc 20	T20_Weapon_Q2_piece	1720	34			EquipMeterial	99		Cần [FFFE0D]10 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Hiếm】Bậc 20[-]	4315000	17	1	4314000	6	1		999										
2091	Mảnh Vũ Khí Kế Thừa Bậc 4	T4_Weapon_Q3_piece	1804	34	10111		EquipMeterial	99	10111	Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 4[-]	200000	1	1	200000	4	1		999										
2092	Mảnh Vũ Khí Kế Thừa Bậc 5	T5_Weapon_Q3_piece	1805	34	10112		EquipMeterial	99	10112	Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 5[-]	450000	2	1	450000	4	1		999										
2093	Mảnh Vũ Khí Kế Thừa Bậc 6	T6_Weapon_Q3_piece	1806	34	10113		EquipMeterial	99	10113	Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 6[-]	600000	3	1	600000	4	1		999										
2946	Mảnh Vũ Khí Kế Thừa Bậc 7	T7_Weapon_Q3_piece	1807	34	10114		EquipMeterial	99	10114	Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 7[-]	800000	4	1	800000	4	1		999										
2947	Mảnh Vũ Khí Kế Thừa Bậc 8	T8_Weapon_Q3_piece	1808	34	10115		EquipMeterial	99	10115	Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 8[-]	1200000	5	1	1200000	4	1		999										
2948	Mảnh Vũ Khí Kế Thừa Bậc 9	T9_Weapon_Q3_piece	1809	34	10116		EquipMeterial	99	10116	Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 9[-]	1800000	6	1	1800000	4	1		999										
3668	Mảnh Vũ Khí Kế Thừa Bậc 10	T10_Weapon_Q3_piece	1810	34	10117		EquipMeterial	99	10117	Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 10[-]	2400000	7	1	2400000	4	1		999										
5766	Mảnh Vũ Khí Kế Thừa Bậc 11	T11_Weapon_Q3_piece	1811	34			EquipMeterial	99		Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 11[-]	3200000	8	1	3200000	4	1		999										
5767	Mảnh Vũ Khí Kế Thừa Bậc 12	T12_Weapon_Q3_piece	1812	34			EquipMeterial	99		Cần [FFFE0D]5 mảnh[-] để ghép thành 1 Vũ Khí[FFFE0D]【Kế Thừa】Bậc 12[-]	3600000	9	1	3840000	4	1		999										
