TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
3549	Đồng Hành-Xi Vưu	Parter_sss_1	34	3549	3549		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Xi Vưu\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3549									
3550	Đồng Hành-Hậu Nghệ	Parter_sss_2	34	3550	3550		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Hậu Nghệ\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3550									
3551	Đồng Hành-Tô Đắc Kỷ	Parter_sss_3	34	3551	3551		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Tô Đắc Kỷ\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3551									
3552	Đồng Hành-Quỷ Cốc Tử	Parter_sss_4	34	3552	3552		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Quỷ Cốc Tử\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3552									
3553	Đồng Hành-Hạng Vũ	Parter_sss_5	34	3553	3553		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Hạng Vũ\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3553									
3554	Đồng Hành-Tần Thủy Hoàng	Parter_sss_6	34	3554	3554		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Tần Thủy Hoàng\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3554									
3555	Đồng Hành-Võ Tắc Thiên	Parter_sss_7	34	3555	3555		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Võ Tắc Thiên\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3555									
3556	Đồng Hành-Lữ Động Tân	Parter_sss_8	34	3556	3556		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Lữ Động Tân\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3556									
3557	Đồng Hành-Trương Tam Phong	Parter_sss_9	34	3557	3557		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSSS[-] Trương Tam Phong\n[FFFE0D](Không thể bày bán)[-]	27000000	1	1	100	7	1	0	1	3557									
3558	Đồng Hành-Tây Thi	Parter_sss_10	34	3558	3558		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Tây Thi\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	3558									
4056	Đồng Hành-Hoàn Nhan Hồng Liệt	Partner_sss_11	34	4056	4056		RandomItem	1	Dùng triệu hồi Đồng Hành [FFFE0D]SSS[-] Hoàn Nhan Hồng Liệt\n[FFFE0D](Không thể bày bán)[-]	18000000	1	1	100	7	1	0	1	4056									
1374	Đồng Hành-Cao Trường Cung	Parter_s_boss1	34	821	821		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Cao Trường Cung\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	1374									
1375	Đồng Hành-Triết Biệt	Parter_s_boss2	34	822	822		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Triết Biệt\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	1375									
1376	Đồng Hành-Viên Thừa Chí	Parter_s_boss3	34	823	823		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Viên Thừa Chí\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	1376									
1377	Đồng Hành-Ngao Bái	Parter_s_boss4	34	824	824		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Ngao Bái\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	1377									
2235	Đồng Hành-Hàn Thế Trung	Parter_mj_boss5	34	2235	2235		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Hàn Thế Trung\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	2235									
2236	Đồng Hành-Tần Lương Ngọc	Parter_mj_boss6	34	2236	2236		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Tần Lương Ngọc\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	2236									
1378	Đồng Hành-Độc Cô Kiếm	Parter_ss_boss1	34	803	803		RandomItem	1	Dùng triệu hồi Đồng Hành [ff8f06]SS[-] Độc Cô Kiếm\n[FFFE0D](Không thể bày bán)[-]	6000000	1	1	100	6	1	0	1	1378									
1398	Đồng Hành-Kinh Kha	Parter_ss_boss2	34	809	809		RandomItem	1	Dùng triệu hồi Đồng Hành [ff8f06]SS[-] Kinh Kha\n[FFFE0D](Không thể bày bán)[-]	6000000	1	1	100	6	1	0	1	1379									
1399	Đồng Hành-Lý Quảng 	Parter_ss_boss3	34	810	810		RandomItem	1	Dùng triệu hồi Đồng Hành [ff8f06]SS[-] Lý Quảng\n[FFFE0D](Không thể bày bán)[-]	6000000	1	1	100	6	1	0	1	1380									
1400	Đồng Hành-Triệu Vân	Parter_ss_boss4	34	811	811		RandomItem	1	Dùng triệu hồi Đồng Hành [ff8f06]SS[-] Triệu Vân\n[FFFE0D](Không thể bày bán)[-]	6000000	1	1	100	6	1	0	1	1381									
1401	Đồng Hành-Lý Nguyên Bá	Parter_ss_boss5	34	1447	1447		RandomItem	1	Dùng triệu hồi Đồng Hành [ff8f06]SS[-] Lý Nguyên Bá\n[FFFE0D](Không thể bày bán)[-]	6000000	1	1	100	6	1	0	1	1382									
1402	Đồng Hành-Kim Sí Bằng Hoàng	Parter_s_boss5	34	825	825		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Kim Sí Bằng Hoàng\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	1383									
1403	Đồng Hành-Định Hải Kim Cang	Parter_s_boss6	34	828	828		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Định Hải Kim Cang\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	1384									
1404	Đồng Hành-Hám Thiên Hùng Hoàng	Parter_s_boss7	34	827	827		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Hám Thiên Hùng Hoàng\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	1385									
1405	Đồng Hành-Xích Tinh Hổ Hoàng	Parter_s_boss8	34	826	826		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Xích Tinh Hổ Hoàng\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	1386									
2511	Đồng Hành-Ngân Giác Tê Hoàng	Parter_s_boss15	34	2511	2511		RandomItem	1	Dùng triệu hồi Đồng Hành [ff578c]S[-] Ngân Giác Tê Hoàng\n[FFFE0D](Không thể bày bán)[-]	1500000	1	1	100	5	1	0	1	2511									
1406	Đồng Hành-Hàn Ngọc Lộc Vương	Parter_a_boss1	34	847	847		RandomItem	1	Dùng triệu hồi Đồng Hành [11adf6]B[-] Hàn Ngọc Lộc Vương\n[FFFE0D](Không thể bày bán)[-]	200000	1	1	100	3	1	0	1	1387									
1407	Đồng Hành-Đại Địa Lang Vương	Parter_a_boss2	34	848	848		RandomItem	1	Dùng triệu hồi Đồng Hành [11adf6]B[-] Đại Địa Lang Vương\n[FFFE0D](Không thể bày bán)[-]	200000	1	1	100	3	1	0	1	1388									
2221	Đồng Hành-Bạch Mi Hầu Vương	Parter_boss5	34	2221	2221		RandomItem	1	Dùng triệu hồi Đồng Hành [11adf6]B[-] Bạch Mi Hầu Vương\n[FFFE0D](Không thể bày bán)[-]	200000	1	1	100	3	1	0	1	2231									
1408	Đồng Hành-Cửu Vĩ Hồ Vương	Parter_a_boss3	34	850	850		RandomItem	1	Dùng triệu hồi Đồng Hành [aa62fc]A[-] Cửu Vĩ Hồ Vương\n[FFFE0D](Không thể bày bán)[-]	500000	1	1	100	4	1	0	1	1389									
1409	Đồng Hành-Bôn Diệm Báo Vương	Parter_a_boss4	34	849	849		RandomItem	1	Dùng triệu hồi Đồng Hành [aa62fc]A[-] Bôn Diệm Báo Vương\n[FFFE0D](Không thể bày bán)[-]	500000	1	1	100	4	1	0	1	1390									
2222	Đồng Hành-Song Thủ Dị Thú	Parter_boss6	34	2222	2222		RandomItem	1	Dùng triệu hồi Đồng Hành [aa62fc]A[-] Song Thủ Dị Thú\n[FFFE0D](Không thể bày bán)[-]	500000	1	1	100	4	1	0	1	2232									
2183	Đồng Hành-Oanh Nhi	Partner_B_1	34	2183	2183		RandomItem	1	Dùng triệu hồi Đồng Hành [11adf6]B[-] Oanh Nhi\n[FFFE0D](Không thể bày bán)[-]	500000	1	1	100	3	1	0	1	2192									
