TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
1971	【Sơ】Chính Xác	PartnerSkillLevel1_1	35	1971	1971		PartnerSkillBook	35	【Bị】Đồng Hành tăng chính xác	50000	1	1	1000	1	1	0	99999	28									
1972	【Sơ】Né Tránh	PartnerSkillLevel1_2	35	1972	1972		PartnerSkillBook	35	【Bị】Đồng Hành tăng né tránh	50000	1	1	1000	1	1	0	99999	31									
1973	【Sơ】Bỏ Qua Né Tránh	PartnerSkillLevel1_3	35	1973	1973		PartnerSkillBook	35	【Bị】Đồng Hành tăng bỏ qua né tránh	50000	1	1	1000	1	1	0	99999	34									
1974	【Sơ】Tỉ Lệ Kháng Bạo Kích	PartnerSkillLevel1_4	35	1974	1974		PartnerSkillBook	35	【Bị】Đồng Hành tăng tỉ lệ kháng bạo kích	50000	1	1	1000	1	1	0	99999	37									
1975	【Sơ】Hồi Phục Sinh Lực	PartnerSkillLevel1_5	35	1975	1975		PartnerSkillBook	35	【Bị】Đồng Hành tăng hồi sinh lực	50000	1	1	1000	1	1	0	99999	40									
1976	【Sơ】Hiệu Quả Kháng Bị Thương	PartnerSkillLevel1_6	35	1976	1976		PartnerSkillBook	35	【Bị】Đồng Hành tăng khả năng kháng hiệu quả bị thương	50000	1	1	1000	1	1	0	99999	43									
1977	【Sơ】Hiệu Quả Kháng Làm Chậm	PartnerSkillLevel1_7	35	1977	1977		PartnerSkillBook	35	【Bị】Đồng Hành tăng khả năng kháng hiệu quả làm chậm	50000	1	1	1000	1	1	0	99999	46									
1978	【Sơ】Kháng Tàn Phế	PartnerSkillLevel1_8	35	1978	1978		PartnerSkillBook	35	【Bị】Tăng hiệu quả chống đỡ tàn phế của Đồng Hành	50000	1	1	1000	1	1	0	99999	49									
1979	【Sơ】Hiệu Quả Kháng Tê Liệt	PartnerSkillLevel1_9	35	1979	1979		PartnerSkillBook	35	【Bị】Đồng Hành tăng khả năng kháng hiệu quả tê liệt	50000	1	1	1000	1	1	0	99999	52									
1980	【Sơ】Hiệu Quả Kháng Choáng	PartnerSkillLevel1_10	35	1980	1980		PartnerSkillBook	35	【Bị】Đồng Hành tăng khả năng kháng hiệu quả choáng	50000	1	1	1000	1	1	0	99999	55									
1981	Vô Danh Trảm	PartnerSkillLevel2_1	35	1981	1981		PartnerSkillBook	35	【Chủ】Tấn công cận chiến\n\n[FFFE0D]Đồng Hành hệ【Kim】có thể học kỹ năng này[-]	150000	1	1	1000	2	1	0	99999	1									
1982	Hàn Sương Ấn	PartnerSkillLevel2_2	35	1982	1982		PartnerSkillBook	35	【Chủ】Tấn công mục tiêu tầm xa\n\n[FFFE0D]Đồng Hành hệ【Thủy】có thể học kỹ năng này[-]	150000	1	1	1000	2	1	0	99999	2									
1983	Kịch Độc Tiêu	PartnerSkillLevel2_3	35	1983	1983		PartnerSkillBook	35	【Chủ】Tấn công mục tiêu tầm xa\n\n[FFFE0D]Đồng Hành hệ【Mộc】có thể học kỹ năng này[-]	150000	1	1	1000	2	1	0	99999	3									
1984	Tịch Lịch Ấn	PartnerSkillLevel2_4	35	1984	1984		PartnerSkillBook	35	【Chủ】Tấn công mục tiêu tầm xa\n\n[FFFE0D]Đồng Hành hệ【Hỏa】có thể học kỹ năng này[-]	150000	1	1	1000	2	1	0	99999	4									
