TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
3539	Xi Vưu	PartnerWeapon_SSS1	35	3539	3539		PartnerWeapon	2	Vũ khí bổn mạng của Xi Vưu, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
3540	Hậu Nghệ	PartnerWeapon_SSS2	35	3540	3540		PartnerWeapon	2	Vũ khí bổn mạng của Hậu Nghệ, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
3541	Tô Đắc Kỷ	PartnerWeapon_SSS3	35	3541	3541		PartnerWeapon	2	Vũ khí bổn mạng của Tô Đắc Kỷ, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
3542	Quỷ Cốc Tử-Thiết Lực Trượng	PartnerWeapon_SSS4	35	3542	3542		PartnerWeapon	2	Vũ khí bổn mạng của Quỷ Cốc Tử, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
3543	Hạng Vũ-Bá Vương Kích	PartnerWeapon_SSS5	35	3543	3543		PartnerWeapon	2	Vũ khí bổn mạng của Hạng Vũ, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
3544	Tần Thủy Hoàng-Thái A Kiếm	PartnerWeapon_SSS6	35	3544	3544		PartnerWeapon	2	Vũ khí bổn mạng của Tần Thủy Hoàng, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
4057	Hoàn Nhan Hồng Liệt-Ngự Ưng Thủ	PartnerWeapon_SSS11	35	4057	4057		PartnerWeapon	2	Vũ khí bổn mạng của Hoàn Nhan Hồng Liệt, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	3000000	1	1	1000	7	1	1	99999										
3545	Võ Tắc Thiên-Minh Không Chỉ	PartnerWeapon_SSS7	35	3545	3545		PartnerWeapon	2	Vũ khí bổn mạng của Võ Tắc Thiên, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
3546	Lữ Động Tân	PartnerWeapon_SSS8	35	3546	3546		PartnerWeapon	2	Vũ khí bổn mạng của Lữ Động Tân, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
3547	Trương Tam Phong -Thánh Phất Trần	PartnerWeapon_SSS9	35	3547	3547		PartnerWeapon	2	Vũ khí bổn mạng của Trương Tam Phong, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	15000000	1	1	1000	7	1	1	99999										
3548	Tây Thi	PartnerWeapon_SSS10	35	3548	3548		PartnerWeapon	2	Vũ khí bổn mạng của Tây Thi, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	10000000	1	1	1000	7	1	1	99999										
1471	Độc Cô Kiếm-Cự Khuyết Kiếm	PartnerWeapon_SS1	35	11471	11471		PartnerWeapon	2	Vũ khí bổn mạng của Độc Cô Kiếm, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	3000000	1	1	1000	6	1	1	99999										
1472	Nam Cung Phi-Kiếm Trung Chi Kiếm	PartnerWeapon_SS2	35	11472	11472		PartnerWeapon	2	Vũ khí bổn mạng của Nam Cung Phi, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	3000000	1	1	1000	6	1	1	99999										
1473	Dương Ảnh Phong-Bi Ma Chi Nhẫn	PartnerWeapon_SS3	35	11473	11473		PartnerWeapon	2	Vũ khí bổn mạng của Dương Ảnh Phong, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	3000000	1	1	1000	6	1	1	99999										
1474	Đường Giản-Huyền Vũ Song Tinh	PartnerWeapon_SS4	35	11474	11474		PartnerWeapon	2	Vũ khí bổn mạng của Đường Giản, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	3000000	1	1	1000	6	1	1	99999										
1475	Huyền Thiên Đạo Nhân-Tuyết Mặc	PartnerWeapon_SS5	35	11475	11475		PartnerWeapon	2	Vũ khí bổn mạng của Huyền Thiên Đạo Nhân, dùng sẽ tăng thuộc tính Đồng Hành và khiến vũ khí Đồng Hành phát sáng	3000000	1	1	1000	6	1	1	99999										
