TemplateId	Name	Kind	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
793	Mảnh-Xi Vưu	Partner_piece_SSS_1	35	793		PartnerStone	1	793	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	1									
794	Mảnh-Hậu Nghệ	Partner_piece_SSS_2	35	794		PartnerStone	1	794	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	2									
795	Mảnh-Tô Đắc Kỷ	Partner_piece_SSS_3	35	795		PartnerStone	1	795	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	3									
796	Mảnh-Quỷ Cốc Tử	Partner_piece_SSS_4	35	796		PartnerStone	1	796	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	4									
797	Mảnh-Hạng Vũ	Partner_piece_SSS_5	35	797		PartnerStone	1	797	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	5									
798	Mảnh-Tần Thủy Hoàng	Partner_piece_SSS_6	35	798		PartnerStone	1	798	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	6									
799	Mảnh-Võ Tắc Thiên	Partner_piece_SSS_7	35	799		PartnerStone	1	799	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	7									
800	Mảnh-Lữ Động Tân	Partner_piece_SSS_8	35	800		PartnerStone	1	800	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	8									
801	Mảnh-Trương Tam Phong	Partner_piece_SSS_9	35	801		PartnerStone	1	801	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	9									
802	Mảnh-Tây Thi	Partner_piece_SSS_10	35	802		PartnerStone	1	802	Mảnh Đồng Hành	80000	1	6	1000	7	1	0	99999	10									
803	Mảnh-Độc Cô Kiếm	Partner_piece_SS_1	35	803		PartnerStone	1	803	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	11									
804	Mảnh-Nam Cung Phi	Partner_piece_SS_2	35	804		PartnerStone	1	804	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	12									
805	Mảnh-Dương Ảnh Phong	Partner_piece_SS_3	35	805		PartnerStone	1	805	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	13									
806	Mảnh-Huyền Thiên Đạo Nhân	Partner_piece_SS_4	35	806		PartnerStone	1	806	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	14									
807	Mảnh-Ngu Cơ	Partner_piece_SS_5	35	807		PartnerStone	1	807	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	15									
808	Mảnh-Triệu Phi Yến	Partner_piece_SS_6	35	808		PartnerStone	1	808	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	16									
809	Mảnh-Kinh Kha	Partner_piece_SS_7	35	809		PartnerStone	1	809	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	17									
810	Mảnh-Lý Quảng 	Partner_piece_SS_8	35	810		PartnerStone	1	810	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	18									
811	Mảnh-Triệu Vân	Partner_piece_SS_9	35	811		PartnerStone	1	811	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	19									
1017	Mảnh-Lý Nguyên Bá	Partner_piece_SS_10	35	1447		PartnerStone	1	1447	Mảnh Đồng Hành	40000	1	6	1000	6	1	0	99999	20									
812	Mảnh-Nguyệt My Nhi	Partner_piece_S_1	35	812		PartnerStone	1	812	Mảnh Đồng Hành	20000	1	6	1000	4	1	0	99999	21									
813	Mảnh-Dương Anh	Partner_piece_S_2	35	813		PartnerStone	1	813	Mảnh Đồng Hành	20000	1	6	1000	4	1	0	99999	22									
814	Mảnh-Chúc Tử Hư	Partner_piece_S_3	35	814		PartnerStone	1	814	Mảnh Đồng Hành	20000	1	6	1000	4	1	0	99999	23									
815	Mảnh-Thanh Hòa	Partner_piece_S_4	35	815		PartnerStone	1	815	Mảnh Đồng Hành	20000	1	6	1000	4	1	0	99999	24									
