TemplateId	Name	Kind	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
9338	Bùa Tẩy Luyện Vũ Khí Bậc 7	Refine_T7_Weapon_Q1	36	8530		RefineStone	1	8530		500000	7	7	500000	3	80	1	1	1	18								
8920	Bùa Tẩy Luyện Vũ Khí Bậc 8	Refine_T8_Weapon_Q1	36	8530		RefineStone	1	8530		750000	8	7	750000	3	90	1	1	1	21								
8921	Bùa Tẩy Luyện Vũ Khí Bậc 9	Refine_T9_Weapon_Q1	36	8530		RefineStone	1	8530		950000	9	7	950000	3	100	1	1	1	24								
8922	Bùa Tẩy Luyện Vũ Khí Bậc 10	Refine_T10_Weapon_Q1	36	8530		RefineStone	1	8530		1350000	10	7	1350000	3	110	1	1	1	27								
8923	Bùa Tẩy Luyện Vũ Khí Bậc 11	Refine_T11_Weapon_Q1	36	8530		RefineStone	1	8530		1900000	11	7	1900000	3	120	1	1	1	30								
8924	Bùa Tẩy Luyện Vũ Khí Bậc 12	Refine_T12_Weapon_Q1	36	8530		RefineStone	1	8530		2350000	12	7	2350000	3	130	1	1	1	33								
8925	Bùa Tẩy Luyện Vũ Khí Bậc 13	Refine_T13_Weapon_Q1	36	8530		RefineStone	1	8530		2700000	13	7	2700000	3	140	1	1	1	36								
8926	Bùa Tẩy Luyện Vũ Khí Bậc 14	Refine_T14_Weapon_Q1	36	8530		RefineStone	1	8530		3000000	14	7	3000000	3	150	1	1	1	39								
8927	Bùa Tẩy Luyện Vũ Khí Bậc 15	Refine_T15_Weapon_Q1	36	8530		RefineStone	1	8530		3600000	15	7	3600000	3	160	1	1	1	42								
8928	Bùa Tẩy Luyện Vũ Khí Bậc 16	Refine_T16_Weapon_Q1	36	8530		RefineStone	1	8530		3850000	16	7	3850000	3	170	1	1	1	45								
