TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ShowType
579	Bình Sinh Lực Nhỏ	test29	34	129	3		test	999	Đạo cụ thử nghiệm, ID này chưa được dùng		1	1	1000		1	1	99999											
580	Bình Sinh Lực Trung	test30	34	130	3		test	999	Đạo cụ thử nghiệm, ID này chưa được dùng		1	1	1000		1	1	99999											
581	Bình Nội Lực Nhỏ	test31	34	131	3		test	999	Đạo cụ thử nghiệm, ID này chưa được dùng		1	1	1000		1	1	99999											
582	Bình Nội Lực Trung	test32	34	132	3		test	999	Đạo cụ thử nghiệm, ID này chưa được dùng		1	1	1000		1	1	99999											
213	Khoáng Thạch Thần Bí Lv1	mystery_stone_1	34	213	213		MysteryStone	2	Nguyên liệu cần để đột phá sau khi cường hóa trang bị đến +20.\n4 Khoáng Thạch giống nhau ghép được 1 Khoáng Thạch-Cao	20000	1	3	1000	1	1	1	99999											
214	Khoáng Thạch Thần Bí Lv2	mystery_stone_2	34	214	214		MysteryStone	2	Nguyên liệu cần để đột phá sau khi cường hóa trang bị đến +40.\n4 Khoáng Thạch giống nhau ghép được 1 Khoáng Thạch-Cao	80000	1	3	1000	2	1	1	99999											
215	Khoáng Thạch Thần Bí Lv3	mystery_stone_3	34	215	215		MysteryStone	2	Nguyên liệu cần để đột phá sau khi cường hóa trang bị đến +60.\n4 Khoáng Thạch giống nhau ghép được 1 Khoáng Thạch-Cao	320000	1	3	1000	3	1	1	99999											
216	Khoáng Thạch Thần Bí Lv4	mystery_stone_4	34	216	216		MysteryStone	2	Nguyên liệu cần để đột phá sau khi cường hóa trang bị đến +80.\n4 Khoáng Thạch giống nhau ghép được 1 Khoáng Thạch-Cao	810000	1	3	1000	4	1	1	99999											
217	Khoáng Thạch Thần Bí Lv5	mystery_stone_5	34	217	217		MysteryStone	2	Sau khi cường hóa trang bị +100, nguyên liệu cần để tiến hành đột phá.\nĐã đạt cấp cao nhất, không thể ghép nữa	1280000	1	3	1000	5	1	1	99999											
218	Khoáng Thạch Thần Bí (ID chiếm) 	mystery_stone_6	34	218	218			2	Cường hóa +50 đột phá		1	3	1000	6	1	1	99999											
219	Khoáng Thạch Thần Bí (ID chiếm) 	mystery_stone_7	34	219	219			2	Cường hóa +50 đột phá		1	3	1000	7	1	1	99999											
221	Khoáng Thạch Thần Bí (ID chiếm) 	mystery_stone_8	34	221	221			2	Cường hóa +50 đột phá		1	3	1000	7	1	1	99999											
220	Khoáng Thạch Thần Bí (ID chiếm) 	mystery_stone_9	34	220	220			2	Cường hóa +50 đột phá		1	3	1000	7	1	1	99999											
598	Sách Kỹ Năng-Sơ (Đồng Hành)	Partner_SkillExp_1	35	598	598		PartnerSkillExpItem	6	Kỹ năng Đồng Hành tăng EXP	10000	1	1	1000	3	1	0	99999	10000										
599	Sách Kỹ Năng-Trung (Đồng Hành)	Partner_SkillExp_2	35	599	599		PartnerSkillExpItem	6	Kỹ năng Đồng Hành tăng EXP	50000	1	1	1000	4	1	0	99999	50000										
600	Sách Kỹ Năng(Đồng Hành) -Cao	Partner_SkillExp_3	35	600	600		PartnerSkillExpItem	6	Kỹ năng Đồng Hành tăng EXP	300000	1	1	1000	13	1	0	99999	300000										
601	EXP Đồng Hành-Tiểu	Partner_Exp	35	601	601		PartnerExpItem	5	Dùng tăng EXP cho đồng hành chỉ định	500	1	1	1500		1	1	99999	1500										
1016	EXP Đồng Hành-Trung	Partner_Exp_Plus	35	1016	1016		PartnerExpItem	5	Dùng tăng EXP cho đồng hành chỉ định	5000	1	1	15000	2	1	1	99999	15000										
1342	EXP Đồng Hành-Đại	Partner_Exp_Plus2	35	1342	1342		PartnerExpItem	5	Dùng tăng EXP cho đồng hành chỉ định	50000	1	1	150000	3	1	1	99999	150000										
736	Bích Ngọc Ban Chỉ	antique_1	34	736	736		TaskItem	10	Cấp Đồ Cổ: Lv1 (Thường)\n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	12000	1	1	1000		1	1	99999											
737	Phỉ Thúy Thủ Trạc	antique_2	34	737	737		TaskItem	10	Cấp Đồ Cổ: Lv1 (Thường)\n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	12000	1	1	1000		1	1	99999											
738	Bình Thanh Hoa	antique_3	34	738	738		TaskItem	10	Cấp Đồ Cổ: Lv1 (Thường)\n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	12000	1	1	1000		1	1	99999											
739	Lưu Kim Ngân Bàn	antique_4	34	739	739		TaskItem	10	Cấp Đồ Cổ: Lv1 (Thường)\n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	12000	1	1	1000		1	1	99999											
740	Đồng Biên Chung	antique_5	34	740	740		TaskItem	10	Cấp Đồ Cổ: Lv1 (Thường)\n\nDùng hoàn thành nhiệm vụ Thương Hội (Lv30 mở)	12000	1	1	1000		1	1	99999											
