TemplateId	NextTemplateId	Name	Debris	InsetType	FightPower	Weapon	Helm	Cuff	Armor	Belt	Boots	Necklace	Ring	Pendant	Amulet	AttribType1	Value11	Value21	Value31	AttribType2	Value12	Value22	Value32
201	230	Mảnh Đá Sinh Lực	1	0																			
230	231	Đá Sinh Lực Lv1		0	20		1	1		1	1					lifemax_v	240						
231	232	Đá Sinh Lực Lv2		0	60		1	1		1	1					lifemax_v	480						
232		Đá Sinh Lực Lv3		0	180		1	1		1	1					lifemax_v	840						
233		Đá Sinh Lực Lv4		0	540		1	1		1	1					lifemax_v	1200						
234		Đá Sinh Lực Lv5		0	1650		1	1		1	1					lifemax_v	1680						
235		Đá Sinh Lực Lv6		0	5000		1	1		1	1					lifemax_v	2160						
236		Đá Sinh Lực Lv7		0	15000		1	1		1	1					lifemax_v	3080						
237		Đá Sinh Lực Lv8		0	45000		1	1		1	1					lifemax_v	4000						
238		Đá Sinh Lực Lv9		0	45000		1	1		1	1					lifemax_v	4000						
202	240	Mảnh Đá Tấn Công	1	0																			
240	241	Đá Tấn Công Lv1		0	20							1	1	1	1	physical_damage_v	12		12				
241	242	Đá Tấn Công Lv2		0	60							1	1	1	1	physical_damage_v	24		24				
242		Đá Tấn Công Lv3		0	180							1	1	1	1	physical_damage_v	42		42				
243		Đá Tấn Công Lv4		0	540							1	1	1	1	physical_damage_v	60		60				
244		Đá Tấn Công Lv5		0	1650							1	1	1	1	physical_damage_v	84		84				
245		Đá Tấn Công Lv6		0	5000							1	1	1	1	physical_damage_v	108		108				
246		Đá Tấn Công Lv7		0	15000							1	1	1	1	physical_damage_v	154		154				
247		Đá Tấn Công Lv8		0	45000							1	1	1	1	physical_damage_v	200		200				
248		Đá Tấn Công Lv9		0	45000							1	1	1	1	physical_damage_v	200		200				
203	250	Mảnh Đá Kháng Tính	1	0																			
250	251	Đá Kháng Tính Lv1		0	20		1	1	1	1						all_series_resist_v	6						
251	252	Đá Kháng Tính Lv2		0	60		1	1	1	1						all_series_resist_v	12						
252		Đá Kháng Tính Lv3		0	180		1	1	1	1						all_series_resist_v	21						
253		Đá Kháng Tính Lv4		0	540		1	1	1	1						all_series_resist_v	30						
254		Đá Kháng Tính Lv5		0	1650		1	1	1	1						all_series_resist_v	42						
255		Đá Kháng Tính Lv6		0	5000		1	1	1	1						all_series_resist_v	54						
256		Đá Kháng Tính Lv7		0	15000		1	1	1	1						all_series_resist_v	77						
257		Đá Kháng Tính Lv8		0	45000		1	1	1	1						all_series_resist_v	100						
258		Đá Kháng Tính Lv9		0	45000		1	1	1	1						all_series_resist_v	100						
204	260	Mảnh Đá Bỏ Qua Kháng	1	0																			
260	261	Đá Bỏ Qua Kháng Lv1		0	20	1						1	1	1		ignore_all_resist_v	100	6					
261	262	Đá Bỏ Qua Kháng Lv2		0	60	1						1	1	1		ignore_all_resist_v	100	12					
262		Đá Bỏ Qua Kháng Lv3		0	180	1						1	1	1		ignore_all_resist_v	100	21					
263		Đá Bỏ Qua Kháng Lv4		0	540	1						1	1	1		ignore_all_resist_v	100	30					
264		Đá Bỏ Qua Kháng Lv5		0	1650	1						1	1	1		ignore_all_resist_v	100	42					
265		Đá Bỏ Qua Kháng Lv6		0	5000	1						1	1	1		ignore_all_resist_v	100	54					
266		Đá Bỏ Qua Kháng Lv7		0	15000	1						1	1	1		ignore_all_resist_v	100	77					
267		Đá Bỏ Qua Kháng Lv8		0	45000	1						1	1	1		ignore_all_resist_v	100	100					
268		Đá Bỏ Qua Kháng Lv9		0	45000	1						1	1	1		ignore_all_resist_v	100	100					
205	270	Mảnh Đá Né Tránh	1	0																			
270	271	Đá Né Tránh Lv1		0	20		1	1	1		1					defense_v	24						
271	272	Đá Né Tránh Lv2		0	60		1	1	1		1					defense_v	48						
272	273	Đá Né Tránh Lv3		0	180		1	1	1		1					defense_v	84						
273	274	Đá Né Tránh Lv4		0	540		1	1	1		1					defense_v	120						
274	275	Đá Né Tránh Lv5		0	1650		1	1	1		1					defense_v	168						
275	276	Đá Né Tránh Lv6		0	5000		1	1	1		1					defense_v	216						
276	277	Đá Né Tránh Lv7		0	15000		1	1	1		1					defense_v	308						
277		Đá Né Tránh Lv8		0	45000		1	1	1		1					defense_v	400						
278		Đá Né Tránh Lv9		0	45000		1	1	1		1					defense_v	400						
206	280	Mảnh Đá Bỏ Qua Né Tránh	1	0																			
280	281	Đá Bỏ Qua Né Tránh Lv1		0	20	1						1	1		1	ignore_defense_v	24						
281	282	Đá Bỏ Qua Né Tránh Lv2		0	60	1						1	1		1	ignore_defense_v	48						
282	283	Đá Bỏ Qua Né Tránh Lv3		0	180	1						1	1		1	ignore_defense_v	84						
283	284	Đá Bỏ Qua Né Tránh Lv4		0	540	1						1	1		1	ignore_defense_v	120						
284	285	Đá Bỏ Qua Né Tránh Lv5		0	1650	1						1	1		1	ignore_defense_v	168						
285	286	Đá Bỏ Qua Né Tránh Lv6		0	5000	1						1	1		1	ignore_defense_v	216						
286	287	Đá Bỏ Qua Né Tránh Lv7		0	15000	1						1	1		1	ignore_defense_v	308						
287		Đá Bỏ Qua Né Tránh Lv8		0	45000	1						1	1		1	ignore_defense_v	400						
288		Đá Bỏ Qua Né Tránh Lv9		0	45000	1						1	1		1	ignore_defense_v	400						
207	290	Mảnh Đá Bạo Kích	1	0																			
290	291	Đá Bạo Kích Lv1		0	20	1						1		1	1	deadlystrike_v	12						
291	292	Đá Bạo Kích Lv2		0	60	1						1		1	1	deadlystrike_v	24						
292	293	Đá Bạo Kích Lv3		0	180	1						1		1	1	deadlystrike_v	42						
293	294	Đá Bạo Kích Lv4		0	540	1						1		1	1	deadlystrike_v	60						
294	295	Đá Bạo Kích Lv5		0	1650	1						1		1	1	deadlystrike_v	84						
295	296	Đá Bạo Kích Lv6		0	5000	1						1		1	1	deadlystrike_v	108						
296	297	Đá Bạo Kích Lv7		0	15000	1						1		1	1	deadlystrike_v	154						
297		Đá Bạo Kích Lv8		0	45000	1						1		1	1	deadlystrike_v	200						
298		Đá Bạo Kích Lv9		0	45000	1						1		1	1	deadlystrike_v	200						
208	300	Mảnh Đá Giảm Bạo Kích	1	0																			
300	301	Đá Giảm Bạo Kích Lv1		0	20			1	1	1	1					weaken_deadlystrike_v	12						
301	302	Đá Giảm Bạo Kích Lv2		0	60			1	1	1	1					weaken_deadlystrike_v	24						
302	303	Đá Giảm Bạo Kích Lv3		0	180			1	1	1	1					weaken_deadlystrike_v	42						
303	304	Đá Giảm Bạo Kích Lv4		0	540			1	1	1	1					weaken_deadlystrike_v	60						
304	305	Đá Giảm Bạo Kích Lv5		0	1650			1	1	1	1					weaken_deadlystrike_v	84						
305	306	Đá Giảm Bạo Kích Lv6		0	5000			1	1	1	1					weaken_deadlystrike_v	108						
306	307	Đá Giảm Bạo Kích Lv7		0	15000			1	1	1	1					weaken_deadlystrike_v	154						
307		Đá Giảm Bạo Kích Lv8		0	45000			1	1	1	1					weaken_deadlystrike_v	200						
308		Đá Giảm Bạo Kích Lv9		0	45000			1	1	1	1					weaken_deadlystrike_v	200						
209	310	Mảnh Đá Hiệu Quả	1	0																			
310	311	Đá Hiệu Quả Lv1		0	20	1							1	1	1	add_seriesstate_rate_v	6						
311	312	Đá Hiệu Quả Lv2		0	60	1							1	1	1	add_seriesstate_rate_v	12						
312	313	Đá Hiệu Quả Lv3		0	180	1							1	1	1	add_seriesstate_rate_v	21						
313	314	Đá Hiệu Quả Lv4		0	540	1							1	1	1	add_seriesstate_rate_v	30						
314	315	Đá Hiệu Quả Lv5		0	1650	1							1	1	1	add_seriesstate_rate_v	42						
315	316	Đá Hiệu Quả Lv6		0	5000	1							1	1	1	add_seriesstate_rate_v	54						
316	317	Đá Hiệu Quả Lv7		0	15000	1							1	1	1	add_seriesstate_rate_v	77						
317		Đá Hiệu Quả Lv8		0	45000	1							1	1	1	add_seriesstate_rate_v	100						
318		Đá Hiệu Quả Lv9		0	45000	1							1	1	1	add_seriesstate_rate_v	100						
210	320	Mảnh Đá Giảm Hiệu Quả	1	0																			
